osmid,ref,name,highway,oneway,reversed,length,geometry,maxspeed,lanes,bridge
27706493,46К-1122,улица Базаева,primary,False,True,333.96500000000003,"LINESTRING (35.5073294 56.0301693, 35.5071994 56.0302529, 35.5060236 56.0310745, 35.5057644 56.0312556, 35.5039662 56.0325121)",,,
36977233,,1-я Советская улица,primary,False,False,93.096,"LINESTRING (35.5073294 56.0301693, 35.5075844 56.0302235, 35.5076597 56.0302395, 35.5087333 56.0304619)",40,,
"[52111358, 741008119]",,Комсомольская улица,residential,False,False,528.401,"LINESTRING (35.5041853 56.0343631, 35.5045889 56.0340862, 35.5055684 56.0333665, 35.5058216 56.0331814, 35.5066264 56.0326318, 35.5067959 56.0325161, 35.507558 56.0320021, 35.507918 56.0317844, 35.5083141 56.0315183, 35.5083919 56.0310582, 35.5087 56.0305201, 35.5087333 56.0304619)",,,
42267628,,улица Шамонина,residential,False,False,108.42600000000002,"LINESTRING (35.5158414 56.0317367, 35.5158228 56.0318034, 35.5158175 56.0318225, 35.5156238 56.0322759, 35.5155052 56.0325535, 35.5154484 56.0326865)",,,
236782902,,1-я Советская улица,primary,False,True,225.399,"LINESTRING (35.5158414 56.0317367, 35.5157164 56.0317205, 35.5147961 56.0316012, 35.5145965 56.0315736, 35.5140632 56.0314997, 35.5132952 56.0313799, 35.5123297 56.0312293)",RU:urban,2,
"[60219913, 60219914, 42299428]",,1-й Советский переулок,residential,False,False,353.896,"LINESTRING (35.5123297 56.0312293, 35.5120625 56.0317319, 35.5119874 56.0318577, 35.5116746 56.0323651, 35.5114727 56.0325822, 35.5111907 56.0328853, 35.510316 56.0341817, 35.5103031 56.0341975)",,,yes
236782902,,1-я Советская улица,primary,False,False,225.39900000000003,"LINESTRING (35.5123297 56.0312293, 35.5132952 56.0313799, 35.5140632 56.0314997, 35.5145965 56.0315736, 35.5147961 56.0316012, 35.5157164 56.0317205, 35.5158414 56.0317367)",RU:urban,2,
236782902,,1-я Советская улица,primary,False,True,163.515,"LINESTRING (35.5123297 56.0312293, 35.5102917 56.0307926, 35.5098724 56.0307027)",RU:urban,2,
36977233,,1-я Советская улица,primary,False,False,75.668,"LINESTRING (35.5087333 56.0304619, 35.5098724 56.0307027)",40,,
36977233,,1-я Советская улица,primary,False,True,93.096,"LINESTRING (35.5087333 56.0304619, 35.5076597 56.0302395, 35.5075844 56.0302235, 35.5073294 56.0301693)",40,,
"[52111358, 741008119]",,Комсомольская улица,residential,False,True,528.401,"LINESTRING (35.5087333 56.0304619, 35.5087 56.0305201, 35.5083919 56.0310582, 35.5083141 56.0315183, 35.507918 56.0317844, 35.507558 56.0320021, 35.5067959 56.0325161, 35.5066264 56.0326318, 35.5058216 56.0331814, 35.5055684 56.0333665, 35.5045889 56.0340862, 35.5041853 56.0343631)",,,
"[60219913, 60219914, 42299428]",,1-й Советский переулок,residential,False,True,353.896,"LINESTRING (35.5103031 56.0341975, 35.510316 56.0341817, 35.5111907 56.0328853, 35.5114727 56.0325822, 35.5116746 56.0323651, 35.5119874 56.0318577, 35.5120625 56.0317319, 35.5123297 56.0312293)",,,yes
27706493,46К-1122,улица Базаева,primary,False,False,333.965,"LINESTRING (35.5039662 56.0325121, 35.5057644 56.0312556, 35.5060236 56.0310745, 35.5071994 56.0302529, 35.5073294 56.0301693)",,,
36977233,,1-я Советская улица,primary,False,True,75.668,"LINESTRING (35.5098724 56.0307027, 35.5087333 56.0304619)",40,,
82515291,,,residential,False,False,85.422,"LINESTRING (35.5098724 56.0307027, 35.5097865 56.0308175, 35.5097255 56.0308989, 35.5093418 56.0314114)",,,
236782902,,1-я Советская улица,primary,False,False,163.515,"LINESTRING (35.5098724 56.0307027, 35.5102917 56.0307926, 35.5123297 56.0312293)",RU:urban,2,
82515291,,,residential,False,True,85.422,"LINESTRING (35.5093418 56.0314114, 35.5097255 56.0308989, 35.5097865 56.0308175, 35.5098724 56.0307027)",,,
42267628,,улица Шамонина,residential,False,False,114.716,"LINESTRING (35.5154484 56.0326865, 35.5150184 56.0336898)",,,
228384640,,,living_street,False,True,202.533,"LINESTRING (35.5154484 56.0326865, 35.5147692 56.0325913, 35.5143385 56.0336038, 35.5150184 56.0336898)",,,
42267628,,улица Шамонина,residential,False,True,108.426,"LINESTRING (35.5154484 56.0326865, 35.5155052 56.0325535, 35.5156238 56.0322759, 35.5158175 56.0318225, 35.5158228 56.0318034, 35.5158414 56.0317367)",,,
42267628,,улица Шамонина,residential,False,True,114.716,"LINESTRING (35.5150184 56.0336898, 35.5154484 56.0326865)",,,
228384640,,,living_street,False,False,202.533,"LINESTRING (35.5150184 56.0336898, 35.5143385 56.0336038, 35.5147692 56.0325913, 35.5154484 56.0326865)",,,
