osmid,oneway,highway,maxspeed,reversed,length,lanes,name,geometry,width,service
1138587626,True,secondary_link,40,False,3.164,,,"LINESTRING (132.3551568 43.1152257, 132.355194 43.1152342)",,
1138624634,False,tertiary,50,False,9.614,2,улица Маслакова,"LINESTRING (132.3463029 43.1133222, 132.346375 43.1133908)",,
1138624635,True,tertiary,RU:urban,False,393.91299999999995,2,улица Аллея Труда,"LINESTRING (132.3463029 43.1133222, 132.3463952 43.1132704, 132.3464378 43.1132465, 132.3477082 43.1125338, 132.3478985 43.1124228, 132.3484335 43.1121299, 132.3484804 43.1121043, 132.3490104 43.1118104, 132.3495088 43.1115345, 132.3499874 43.1112689, 132.35019 43.1112117)",,
108247073,True,tertiary_link,50,False,27.897,,,"LINESTRING (132.3548725 43.1156552, 132.3549075 43.115631, 132.3549316 43.115611, 132.3549572 43.1155891, 132.3549712 43.1155698, 132.3549766 43.1155462, 132.3549993 43.1154329)",,
1138587645,False,secondary,40,True,70.62,4,улица Карла Маркса,"LINESTRING (132.35019 43.1112117, 132.3507799 43.1116785)",15,
215294637,True,secondary,40,False,181.015,4,улица Карла Маркса,"LINESTRING (132.35019 43.1112117, 132.3500257 43.1110753, 132.3498872 43.1109706, 132.3495139 43.110553, 132.3494136 43.1104408, 132.3491666 43.1101645, 132.3490423 43.1100253, 132.3489135 43.1098813)",15,
1138624633,True,tertiary,RU:urban,False,197.963,2,улица Аллея Труда,"LINESTRING (132.35019 43.1112117, 132.3500604 43.1113412, 132.3494904 43.1116541, 132.3489355 43.1119625, 132.3488832 43.1119922, 132.3484522 43.1122366, 132.3482971 43.1123246)",,
"[1138587625, 1138587627]",True,secondary_link,40,False,27.234999999999996,,,"LINESTRING (132.355194 43.1152342, 132.3552329 43.1152504, 132.3552538 43.1152646, 132.3552706 43.1152804, 132.3552843 43.1152988, 132.3552939 43.1153196, 132.3552987 43.1153469, 132.3552959 43.1153718, 132.3552863 43.115396, 132.3552722 43.1154161, 132.355248 43.1154381)",,
"[108247079, 1248803623, 1247587722, 1247582357, 593481558, 1247985212]",False,secondary,40,False,470.394,4,улица Карла Маркса,"LINESTRING (132.3544833 43.1149235, 132.3544382 43.1148818, 132.3544339 43.1148778, 132.3542417 43.1147002, 132.3540121 43.1144745, 132.3539176 43.1143861, 132.3538352 43.114309, 132.3535281 43.1140206, 132.3533274 43.1138398, 132.3532534 43.1137715, 132.3530675 43.1135932, 132.3526932 43.1132513, 132.3520101 43.1126006, 132.3518756 43.1124901, 132.3517117 43.1123497, 132.3515028 43.1121922, 132.3513187 43.1120523, 132.3509324 43.1117843, 132.3507799 43.1116785)",15,
108247094,True,secondary_link,40,False,64.712,,,"LINESTRING (132.3544833 43.1149235, 132.3545648 43.1149758, 132.3546378 43.1150169, 132.3547623 43.1150859, 132.3548803 43.1151405, 132.3549726 43.1151746, 132.3550684 43.1152002, 132.3551568 43.1152257)",,
108247149,True,secondary_link,40,False,68.279,,,"LINESTRING (132.3549831 43.1154174, 132.3544833 43.1149235)",,
1138587624,True,secondary_link,40,False,32.278,,,"LINESTRING (132.3549831 43.1154174, 132.3549671 43.1153947, 132.3549587 43.1153736, 132.3549554 43.1153483, 132.3549591 43.1153232, 132.3549686 43.115301, 132.3549854 43.1152784, 132.3550114 43.1152566, 132.3550381 43.1152419, 132.3550752 43.1152297, 132.3551139 43.1152242, 132.3551568 43.1152257)",,
