osmid,name,highway,oneway,reversed,length,geometry,ref,lanes,maxspeed,junction
25005961,Комсомольская улица,residential,False,True,158.652,"LINESTRING (38.883203 54.7559679, 38.8856556 54.7557872)",,,,
25005961,Комсомольская улица,residential,False,False,131.0,"LINESTRING (38.883203 54.7559679, 38.8813324 54.7561337, 38.8811851 54.7561468)",,,,
42993033,улица Димитра Благоева,tertiary,False,False,262.86,"LINESTRING (38.883203 54.7559679, 38.883681 54.7582254, 38.8836998 54.7583144)",46Н-02616,,,
25005183,Советская улица,tertiary,False,False,66.821,"LINESTRING (38.8807573 54.7585509, 38.8798625 54.758622, 38.8797256 54.7586329)",,,,
526404394,Советская улица,tertiary,True,False,33.694,"LINESTRING (38.8807573 54.7585509, 38.8810008 54.7584898, 38.8811922 54.7583886)",,,,
25005961,Комсомольская улица,residential,False,False,128.856,"LINESTRING (38.8791581 54.7563113, 38.8771669 54.7564617)",,,,
25005859,улица Мерецкова,tertiary,False,False,260.70599999999996,"LINESTRING (38.8791581 54.7563113, 38.8791704 54.7563617, 38.8797062 54.7585536, 38.8797256 54.7586329)",,,,
"[25005859, 494798750]","['улица Мерецкова', 'Краснопрудный переулок']","['residential', 'tertiary']",False,"[False, True]",417.37700000000007,"LINESTRING (38.8791581 54.7563113, 38.8791439 54.7562533, 38.8786121 54.7541049, 38.8784715 54.7540886, 38.8781857 54.7540751, 38.877662 54.7540941, 38.877363 54.7541201, 38.8771166 54.7541641, 38.8769419 54.7542371, 38.8768053 54.7543361, 38.8767442 54.7544572, 38.8767384 54.7547304)",,2,50,
25005961,Комсомольская улица,residential,False,True,131.344,"LINESTRING (38.8791581 54.7563113, 38.8792832 54.7563011, 38.8810596 54.756157, 38.8811851 54.7561468)",,,,
228774800,Советская улица,residential,False,False,73.239,"LINESTRING (38.8777349 54.758791, 38.8766019 54.7588711)",,,,
25005183,Советская улица,tertiary,False,True,128.931,"LINESTRING (38.8777349 54.758791, 38.8778564 54.7587813, 38.8796125 54.7586419, 38.8797256 54.7586329)",,,,
25005761,улица Карла Маркса,residential,False,True,261.558,"LINESTRING (38.8777349 54.758791, 38.877719 54.7587209, 38.8771669 54.7564617)",,,,
