osmid,oneway,name,highway,width,reversed,length,geometry,lanes,ref
30832615,False,улица Орджоникидзе,residential,8,False,200.19,"LINESTRING (57.5523821 58.8399547, 57.5521992 58.8399183, 57.551798 58.8398401, 57.5510531 58.8396989, 57.5504393 58.8395795, 57.5491184 58.8393308)",,
30832615,False,улица Орджоникидзе,residential,8,True,165.85500000000002,"LINESTRING (57.5523821 58.8399547, 57.5525595 58.8399936, 57.5530358 58.8400852, 57.5531403 58.8401055, 57.5541786 58.8403223, 57.5550633 58.8405022)",,
164578012,False,проспект Ленина,secondary,,True,133.407,"LINESTRING (57.5523821 58.8399547, 57.5523307 58.8400271, 57.5515822 58.8410808)",3,
29327011,False,улица Никонова,residential,,True,84.327,"LINESTRING (57.5597246 58.8447231, 57.5597046 58.8454814)",,
29327011,False,улица Никонова,residential,,False,105.766,"LINESTRING (57.5597246 58.8447231, 57.5597278 58.8446015, 57.5597387 58.8440844, 57.5597429 58.8439383, 57.5599491 58.8438107)",,
30045519,False,улица Крылова,residential,,False,192.11,"LINESTRING (57.5597246 58.8447231, 57.5571321 58.844705, 57.5563897 58.8447464)",,
29327011,False,улица Никонова,residential,,False,73.3,"LINESTRING (57.5599491 58.8438107, 57.5593212 58.8432371)",,
29327011,False,улица Никонова,residential,,True,105.76599999999999,"LINESTRING (57.5599491 58.8438107, 57.5597429 58.8439383, 57.5597387 58.8440844, 57.5597278 58.8446015, 57.5597246 58.8447231)",,
30046718,False,улица Менделеева,residential,,False,129.19400000000002,"LINESTRING (57.5599491 58.8438107, 57.5604384 58.8436807, 57.5611798 58.8434906, 57.5619605 58.8432941)",,
30832615,False,улица Орджоникидзе,residential,8,False,89.596,"LINESTRING (57.5565089 58.8408018, 57.5550633 58.8405022)",,
29327011,False,улица Никонова,residential,,True,186.56,"LINESTRING (57.5565089 58.8408018, 57.5571456 58.8413497, 57.557185 58.8413824, 57.5581953 58.8422348)",,
519390395,False,улица Жданова,residential,,False,194.30200000000002,"LINESTRING (57.5565089 58.8408018, 57.558097 58.8403501, 57.5586335 58.8401932, 57.5593019 58.8398449)",,
29327011,False,улица Никонова,residential,,False,100.387,"LINESTRING (57.559681 58.8463836, 57.5597038 58.8462042, 57.5596886 58.846006, 57.5597046 58.8454814)",,
29330814,False,улица Гоголя,residential,,True,138.45100000000002,"LINESTRING (57.559681 58.8463836, 57.5584108 58.846352, 57.5572772 58.8463216)",,
29330814,False,улица Гоголя,residential,,False,206.19,"LINESTRING (57.5505353 58.8467025, 57.5518386 58.846508, 57.5536621 58.8462552, 57.5540021 58.846259)",,
29330816,False,улица Газеты Правда,residential,8,False,380.41900000000004,"LINESTRING (57.5505353 58.8467025, 57.5511457 58.8458711, 57.5516996 58.8451146, 57.552091 58.8445769, 57.5525178 58.8439795, 57.5528605 58.8434998)",,
29331443,False,улица П.Морозова,residential,8,False,46.564,"LINESTRING (57.5474726 58.842485, 57.5482309 58.8426314)",,
30706564,False,улица Шахтостроителей,residential,,True,55.684,"LINESTRING (57.5474726 58.842485, 57.5472361 58.8419994)",,
29331443,False,улица П.Морозова,residential,8,False,161.844,"LINESTRING (57.5502363 58.8429753, 57.5504128 58.8430108, 57.5509018 58.8431071, 57.5528605 58.8434998)",,
