osmid,lanes,ref,name,highway,oneway,reversed,length,geometry,maxspeed
93051397,2,41А-082,набережная Лебедева,secondary,False,True,410.62300000000005,"LINESTRING (28.6081592 60.3653304, 28.608409 60.3653426, 28.6092405 60.3654404, 28.6101603 60.3656314, 28.6106387 60.365728, 28.6113453 60.3658489, 28.6121367 60.3659667, 28.6125305 60.3659985, 28.6130233 60.3660054, 28.6135091 60.3659584, 28.6137921 60.365919, 28.6141381 60.3658616, 28.6144828 60.3657953, 28.6149872 60.3656764, 28.6152597 60.365615)",
"[93109906, 93109907]",,,Комсомольская улица,"['unclassified', 'residential']",False,True,236.59300000000002,"LINESTRING (28.6090301 60.36986, 28.6099342 60.3696394, 28.6100486 60.3697198, 28.61037 60.3696727, 28.6110481 60.3694924, 28.6129347 60.3691772)",
"[1087979346, 93121751]",2,41А-082,Выборгское шоссе,secondary,False,False,53.99,"LINESTRING (28.6090301 60.36986, 28.6091919 60.3699719, 28.6096015 60.3702549)",RU:urban
"[1087979346, 1087979347]",2,41А-082,Выборгское шоссе,secondary,False,True,95.50399999999999,"LINESTRING (28.6090301 60.36986, 28.6088989 60.3697284, 28.6086035 60.3694321, 28.6084888 60.3690545)",
39402363,,,Вокзальная улица,residential,False,False,94.436,"LINESTRING (28.6198663 60.3628943, 28.621287 60.3633715)",
93051397,2,41А-082,набережная Лебедева,secondary,False,False,78.838,"LINESTRING (28.6198663 60.3628943, 28.6190524 60.363478)",
93103661,,,Школьная улица,residential,False,True,44.883,"LINESTRING (28.6179242 60.367372, 28.6176926 60.3672825, 28.617289 60.3671185)",
91152164,,,Пушкинская аллея,residential,False,False,316.199,"LINESTRING (28.6220533 60.3655288, 28.6210273 60.3659068, 28.6207329 60.3660105, 28.6206546 60.3660381, 28.6204922 60.3660952, 28.62034 60.3661441, 28.6187385 60.3666762, 28.6186866 60.3666931, 28.618226 60.3668431, 28.617289 60.3671185)",
91152164,,,Пушкинская аллея,residential,False,True,160.402,"LINESTRING (28.6220533 60.3655288, 28.6234014 60.3650251, 28.6243855 60.3646622)",
718858193,,,Интернатский переулок,residential,False,True,267.463,"LINESTRING (28.6220533 60.3655288, 28.6203504 60.3647118, 28.6197837 60.3644677, 28.6184737 60.3639013)",
173301898,,,Лесная улица,residential,False,True,65.385,"LINESTRING (28.6231504 60.3641123, 28.6238997 60.3636557)",
39402363,,,Вокзальная улица,residential,False,False,91.38499999999999,"LINESTRING (28.6231504 60.3641123, 28.6241753 60.3645654, 28.6243855 60.3646622)",
39402363,,,Вокзальная улица,residential,False,True,131.589,"LINESTRING (28.6231504 60.3641123, 28.6221364 60.3636765, 28.621287 60.3633715)",
91152164,,,Пушкинская аллея,residential,False,True,12.194,"LINESTRING (28.6170976 60.3671739, 28.617289 60.3671185)",
136651670,,,Школьная улица,residential,False,False,201.052,"LINESTRING (28.6170976 60.3671739, 28.6170722 60.36727, 28.6169986 60.3673857, 28.6168638 60.3674842, 28.6165393 60.3676625, 28.6157104 60.3681352, 28.6156441 60.368173, 28.6155137 60.3682474, 28.6150296 60.3686367)",
