osmid,ref,highway,oneway,reversed,length,geometry,name,lanes,maxspeed
61559996,29К-017,primary,False,False,137.625,"LINESTRING (35.3371472 54.1009504, 35.3372835 54.1011145, 35.3373412 54.1012411, 35.3372991 54.1013442, 35.337248 54.1014485, 35.3369001 54.101966, 35.3368031 54.1021084)",,,
229886094,29К-017,primary,False,False,52.512,"LINESTRING (35.3371472 54.1009504, 35.3368721 54.1008961, 35.3363833 54.1008008)",Московская улица,,
314590232,,tertiary,False,True,112.91399999999999,"LINESTRING (35.3371472 54.1009504, 35.3372326 54.100802, 35.3377007 54.0999882)",Пролетарская улица,,
229886103,,tertiary,False,True,52.256,"LINESTRING (35.3342561 54.1004612, 35.3334968 54.1003108)",Московская улица,,
229886094,29К-017,primary,False,True,143.841,"LINESTRING (35.3342561 54.1004612, 35.334912 54.1005457, 35.3358475 54.1007168, 35.3363833 54.1008008)",Московская улица,,
314590205,29К-017,primary,False,False,41.34,"LINESTRING (35.3342561 54.1004612, 35.3339367 54.1004911, 35.3336424 54.1005493)",Интернациональная улица,,
229886161,,tertiary,False,False,103.983,"LINESTRING (35.3388544 54.1033968, 35.3390631 54.1043239)",улица Ленина,,
229886139,,residential,False,True,58.676,"LINESTRING (35.3388544 54.1033968, 35.3383337 54.103367, 35.3379589 54.1033442)",улица Достоевского,,
229886161,,tertiary,False,True,95.601,"LINESTRING (35.3388544 54.1033968, 35.3388416 54.1033221, 35.3388065 54.1031182, 35.3387721 54.1025388)",улица Ленина,,
59342546,,secondary,False,False,166.796,"LINESTRING (35.3388343 54.1019349, 35.3388579 54.1018268, 35.3389838 54.10125, 35.3391816 54.1004488)",улица Ленина,,
314590195,29К-017,primary,False,True,67.273,"LINESTRING (35.3388343 54.1019349, 35.3388163 54.1021098, 35.3387721 54.1025388)",улица Ленина,,
314590257,29К-017,primary,False,False,92.22,"LINESTRING (35.3388343 54.1019349, 35.3390364 54.1019464, 35.3402477 54.1019549)",улица Марченко,2,60
59342546,,secondary,False,True,23.329,"LINESTRING (35.3392458 54.1002424, 35.3391816 54.1004488)",улица Ленина,,
"[59342546, 431666291]",,secondary,False,False,248.60999999999999,"LINESTRING (35.3392458 54.1002424, 35.3394234 54.0998862, 35.3395199 54.0997292, 35.3396452 54.0995071, 35.3401645 54.0985962, 35.3404178 54.0981152)",улица Ленина,,
238560327,,residential,False,False,104.64,"LINESTRING (35.3392458 54.1002424, 35.3390434 54.1002127, 35.3377007 54.0999882)",улица К. Либкнехта,,
229886161,,tertiary,False,True,93.434,"LINESTRING (35.339422 54.1051374, 35.3390631 54.1043239)",улица Ленина,,
314715079,,residential,False,False,89.681,"LINESTRING (35.339422 54.1051374, 35.3407921 54.1050653)",улица Некрасова,,
229886161,,tertiary,False,False,95.601,"LINESTRING (35.3387721 54.1025388, 35.3388065 54.1031182, 35.3388416 54.1033221, 35.3388544 54.1033968)",улица Ленина,,
314590195,29К-017,primary,False,False,67.273,"LINESTRING (35.3387721 54.1025388, 35.3388163 54.1021098, 35.3388343 54.1019349)",улица Ленина,,
314590238,29К-017,primary,False,True,139.64299999999997,"LINESTRING (35.3387721 54.1025388, 35.3385925 54.1025376, 35.3376617 54.1024661, 35.3369022 54.1023838, 35.3366742 54.1023221)",переулок Кравченко,,
996276901,,unclassified,False,False,97.69800000000001,"LINESTRING (35.3387721 54.1025388, 35.338969 54.1025447, 35.3396606 54.1025512, 35.3399892 54.1025489, 35.3402699 54.1025568)",переулок Кравченко,,
314715034,,residential,False,True,30.042,"LINESTRING (35.3352357 54.1047677, 35.3352786 54.1044987)",улица Кравченко,,
314715034,,residential,False,False,62.843999999999994,"LINESTRING (35.3352357 54.1047677, 35.3350223 54.1049732, 35.3349173 54.1051107, 35.334713 54.1052368)",улица Кравченко,,
314715070,,residential,False,False,75.166,"LINESTRING (35.3352357 54.1047677, 35.335443 54.1048638, 35.3358876 54.1049462, 35.3363042 54.1049871)",улица Глинки,,
61559996,29К-017,primary,False,True,25.205,"LINESTRING (35.3366742 54.1023221, 35.3368031 54.1021084)",,,
229886138,,residential,False,False,92.674,"LINESTRING (35.3366742 54.1023221, 35.3366044 54.1024167, 35.3364601 54.1026275, 35.3361144 54.1030881)",улица Кравченко,,
314590238,29К-017,primary,False,False,139.643,"LINESTRING (35.3366742 54.1023221, 35.3369022 54.1023838, 35.3376617 54.1024661, 35.3385925 54.1025376, 35.3387721 54.1025388)",переулок Кравченко,,
229886128,,residential,False,True,99.348,"LINESTRING (35.3356602 54.1039047, 35.3355427 54.1038973, 35.3353324 54.1038841, 35.3343369 54.1034974)",улица Тургенева,,
229886138,,residential,False,True,96.657,"LINESTRING (35.3356602 54.1039047, 35.3356469 54.1038195, 35.3356656 54.1037331, 35.3361144 54.1030881)",улица Кравченко,,
314715034,,residential,False,False,71.88,"LINESTRING (35.3356602 54.1039047, 35.3355767 54.1039656, 35.3354752 54.1040397, 35.3352786 54.1044987)",улица Кравченко,,
314715051,,residential,False,False,73.945,"LINESTRING (35.3356602 54.1039047, 35.3357595 54.1039768, 35.3359039 54.1040232, 35.3366865 54.104149)",улица Тургенева,,
229886139,,residential,False,False,61.855,"LINESTRING (35.3361144 54.1030881, 35.3370326 54.1032281)",улица Достоевского,,
229886138,,residential,False,False,96.657,"LINESTRING (35.3361144 54.1030881, 35.3356656 54.1037331, 35.3356469 54.1038195, 35.3356602 54.1039047)",улица Кравченко,,
229886138,,residential,False,True,92.674,"LINESTRING (35.3361144 54.1030881, 35.3364601 54.1026275, 35.3366044 54.1024167, 35.3366742 54.1023221)",улица Кравченко,,
229886139,,residential,False,True,80.977,"LINESTRING (35.3361144 54.1030881, 35.3359553 54.1029908, 35.3350958 54.1026774)",улица Достоевского,,
314590205,29К-017,primary,False,False,16.284,"LINESTRING (35.3336424 54.1005493, 35.3334287 54.1006251)",Интернациональная улица,,
314590205,29К-017,primary,False,True,41.34,"LINESTRING (35.3336424 54.1005493, 35.3339367 54.1004911, 35.3342561 54.1004612)",Интернациональная улица,,
314590207,,tertiary,False,True,28.9,"LINESTRING (35.3336424 54.1005493, 35.3336433 54.1004776, 35.3336084 54.1004229, 35.3334968 54.1003108)",Московская улица,,
229886152,,residential,False,True,143.654,"LINESTRING (35.3447106 54.0972026, 35.3468148 54.0975853)",улица Рокоссовского,,
229886123,,residential,False,False,87.05600000000001,"LINESTRING (35.3447106 54.0972026, 35.3444418 54.0976622, 35.3443081 54.0979487)",улица Осипенко,,
229886152,,residential,False,False,86.488,"LINESTRING (35.3447106 54.0972026, 35.3445759 54.0972014, 35.3434466 54.0969783)",улица Рокоссовского,,
