osmid,highway,oneway,reversed,length,geometry,ref,name,width,bridge
360595935,residential,False,False,96.625,"LINESTRING (46.4094846 52.2762808, 46.4097181 52.2762443, 46.4098978 52.2761861, 46.4102964 52.2760305, 46.4105831 52.2759547, 46.4107737 52.2759596)",,,,
366385419,secondary,False,False,236.8,"LINESTRING (46.4094846 52.2762808, 46.4094643 52.2763256, 46.4094338 52.2763729, 46.409381 52.2764239, 46.4092996 52.276486, 46.4091614 52.2765719, 46.4082515 52.277117, 46.4077005 52.277447, 46.4075586 52.2775558, 46.4074929 52.2776472, 46.4074523 52.277766, 46.4074595 52.2778416, 46.4074893 52.2779243)",63К-00009,улица Ленина,11.75,
366385419,secondary,False,True,190.68800000000002,"LINESTRING (46.4094846 52.2762808, 46.4094745 52.276139, 46.4094521 52.2760893, 46.4094054 52.2760408, 46.4091011 52.2758289, 46.4086157 52.2754908, 46.4085674 52.2754448, 46.4085326 52.2754046, 46.408495 52.2753415, 46.408487 52.2753045, 46.4085004 52.2752364, 46.4085192 52.2751814, 46.408558 52.2751232, 46.4088477 52.2748322)",63К-00009,улица Ленина,11.75,
126196213,tertiary,False,False,414.819,"LINESTRING (46.4077602 52.2781652, 46.4079022 52.2784463, 46.4081011 52.2787567, 46.4081685 52.2788495, 46.4082127 52.278935, 46.4082274 52.2790187, 46.4081048 52.2793176, 46.4079315 52.2795614, 46.4078039 52.2796741, 46.4077994 52.2796808, 46.4075003 52.2803207, 46.4074135 52.2805056, 46.4073283 52.2807116, 46.4069561 52.2815567, 46.4068793 52.2817133)",,улица Ленина,,
366385419,secondary,False,False,197.411,"LINESTRING (46.4077602 52.2781652, 46.4080181 52.2782873, 46.4081921 52.2783397, 46.4084472 52.2783765, 46.4086734 52.278383, 46.4088764 52.2783765, 46.4096538 52.2783202, 46.4099051 52.2783115, 46.410078 52.278324, 46.4102154 52.2783918, 46.4102897 52.2784671, 46.4102755 52.2785652)",63К-00009,улица Ленина,11.75,
366385419,secondary,False,True,32.599,"LINESTRING (46.4077602 52.2781652, 46.4076174 52.2780568, 46.4074893 52.2779243)",63К-00009,улица Ленина,11.75,
"[360569248, 360569249, 126196210]",unclassified,False,False,155.53000000000003,"LINESTRING (46.4074893 52.2779243, 46.4073679 52.2778616, 46.4072759 52.2778334, 46.4071874 52.2778248, 46.4070777 52.2778334, 46.4069503 52.2778573, 46.4068299 52.2779071, 46.4066778 52.2779699, 46.4062849 52.2781409, 46.4061668 52.2781804, 46.4059672 52.2781883, 46.4057433 52.278181, 46.4054232 52.2781961)",,,,yes
366385419,secondary,False,False,32.599,"LINESTRING (46.4074893 52.2779243, 46.4076174 52.2780568, 46.4077602 52.2781652)",63К-00009,улица Ленина,11.75,
366385419,secondary,False,True,236.8,"LINESTRING (46.4074893 52.2779243, 46.4074595 52.2778416, 46.4074523 52.277766, 46.4074929 52.2776472, 46.4075586 52.2775558, 46.4077005 52.277447, 46.4082515 52.277117, 46.4091614 52.2765719, 46.4092996 52.276486, 46.409381 52.2764239, 46.4094338 52.2763729, 46.4094643 52.2763256, 46.4094846 52.2762808)",63К-00009,улица Ленина,11.75,
49049962,tertiary,False,True,91.697,"LINESTRING (46.4088741 52.2807706, 46.4100542 52.2811691)",,улица Некрасова,,
366385419,secondary,False,True,201.064,"LINESTRING (46.4088741 52.2807706, 46.409163 52.2802271, 46.4094952 52.2796664, 46.4099158 52.2790801)",63К-00009,улица Ленина,11.75,
49049961,unclassified,False,False,76.95,"LINESTRING (46.4154176 52.2812613, 46.4165389 52.2813525)",,,,
49049962,tertiary,False,False,61.709,"LINESTRING (46.4154176 52.2812613, 46.4145344 52.2813879)",,улица Некрасова,,
245959770,tertiary,False,True,145.64,"LINESTRING (46.4154176 52.2812613, 46.4169953 52.2806398, 46.4172176 52.2805522)",,,,
