osmid,oneway,name,highway,maxspeed,reversed,length,ref,bridge,geometry
1246798408,False,Коммунистическая улица,residential,60,True,278.285,,,"LINESTRING (107.6017396 50.5922517, 107.6030781 50.5898977)"
"[1246798409, 111088350, 1246798407]",False,Советская улица,primary,,True,388.359,81А-004,yes,"LINESTRING (107.6017396 50.5922517, 107.6008951 50.5919512, 107.6004033 50.5916304, 107.5987217 50.5904952, 107.5981117 50.5900815, 107.5978436 50.589828)"
155811214,False,Советская улица,primary,,True,138.246,81А-004,,"LINESTRING (107.5948649 50.5874505, 107.5946329 50.5873444, 107.5932758 50.586724)"
531511430,False,улица Ленина,residential,,False,249.863,,,"LINESTRING (107.5948649 50.5874505, 107.5949722 50.5873138, 107.5964437 50.5854394)"
1246803706,False,Советская улица,primary,,False,122.619,81А-004,,"LINESTRING (107.5948649 50.5874505, 107.5952224 50.5876015, 107.5956491 50.5878255, 107.5961856 50.5881617)"
"[124973234, 1246803707]",False,"['улица Калинина', 'улица Ленина']",residential,,True,149.131,,,"LINESTRING (107.5948649 50.5874505, 107.5947853 50.5875473, 107.5946917 50.5876612, 107.593836 50.5886217)"
"[975871513, 1246798406]",False,улица Тельмана,residential,,False,120.471,,,"LINESTRING (107.5978436 50.589828, 107.5975392 50.5902993, 107.59748 50.5908721)"
"[1246798409, 111088350, 1246798407]",False,Советская улица,primary,,False,388.3589999999999,81А-004,yes,"LINESTRING (107.5978436 50.589828, 107.5981117 50.5900815, 107.5987217 50.5904952, 107.6004033 50.5916304, 107.6008951 50.5919512, 107.6017396 50.5922517)"
1246803706,False,Советская улица,primary,,True,219.84500000000003,81А-004,,"LINESTRING (107.5978436 50.589828, 107.5976173 50.5895615, 107.5970094 50.5888689, 107.5969402 50.5887892, 107.596464 50.5883623, 107.5961856 50.5881617)"
124973219,False,,residential,,False,332.45799999999997,,,"LINESTRING (107.5961856 50.5881617, 107.5966791 50.5878514, 107.5974224 50.5879461, 107.5976692 50.5878622, 107.5985856 50.5869503, 107.5991003 50.5862112)"
1246803706,False,Советская улица,primary,,False,219.845,81А-004,,"LINESTRING (107.5961856 50.5881617, 107.596464 50.5883623, 107.5969402 50.5887892, 107.5970094 50.5888689, 107.5976173 50.5895615, 107.5978436 50.589828)"
1246803706,False,Советская улица,primary,,True,122.619,81А-004,,"LINESTRING (107.5961856 50.5881617, 107.5956491 50.5878255, 107.5952224 50.5876015, 107.5948649 50.5874505)"
1246798408,False,Коммунистическая улица,residential,60,False,222.998,,,"LINESTRING (107.6036254 50.5879531, 107.603693 50.5885925, 107.6035996 50.5889078, 107.6030781 50.5898977)"
1246798408,False,Коммунистическая улица,residential,60,True,390.932,,,"LINESTRING (107.6036254 50.5879531, 107.6035511 50.5875497, 107.6029527 50.5859409, 107.6029157 50.584887, 107.6028927 50.5846688, 107.6029428 50.5844879)"
