osmid,oneway,highway,reversed,length,geometry,lanes,name,maxspeed,junction
34941942,True,residential,False,43.528,"LINESTRING (60.6151765 56.8394757, 60.6151564 56.8395355, 60.6151109 56.8396583, 60.61506 56.8397936, 60.6150376 56.8398597)",,,,
"[49612456, 540413271]",True,secondary,False,221.79899999999998,"LINESTRING (60.6150376 56.8398597, 60.6149177 56.8398445, 60.6120472 56.8395104, 60.6118246 56.8394845, 60.6115999 56.8394583, 60.6114845 56.8394238)",3,проспект Ленина,,
193819366,True,residential,False,294.457,"LINESTRING (60.6150376 56.8398597, 60.615011 56.8399309, 60.6149652 56.8400613, 60.6148086 56.8405139, 60.6148006 56.8405371, 60.614583 56.841054, 60.6144543 56.8413653, 60.6142182 56.8420234, 60.6141821 56.8421295, 60.6141214 56.8423461, 60.6140857 56.8424555)",2,улица Тургенева,,
"[47503212, 1135134575]",True,secondary,False,113.669,"LINESTRING (60.6112984 56.8393535, 60.6111034 56.8392732, 60.6095209 56.8390718)",4,проспект Ленина,RU:urban,
49612457,True,secondary,False,34.44,"LINESTRING (60.6112984 56.8393535, 60.6113386 56.8392341, 60.6113816 56.8391188, 60.6114084 56.8390497)",3,улица Карла Либкнехта,,
314796616,False,tertiary,True,12.389,"LINESTRING (60.6103712 56.8420904, 60.610571 56.8421121)",2,Первомайская улица,,
"[103545809, 314870451, 368014846]",True,secondary,False,309.554,"LINESTRING (60.6103712 56.8420904, 60.610407 56.8420013, 60.610535 56.8416919, 60.6107623 56.8410191, 60.6111218 56.8399012, 60.6112442 56.8395277, 60.611262 56.839478, 60.6112984 56.8393535)",3,улица Карла Либкнехта,60,
"[367252650, 367252651, 127682294]",False,tertiary,False,119.537,"LINESTRING (60.6103712 56.8420904, 60.6101898 56.8420725, 60.6101065 56.8420646, 60.6095762 56.8420142, 60.6090207 56.8419552, 60.6085895 56.841912, 60.6084374 56.8418984)","['2', '3']",Первомайская улица,,
20107615,False,residential,True,8.906,"LINESTRING (60.6094151 56.8351071, 60.6094442 56.8351856)",4,улица Пушкина,,
"[721793224, 360483226, 17328213, 1144247310]",True,secondary,False,152.559,"LINESTRING (60.6094151 56.8351071, 60.6096354 56.8351317, 60.6101593 56.835192, 60.6107235 56.835253, 60.6108785 56.8352685, 60.6114581 56.8353321, 60.6115405 56.8353411, 60.611701 56.8353272, 60.6118671 56.8352931)",3,улица Малышева,,
48765567,True,secondary,False,37.951,"LINESTRING (60.6119279 56.8356293, 60.6118623 56.8354986, 60.6118553 56.8354373, 60.6118603 56.8353756, 60.6118671 56.8352931)",3,улица Карла Либкнехта,,
1161013633,True,secondary,False,75.121,"LINESTRING (60.6119279 56.8356293, 60.611752 56.8355384, 60.6116336 56.8354796, 60.6115051 56.8354271, 60.6108492 56.8353454)",3,Улица Малышева,,
"[364397976, 20553097, 147639158]",True,secondary,False,373.93399999999997,"LINESTRING (60.6128723 56.8357812, 60.6126987 56.8359128, 60.6126379 56.8359589, 60.6125848 56.8360462, 60.6125062 56.83632, 60.6122707 56.8371084, 60.6119521 56.8381569, 60.6117101 56.8388858, 60.6116943 56.838927, 60.6116711 56.8389872, 60.6116444 56.839054)",4,улица Карла Либкнехта,60,
47124572,True,secondary,False,52.786,"LINESTRING (60.6128723 56.8357812, 60.6125139 56.8357394, 60.6120236 56.8356822)",4,улица Карла Либкнехта,,
17327830,True,secondary,False,8.293,"LINESTRING (60.6120236 56.8356822, 60.611977 56.8356599, 60.6119279 56.8356293)",4,улица Карла Либкнехта,60,
1152384885,True,secondary,False,22.94,"LINESTRING (60.6139802 56.8353465, 60.6138952 56.8355475)",4,улица Карла Либкнехта,60,
141564674,True,secondary,False,14.362,"LINESTRING (60.6114084 56.8390497, 60.6116444 56.839054)",4,проспект Ленина,RU:urban,
"[20553088, 147639155]",True,secondary,False,386.044,"LINESTRING (60.6114084 56.8390497, 60.6114359 56.838964, 60.6117331 56.8380799, 60.6118128 56.8378173, 60.612023 56.8370854, 60.6123349 56.835984, 60.6123476 56.8359391, 60.6122971 56.8358495, 60.6121664 56.8357574, 60.6120236 56.8356822)",4,улица Карла Либкнехта,,
314796616,False,tertiary,False,217.146,"LINESTRING (60.6140857 56.8424555, 60.6139433 56.8424426, 60.6133425 56.8423847, 60.6128593 56.8423359, 60.6125602 56.8423064, 60.6119414 56.842247, 60.6109397 56.8421453, 60.6107245 56.8421268, 60.610571 56.8421121)",2,Первомайская улица,,
35061947,False,residential,False,73.188,"LINESTRING (60.6084374 56.8418984, 60.6082848 56.8418831, 60.6079928 56.8418569, 60.6072527 56.841783)",2,Первомайская улица,,
156990877,False,residential,False,164.662,"LINESTRING (60.6084374 56.8418984, 60.6084606 56.8418294, 60.608562 56.8415818, 60.6086472 56.8413992, 60.608743 56.8411479, 60.6088204 56.8409449, 60.6089711 56.8405495, 60.6089891 56.8405023, 60.6090087 56.8404511)",4,улица Толмачёва,,
"[367252650, 367252651, 127682294]",False,tertiary,True,119.53699999999998,"LINESTRING (60.6084374 56.8418984, 60.6085895 56.841912, 60.6090207 56.8419552, 60.6095762 56.8420142, 60.6101065 56.8420646, 60.6101898 56.8420725, 60.6103712 56.8420904)","['2', '3']",Первомайская улица,,
62227369,False,residential,True,76.224,"LINESTRING (60.6090087 56.8404511, 60.6088266 56.8404321, 60.607883 56.8403333, 60.6077761 56.8403372)",,Почтовый переулок,,
