osmid,lanes,highway,maxspeed,oneway,reversed,length,name,geometry,bridge,ref
77485063,2,tertiary,80,False,False,37.35,,"LINESTRING (47.4223655 41.5376021, 47.4220514 41.537842)",,
376566441,2,tertiary,60,False,False,13.993,Центральная улица,"LINESTRING (47.4223655 41.5376021, 47.4224367 41.5374881)",,
376566441,2,tertiary,60,False,True,13.993,Центральная улица,"LINESTRING (47.4224367 41.5374881, 47.4223655 41.5376021)",,
376566441,2,tertiary,60,False,False,500.278,Центральная улица,"LINESTRING (47.4224367 41.5374881, 47.4224853 41.5371613, 47.422483 41.5369314, 47.422357 41.5367189, 47.42227 41.5366116, 47.4219865 41.5362618, 47.4218279 41.5359248, 47.4217482 41.5356522, 47.4216898 41.5354522, 47.4216807 41.5349557, 47.4216774 41.5347753, 47.4217397 41.5345211, 47.4217977 41.5344127, 47.4219286 41.5341678, 47.4220937 41.5340231, 47.422469 41.533825, 47.4226007 41.5338284, 47.4228179 41.5339488, 47.4228524 41.533987, 47.4229533 41.534099)",,
779959598,,residential,,False,True,88.511,Центральная улица,"LINESTRING (47.4224367 41.5374881, 47.4225347 41.5374406, 47.4225666 41.5373585, 47.4225878 41.5372896, 47.4225949 41.5372022, 47.4225878 41.5371201, 47.4226091 41.5370645, 47.4226515 41.5369956, 47.4226798 41.536932, 47.4226905 41.5368817, 47.4227011 41.5368128, 47.422713 41.5367519)",,
"[376566444, 483042947, 483042948]",2,tertiary,60,False,"[False, True]",284.695,Центральная улица,"LINESTRING (47.4236682 41.5345876, 47.4238371 41.5344835, 47.4240731 41.5342666, 47.4243492 41.5339031, 47.4243777 41.5338656, 47.4246174 41.5335857, 47.4247599 41.5335477, 47.4250713 41.5335583, 47.42585 41.533855, 47.4262758 41.5339033)",yes,82К-016
"[376566441, 483042948]",2,tertiary,60,False,True,80.626,Центральная улица,"LINESTRING (47.4236682 41.5345876, 47.4234185 41.5344005, 47.4229533 41.534099)",,
779959015,,residential,,False,False,33.268,Центральная улица,"LINESTRING (47.4236682 41.5345876, 47.4237381 41.5346854, 47.4237381 41.5347437, 47.4237982 41.5347835, 47.4238548 41.5348391)",,
376566444,2,tertiary,60,False,False,37.596,Центральная улица,"LINESTRING (47.429305 41.5336746, 47.4288561 41.533712)",,82К-016
376566444,2,tertiary,60,False,True,103.382,Центральная улица,"LINESTRING (47.429305 41.5336746, 47.4304556 41.5340247)",,82К-016
376566445,,residential,,False,True,61.115,Центральная улица,"LINESTRING (47.429305 41.5336746, 47.4299461 41.5334067)",,
376566446,1,residential,40,False,True,32.081,Центральная улица,"LINESTRING (47.4258445 41.5327881, 47.4254603 41.5327652)",,
376566446,1,residential,40,False,False,54.0,Центральная улица,"LINESTRING (47.4258445 41.5327881, 47.4262753 41.5328797, 47.4264597 41.5329394)",,
776478991,,residential,,False,False,85.112,,"LINESTRING (47.4258445 41.5327881, 47.4259088 41.5327223, 47.4259477 41.5326111, 47.4260056 41.5320438)",,
"[376566441, 483042948]",2,tertiary,60,False,False,80.626,Центральная улица,"LINESTRING (47.4229533 41.534099, 47.4234185 41.5344005, 47.4236682 41.5345876)",,
