osmid,name,highway,oneway,reversed,length,geometry
46913526,улица Гоголя,residential,False,True,186.405,"LINESTRING (40.7925443 44.4148563, 40.7925987 44.4147984, 40.7938428 44.4134599)"
309116904,улица Гоголя,tertiary,False,False,182.95499999999998,"LINESTRING (40.7925443 44.4148563, 40.7924282 44.4149734, 40.791754 44.415693, 40.7912378 44.4162112)"
"[309116906, 309116910]","['улица Горького', 'Октябрьская улица']",tertiary,False,"[False, True]",325.90599999999995,"LINESTRING (40.7925443 44.4148563, 40.7923439 44.4148082, 40.7915619 44.4146472, 40.7911857 44.4145464, 40.790974 44.4144779, 40.7908074 44.4143799, 40.7907155 44.4142957, 40.7906536 44.4142135, 40.790631 44.4141377, 40.7906233 44.4140905, 40.7906249 44.4140543, 40.7906461 44.4140155, 40.7910661 44.4134923, 40.7914974 44.4129946)"
46913530,улица Урицкого,residential,False,False,182.548,"LINESTRING (40.787883 44.4138934, 40.7865992 44.4152551)"
185511190,Октябрьская улица,residential,False,False,189.787,"LINESTRING (40.787883 44.4138934, 40.785611 44.4133649)"
46913530,улица Урицкого,residential,False,True,181.512,"LINESTRING (40.787883 44.4138934, 40.7887672 44.4130009, 40.789071 44.412644, 40.7891699 44.4125454)"
46913531,Красноармейская улица,residential,False,False,182.529,"LINESTRING (40.785611 44.4133649, 40.7842693 44.4146976)"
46913531,Красноармейская улица,residential,False,True,188.846,"LINESTRING (40.785611 44.4133649, 40.7868969 44.4119364)"
185511190,Октябрьская улица,residential,False,True,189.787,"LINESTRING (40.785611 44.4133649, 40.787883 44.4138934)"
46913079,улица Р. Люксембург,tertiary,False,False,195.161,"LINESTRING (40.7842693 44.4146976, 40.7865992 44.4152551)"
46913531,Красноармейская улица,residential,False,True,182.529,"LINESTRING (40.7842693 44.4146976, 40.785611 44.4133649)"
46913079,улица Р. Люксембург,tertiary,False,True,195.161,"LINESTRING (40.7865992 44.4152551, 40.7842693 44.4146976)"
46913530,улица Урицкого,residential,False,False,182.922,"LINESTRING (40.7865992 44.4152551, 40.7852743 44.4166007)"
46913530,улица Урицкого,residential,False,True,182.548,"LINESTRING (40.7865992 44.4152551, 40.787883 44.4138934)"
46913079,улица Р. Люксембург,tertiary,False,False,195.85500000000002,"LINESTRING (40.7865992 44.4152551, 40.7887535 44.4156958, 40.7889711 44.4157367)"
219499157,улица Горького,residential,False,False,186.24,"LINESTRING (40.7889711 44.4157367, 40.7875918 44.4170912)"
46913079,улица Р. Люксембург,tertiary,False,False,187.61599999999999,"LINESTRING (40.7889711 44.4157367, 40.78906 44.4157514, 40.7910828 44.4161776, 40.7912378 44.4162112)"
46913079,улица Р. Люксембург,tertiary,False,True,195.85500000000002,"LINESTRING (40.7889711 44.4157367, 40.7887535 44.4156958, 40.7865992 44.4152551)"
219499157,улица Горького,residential,False,True,172.56099999999998,"LINESTRING (40.7889711 44.4157367, 40.7890819 44.4156329, 40.7896374 44.4150952, 40.7899309 44.4147535, 40.7901924 44.4144549)"
46913079,улица Р. Люксембург,tertiary,False,False,201.686,"LINESTRING (40.7912378 44.4162112, 40.7936683 44.4167366)"
46913079,улица Р. Люксембург,tertiary,False,True,187.61599999999999,"LINESTRING (40.7912378 44.4162112, 40.7910828 44.4161776, 40.78906 44.4157514, 40.7889711 44.4157367)"
309116901,улица Гоголя,residential,False,False,182.156,"LINESTRING (40.7912378 44.4162112, 40.7911151 44.4163285, 40.7906251 44.4168688, 40.7899643 44.4175733)"
309116904,улица Гоголя,tertiary,False,True,182.955,"LINESTRING (40.7912378 44.4162112, 40.791754 44.415693, 40.7924282 44.4149734, 40.7925443 44.4148563)"
46913079,улица Р. Люксембург,tertiary,False,False,195.047,"LINESTRING (40.7936683 44.4167366, 40.7960238 44.4172328)"
46913079,улица Р. Люксембург,tertiary,False,True,201.686,"LINESTRING (40.7936683 44.4167366, 40.7912378 44.4162112)"
46913102,Первомайская улица,residential,False,False,185.9,"LINESTRING (40.7936683 44.4167366, 40.7937707 44.4166477, 40.7940548 44.4163005, 40.7944331 44.4159169, 40.7948388 44.415448, 40.7949638 44.4153479)"
46913102,Первомайская улица,residential,False,True,180.96200000000002,"LINESTRING (40.7936683 44.4167366, 40.7935414 44.4168562, 40.7923815 44.4180794)"
46913080,улица Чкалова,residential,False,False,200.11899999999997,"LINESTRING (40.7923815 44.4180794, 40.7922616 44.4180643, 40.7906781 44.4177283, 40.7899643 44.4175733)"
46913102,Первомайская улица,residential,False,False,180.96200000000002,"LINESTRING (40.7923815 44.4180794, 40.7935414 44.4168562, 40.7936683 44.4167366)"
309116901,улица Гоголя,residential,False,False,34.365,"LINESTRING (40.7899643 44.4175733, 40.7897162 44.4178265)"
46913080,улица Чкалова,residential,False,False,195.95000000000002,"LINESTRING (40.7899643 44.4175733, 40.7898236 44.4175407, 40.7892376 44.4174078, 40.7875918 44.4170912)"
46913080,улица Чкалова,residential,False,True,200.119,"LINESTRING (40.7899643 44.4175733, 40.7906781 44.4177283, 40.7922616 44.4180643, 40.7923815 44.4180794)"
309116901,улица Гоголя,residential,False,True,182.156,"LINESTRING (40.7899643 44.4175733, 40.7906251 44.4168688, 40.7911151 44.4163285, 40.7912378 44.4162112)"
46913080,улица Чкалова,residential,False,False,191.974,"LINESTRING (40.7875918 44.4170912, 40.7852743 44.4166007)"
219499157,улица Горького,residential,False,False,100.166,"LINESTRING (40.7875918 44.4170912, 40.7868822 44.4178359)"
219499157,улица Горького,residential,False,True,186.24,"LINESTRING (40.7875918 44.4170912, 40.7889711 44.4157367)"
46913080,улица Чкалова,residential,False,True,195.95,"LINESTRING (40.7875918 44.4170912, 40.7892376 44.4174078, 40.7898236 44.4175407, 40.7899643 44.4175733)"
46913080,улица Чкалова,residential,False,True,191.974,"LINESTRING (40.7852743 44.4166007, 40.7875918 44.4170912)"
46913530,улица Урицкого,residential,False,False,112.898,"LINESTRING (40.7852743 44.4166007, 40.7844554 44.4174306)"
46913530,улица Урицкого,residential,False,True,182.922,"LINESTRING (40.7852743 44.4166007, 40.7865992 44.4152551)"
46913530,улица Урицкого,residential,False,True,66.714,"LINESTRING (40.7839615 44.4179159, 40.7844554 44.4174306)"
46913105,Советская улица,residential,False,False,192.853,"LINESTRING (40.7915068 44.4095866, 40.7917013 44.4096184, 40.7937052 44.4100163, 40.7938457 44.4100506)"
46913530,улица Урицкого,residential,False,False,186.17,"LINESTRING (40.7915068 44.4095866, 40.7909807 44.4102915, 40.7905151 44.4109092, 40.7904018 44.4110631)"
46913105,Советская улица,residential,False,True,192.853,"LINESTRING (40.7938457 44.4100506, 40.7937052 44.4100163, 40.7917013 44.4096184, 40.7915068 44.4095866)"
309116910,улица Горького,tertiary,False,False,181.13799999999998,"LINESTRING (40.7938457 44.4100506, 40.7934507 44.410563, 40.7927491 44.4114789)"
309116910,улица Горького,tertiary,False,False,186.201,"LINESTRING (40.7926913 44.4115535, 40.7914974 44.4129946)"
309116910,улица Горького,tertiary,False,True,9.481,"LINESTRING (40.7926913 44.4115535, 40.7927491 44.4114789)"
212410229,улица Энгельса,residential,False,False,189.892,"LINESTRING (40.7926913 44.4115535, 40.7915794 44.4113032, 40.7905927 44.4110954, 40.7904018 44.4110631)"
212401749,улица Калинина,residential,False,False,135.135,"LINESTRING (40.7888967 44.4112178, 40.7885572 44.411595, 40.7880054 44.4122528)"
46913053,улица Калинина,residential,False,True,94.816,"LINESTRING (40.7880054 44.4122528, 40.7868969 44.4119364)"
46913053,улица Калинина,residential,False,False,98.243,"LINESTRING (40.7880054 44.4122528, 40.7885242 44.4124004, 40.7890592 44.4125334, 40.7891699 44.4125454)"
212401749,улица Калинина,residential,False,True,135.135,"LINESTRING (40.7880054 44.4122528, 40.7885572 44.411595, 40.7888967 44.4112178)"
219499157,улица Горького,residential,False,True,100.166,"LINESTRING (40.7868822 44.4178359, 40.7875918 44.4170912)"
212401747,улица Горького,residential,False,False,149.04799999999997,"LINESTRING (40.7868822 44.4178359, 40.7882936 44.418161, 40.7883435 44.418161, 40.7883906 44.4181422, 40.7884627 44.4180847, 40.7885043 44.418056, 40.7886276 44.4180471)"
212401747,улица Горького,residential,False,True,149.048,"LINESTRING (40.7886276 44.4180471, 40.7885043 44.418056, 40.7884627 44.4180847, 40.7883906 44.4181422, 40.7883435 44.418161, 40.7882936 44.418161, 40.7868822 44.4178359)"
219487195,улица Энгельса,residential,False,False,105.53999999999999,"LINESTRING (40.7840464 44.4095713, 40.7846318 44.4097622, 40.785105 44.4098628, 40.7852958 44.409874)"
85780844,улица Будённого,tertiary,False,True,7.117,"LINESTRING (40.7852958 44.409874, 40.7852871 44.4099377)"
219487195,улица Энгельса,residential,False,True,105.53999999999999,"LINESTRING (40.7852958 44.409874, 40.785105 44.4098628, 40.7846318 44.4097622, 40.7840464 44.4095713)"
219499157,улица Горького,residential,False,False,172.561,"LINESTRING (40.7901924 44.4144549, 40.7899309 44.4147535, 40.7896374 44.4150952, 40.7890819 44.4156329, 40.7889711 44.4157367)"
228742017,улица Урицкого,residential,False,True,74.381,"LINESTRING (40.7836579 44.4170799, 40.7844554 44.4174306)"
46913530,улица Урицкого,residential,False,False,66.714,"LINESTRING (40.7844554 44.4174306, 40.7839615 44.4179159)"
46913530,улица Урицкого,residential,False,True,112.898,"LINESTRING (40.7844554 44.4174306, 40.7852743 44.4166007)"
228742017,улица Урицкого,residential,False,False,74.381,"LINESTRING (40.7844554 44.4174306, 40.7836579 44.4170799)"
309116901,улица Гоголя,residential,False,True,34.365,"LINESTRING (40.7897162 44.4178265, 40.7899643 44.4175733)"
