osmid,oneway,name,highway,reversed,length,geometry,bridge,maxspeed
237767030,False,Московская улица,residential,False,205.51,"LINESTRING (42.8452526 45.3406516, 42.8451953 45.340615, 42.8444424 45.3401335, 42.8437557 45.3397025, 42.8435549 45.3395743, 42.8433042 45.3394106)",,
237767030,False,Московская улица,residential,True,203.844,"LINESTRING (42.8452526 45.3406516, 42.8461181 45.3412846, 42.8461956 45.3413413, 42.8464646 45.341538, 42.8470598 45.3419734)",,
231702013,False,улица Чапаева,residential,True,97.347,"LINESTRING (42.8465204 45.3446859, 42.8476722 45.3443526)",,
"[230533532, 262840614]",True,Октябрьская улица,secondary,False,196.469,"LINESTRING (42.8424917 45.3441698, 42.84235 45.3440428, 42.8420931 45.3438045, 42.8419224 45.3436412, 42.8409927 45.3427515)",,40
231682670,True,Бассейная улица,residential,False,92.981,"LINESTRING (42.8424917 45.3441698, 42.8421393 45.3443389, 42.8417548 45.344519, 42.8414985 45.3446299)",,
78747607,False,Театральная улица,residential,False,112.973,"LINESTRING (42.8399519 45.3417912, 42.8410425 45.3411244)",,
78747411,False,Красная улица,residential,False,13.633,"LINESTRING (42.8402734 45.3431459, 42.8404115 45.343071)",,
78747607,False,Театральная улица,residential,True,112.973,"LINESTRING (42.8410425 45.3411244, 42.8399519 45.3417912)",,
1192645322,True,Почтовая улица,secondary,False,140.862,"LINESTRING (42.8410425 45.3411244, 42.8416267 45.3416738, 42.8421215 45.3421391)",,
230537806,False,,residential,False,119.786,"LINESTRING (42.8461538 45.3392006, 42.8461392 45.3390827, 42.8460873 45.338662, 42.8459564 45.3381333)",,
262643832,False,улица Ленина,residential,False,68.52,"LINESTRING (42.8461538 45.3392006, 42.8465437 45.3392079, 42.8467834 45.3392281, 42.8469121 45.3392583, 42.8469532 45.3392891, 42.8469871 45.3393144)",,
262643832,False,улица Ленина,residential,True,139.748,"LINESTRING (42.8461538 45.3392006, 42.8458418 45.3391947, 42.8446864 45.3392532, 42.8446719 45.3392539, 42.8444485 45.339277, 42.8443722 45.3392849)",,
78747417,False,Маяковского улица,residential,False,15.662,"LINESTRING (42.8458946 45.337784, 42.8458409 45.3376483)",,
306370973,False,,residential,True,26.532,"LINESTRING (42.8459321 45.3378953, 42.8459564 45.3381333)",,
231682669,False,Почтовая улица,residential,True,202.281,"LINESTRING (42.8421215 45.3421391, 42.8436458 45.3436093)",,
231685017,True,Красная улица,secondary,False,126.809,"LINESTRING (42.8421215 45.3421391, 42.8434715 45.3415065)",,
231682670,True,Бассейная улица,residential,False,120.351,"LINESTRING (42.8448552 45.3429393, 42.8436458 45.3436093)",,
"[78738354, 230535678]",True,улица Тургенева,"['secondary', 'secondary_link']",False,233.98899999999998,"LINESTRING (42.8448552 45.3429393, 42.8452882 45.3433268, 42.8465204 45.3446859)",yes,
230928883,False,Бассейная улица,tertiary,True,134.632,"LINESTRING (42.8448552 45.3429393, 42.8455866 45.3425543, 42.8463456 45.3423578)",,
647307903,False,Калаусская улица,residential,False,59.187,"LINESTRING (42.8414985 45.3446299, 42.841099 45.3441777)",,
231683897,False,Переходная улица,residential,True,178.269,"LINESTRING (42.8465629 45.3429701, 42.8466077 45.3431012, 42.8467121 45.3432691, 42.8468539 45.3434369, 42.8470255 45.3436362, 42.8472941 45.3438302, 42.8474508 45.3440295, 42.8476722 45.3443526)",,
231682916,False,,residential,False,45.284,"LINESTRING (42.8464659 45.3427237, 42.8465256 45.342624, 42.8464734 45.3424877, 42.8463456 45.3423578)",,
230928883,False,Бассейная улица,tertiary,False,134.632,"LINESTRING (42.8463456 45.3423578, 42.8455866 45.3425543, 42.8448552 45.3429393)",,
230928883,False,Бассейная улица,tertiary,True,70.384,"LINESTRING (42.8463456 45.3423578, 42.8469834 45.3420033, 42.8470598 45.3419734)",,
231682916,False,,residential,True,45.284,"LINESTRING (42.8463456 45.3423578, 42.8464734 45.3424877, 42.8465256 45.342624, 42.8464659 45.3427237)",,
231702013,False,улица Чапаева,residential,False,97.347,"LINESTRING (42.8476722 45.3443526, 42.8465204 45.3446859)",,
231702013,False,улица Чапаева,residential,True,77.812,"LINESTRING (42.8476722 45.3443526, 42.8485687 45.3440482)",,
231683897,False,Переходная улица,residential,False,178.26899999999998,"LINESTRING (42.8476722 45.3443526, 42.8474508 45.3440295, 42.8472941 45.3438302, 42.8470255 45.3436362, 42.8468539 45.3434369, 42.8467121 45.3432691, 42.8466077 45.3431012, 42.8465629 45.3429701)",,
78738316,False,Ярморочная улица,residential,True,35.927,"LINESTRING (42.8500548 45.3431432, 42.8502766 45.3434262)",,
231683899,False,Ярморочная улица,residential,False,59.495000000000005,"LINESTRING (42.8499429 45.3429754, 42.849831 45.3428023, 42.8497563 45.3424614)",,
231683900,False,Пролетарская улица,residential,False,132.25,"LINESTRING (42.8485687 45.3440482, 42.8483821 45.3428661)",,
231702013,False,улица Чапаева,residential,False,77.812,"LINESTRING (42.8485687 45.3440482, 42.8476722 45.3443526)",,
231702013,False,улица Чапаева,residential,True,150.333,"LINESTRING (42.8485687 45.3440482, 42.8502766 45.3434262)",,
"[262514786, 230537795]",True,улица Калинина,residential,False,125.991,"LINESTRING (42.8432559 45.3368817, 42.8433477 45.3370596, 42.8434405 45.3372996, 42.843503 45.3376284, 42.8435765 45.3379881)",yes,
"[262803736, 1191733344, 262803735]",False,Комсомольская улица,tertiary,True,147.49,"LINESTRING (42.8432559 45.3368817, 42.8425956 45.3370968, 42.8420569 45.3372904, 42.8415348 45.337421)",yes,
231682669,False,Почтовая улица,residential,False,202.281,"LINESTRING (42.8436458 45.3436093, 42.8421215 45.3421391)",,
231682670,True,Бассейная улица,residential,False,109.635,"LINESTRING (42.8436458 45.3436093, 42.8424917 45.3441698)",,
231683900,False,Пролетарская улица,residential,True,132.25,"LINESTRING (42.8483821 45.3428661, 42.8485687 45.3440482)",,
230535605,False,улица Пушкина,unclassified,False,297.488,"LINESTRING (42.8482292 45.3396874, 42.8497238 45.3390332, 42.8505119 45.3386882, 42.851478 45.3382941)",,
231683899,False,Ярморочная улица,residential,True,82.54299999999999,"LINESTRING (42.8486305 45.3406781, 42.8490062 45.3412907, 42.8490475 45.3413601)",,
230535783,True,Почтовая улица,secondary,False,155.991,"LINESTRING (42.8398985 45.3399759, 42.8401373 45.3401836, 42.8404806 45.3405305, 42.8407917 45.3408624, 42.8410425 45.3411244)",,
230928886,False,улица Ленина,residential,False,273.534,"LINESTRING (42.8398985 45.3399759, 42.8403668 45.3399052, 42.841608 45.3397027, 42.8418527 45.3396666, 42.8433042 45.3394106)",,
78747411,False,Красная улица,residential,False,57.667,"LINESTRING (42.8404115 45.343071, 42.8409927 45.3427515)",,
78747411,False,Красная улица,residential,True,13.633,"LINESTRING (42.8404115 45.343071, 42.8402734 45.3431459)",,
307425823,False,Калаусская улица,residential,False,135.10399999999998,"LINESTRING (42.8404115 45.343071, 42.8405034 45.343363, 42.841099 45.3441777)",,
647307903,False,Калаусская улица,residential,True,59.187,"LINESTRING (42.841099 45.3441777, 42.8414985 45.3446299)",,
307425823,False,Калаусская улица,residential,True,135.10399999999998,"LINESTRING (42.841099 45.3441777, 42.8405034 45.343363, 42.8404115 45.343071)",,
262643832,False,улица Ленина,residential,True,68.52,"LINESTRING (42.8469871 45.3393144, 42.8469532 45.3392891, 42.8469121 45.3392583, 42.8467834 45.3392281, 42.8465437 45.3392079, 42.8461538 45.3392006)",,
230928886,False,улица Ленина,residential,False,84.735,"LINESTRING (42.8433042 45.3394106, 42.8436464 45.3393535, 42.8439651 45.3393194, 42.8443722 45.3392849)",,
230928886,False,улица Ленина,residential,True,273.534,"LINESTRING (42.8433042 45.3394106, 42.8418527 45.3396666, 42.841608 45.3397027, 42.8403668 45.3399052, 42.8398985 45.3399759)",,
237767030,False,Московская улица,residential,True,205.51,"LINESTRING (42.8433042 45.3394106, 42.8435549 45.3395743, 42.8437557 45.3397025, 42.8444424 45.3401335, 42.8451953 45.340615, 42.8452526 45.3406516)",,
1192644617,False,улица Тургенева,residential,False,102.141,"LINESTRING (42.8426339 45.3408014, 42.8434715 45.3415065)",,
