osmid,oneway,lanes,name,highway,maxspeed,reversed,length,geometry,junction,access
"[374758528, 374758527]",True,3,Пушкинская улица,secondary,RU:urban,False,207.74399999999997,"LINESTRING (39.2017231 51.6635022, 39.2006478 51.6630788, 39.200594 51.66306, 39.2004894 51.6630189, 39.1993192 51.662555, 39.1991846 51.6624969)",,
986789865,False,4,Пушкинская улица,secondary,RU:urban,True,162.69400000000002,"LINESTRING (39.2017231 51.6635022, 39.2018431 51.6635496, 39.2023511 51.6637526, 39.203713 51.6642879)",,
"[26115752, 987153266, 287230262]",True,2,Плехановская улица,tertiary,RU:urban,False,110.418,"LINESTRING (39.2053207 51.6573602, 39.2052968 51.6574207, 39.205267 51.6574683, 39.2051437 51.6575955, 39.2050291 51.6577008, 39.2049626 51.6577559, 39.2044453 51.6581844)",,
151570885,True,2,Университетская площадь,tertiary,RU:urban,False,31.798000000000002,"LINESTRING (39.2053207 51.6573602, 39.2052672 51.6573945, 39.2052023 51.6574199, 39.2051295 51.6574351, 39.2050529 51.6574391, 39.204977 51.6574319, 39.204906 51.6574137)",roundabout,
293840239,False,2,улица Карла Маркса,tertiary,RU:urban,True,40.039,"LINESTRING (39.2061349 51.6630467, 39.2064017 51.6627269)",,
97041777,False,4,улица Карла Маркса,secondary,RU:urban,False,104.487,"LINESTRING (39.2061349 51.6630467, 39.2060752 51.6631146, 39.2056278 51.66352, 39.2052969 51.6638291)",,
"[41751000, 28858139]",True,2,"['проспект Революции', 'площадь Ленина']",primary,RU:urban,False,181.277,"LINESTRING (39.2044794 51.664357, 39.2042646 51.664042, 39.2037502 51.6632207, 39.2036476 51.663109, 39.203521 51.6630256, 39.2033034 51.6629324)",,
289299639,False,3,улица Карла Маркса,secondary,RU:urban,False,54.32,"LINESTRING (39.2044794 51.664357, 39.2041163 51.664369, 39.203713 51.6642879)",,
41750999,True,3,площадь Ленина,secondary,,False,9.813,"LINESTRING (39.2002878 51.6616064, 39.2001697 51.6615572)",,
154661009,True,3,Плехановская улица,primary,RU:urban,False,124.899,"LINESTRING (39.2002878 51.6616064, 39.2001192 51.6617312, 39.1996672 51.6621005, 39.1991846 51.6624969)",,
