osmid,oneway,lanes,ref,highway,maxspeed,reversed,length,geometry,name
440442774,False,2,36К-277,primary,90,False,665.991,"LINESTRING (51.1525347 53.3602786, 51.1531954 53.3601612, 51.1542983 53.3599924, 51.1548298 53.3599257, 51.1551896 53.3598858, 51.1559092 53.3598375, 51.1564088 53.3598198, 51.157039 53.3598063, 51.1576289 53.3597992, 51.1584513 53.3598658, 51.1595003 53.360003, 51.1599894 53.3600728, 51.1604753 53.3601421, 51.160686 53.3601764, 51.1623542 53.3604478)",
"[26701155, 562420870]",False,,36Н-294,tertiary,,True,774.844,"LINESTRING (51.1557992 53.3554647, 51.1562498 53.35583, 51.1565655 53.3560674, 51.1567993 53.356227, 51.1569704 53.3563148, 51.1571897 53.3564198, 51.1587948 53.356985, 51.1606914 53.3576193, 51.1617446 53.3579876, 51.1618651 53.358048, 51.1620362 53.3581558, 51.1621133 53.3582723, 51.1621398 53.3583932, 51.1621543 53.3586132, 51.1621542 53.3586882, 51.1621534 53.3590519, 51.1621528 53.3593873, 51.1621835 53.3600056, 51.1622108 53.3601744, 51.1622733 53.3603159, 51.1623542 53.3604478)",улица Специалистов
562420872,False,,,residential,,False,386.625,"LINESTRING (51.1557992 53.3554647, 51.1560655 53.3553632, 51.1565376 53.3553471, 51.1572457 53.3553471, 51.1580901 53.3555455, 51.1585546 53.3556545, 51.1611778 53.3564229)",Зелёная улица
"[26701155, 562420870]",False,,36Н-294,tertiary,,False,774.844,"LINESTRING (51.1623542 53.3604478, 51.1622733 53.3603159, 51.1622108 53.3601744, 51.1621835 53.3600056, 51.1621528 53.3593873, 51.1621534 53.3590519, 51.1621542 53.3586882, 51.1621543 53.3586132, 51.1621398 53.3583932, 51.1621133 53.3582723, 51.1620362 53.3581558, 51.1618651 53.358048, 51.1617446 53.3579876, 51.1606914 53.3576193, 51.1587948 53.356985, 51.1571897 53.3564198, 51.1569704 53.3563148, 51.1567993 53.356227, 51.1565655 53.3560674, 51.1562498 53.35583, 51.1557992 53.3554647)",улица Специалистов
440442774,False,2,36К-277,primary,90,True,665.991,"LINESTRING (51.1623542 53.3604478, 51.160686 53.3601764, 51.1604753 53.3601421, 51.1599894 53.3600728, 51.1595003 53.360003, 51.1584513 53.3598658, 51.1576289 53.3597992, 51.157039 53.3598063, 51.1564088 53.3598198, 51.1559092 53.3598375, 51.1551896 53.3598858, 51.1548298 53.3599257, 51.1542983 53.3599924, 51.1531954 53.3601612, 51.1525347 53.3602786)",
562420872,False,,,residential,,True,386.625,"LINESTRING (51.1611778 53.3564229, 51.1585546 53.3556545, 51.1580901 53.3555455, 51.1572457 53.3553471, 51.1565376 53.3553471, 51.1560655 53.3553632, 51.1557992 53.3554647)",Зелёная улица
