osmid,oneway,highway,reversed,length,geometry,lanes,name,maxspeed,bridge
95782301,True,motorway_link,False,214.397,"LINESTRING (-61.4079609 10.5146688, -61.4080188 10.5151727, -61.4080235 10.515535, -61.4080075 10.5157394, -61.4079846 10.5158883, -61.4079527 10.5161382, -61.4079115 10.5165876)",,,,
146589116,True,primary,False,90.886,"LINESTRING (-61.4079609 10.5146688, -61.4078911 10.5146641, -61.4071315 10.5146134)",2,Southern Main Road,40,
599938630,False,primary,False,14.907,"LINESTRING (-61.4060445 10.5145048, -61.4059086 10.5144939)",2,Southern Main Road,40,
293328858,True,primary,False,56.931,"LINESTRING (-61.4060445 10.5145048, -61.4061774 10.5144687, -61.4065594 10.5144939)",2,Southern Main Road,40,
95782302,True,motorway_link,False,246.385,"LINESTRING (-61.4075446 10.5124146, -61.4076153 10.5126033, -61.407722 10.513157, -61.407796 10.5134144, -61.4078586 10.5136754, -61.4079022 10.5139626, -61.4079193 10.5141044, -61.4079512 10.5145857)",,,,
"[93168055, 122208461, 93168087]",True,motorway,False,465.766,"LINESTRING (-61.4075446 10.5124146, -61.4076933 10.5143147, -61.407741 10.5148474, -61.4079115 10.5165876)",2,"['Uriah Butler Highway', 'Sir Solomon Hochoy Highway']",100,yes
97126056,False,tertiary,False,7.902,"LINESTRING (-61.4057069 10.5188212, -61.4057131 10.5187504)",,Gaston Street,,
101192827,False,residential,True,93.673,"LINESTRING (-61.4057069 10.5188212, -61.4048544 10.5187367)",,,,
391048913,True,tertiary,False,133.311,"LINESTRING (-61.4071121 10.5152127, -61.4058955 10.5151319)",2,John Street,,
391113764,True,primary,False,20.266,"LINESTRING (-61.4093134 10.5147664, -61.4094982 10.5147807)",2,Chaguanas Main Road,,
"[1181243269, 554993999]",True,primary,False,148.264,"LINESTRING (-61.4093134 10.5147664, -61.409116 10.5147522, -61.4080337 10.5146741, -61.4079609 10.5146688)",2,"['Chaguanas Main Road', 'Southern Main Road']",40,
146589159,True,primary,False,95.232,"LINESTRING (-61.4094982 10.5147807, -61.4102295 10.515246)",3,Chaguanas Main Road,,
282547748,True,primary,False,44.372,"LINESTRING (-61.4091674 10.5140161, -61.4091905 10.5136177)",2,Southern Main Road,40,
