osmid,oneway,lanes,name,highway,reversed,length,maxspeed,geometry,access,junction
221986884,True,2,Park Street,secondary,False,77.521,,"LINESTRING (-61.5161781 10.6565236, -61.5154687 10.6565236)",,
165467864,True,,French Street,primary,False,12.964,,"LINESTRING (-61.5214232 10.6580854, -61.5214857 10.6579863)",,
702329728,True,2,Wrightson Road,trunk,False,300.884,65,"LINESTRING (-61.5214232 10.6580854, -61.5213255 10.6580224, -61.5212421 10.6579668, -61.5208384 10.657657, -61.5206757 10.6575377, -61.5206587 10.6575252, -61.5204375 10.6573499, -61.520403 10.6573253, -61.5203932 10.6573183, -61.5198688 10.6569163, -61.5192398 10.6564379)",,
37279106,True,,Methuen Street,residential,False,145.297,,"LINESTRING (-61.5197773 10.6584292, -61.5208319 10.659225)",,
165914069,False,,Gatacre Street,residential,False,58.232,,"LINESTRING (-61.5197773 10.6584292, -61.5195503 10.658903)",,
165914069,False,,Gatacre Street,residential,True,70.11,,"LINESTRING (-61.5197773 10.6584292, -61.5200507 10.6578588)",,
171719685,True,,Phillip Street,tertiary,False,20.466,,"LINESTRING (-61.5161857 10.6567075, -61.5161781 10.6565236)",,
702496064,False,,Phillip Street,tertiary,True,74.626,,"LINESTRING (-61.5161857 10.6567075, -61.515746 10.657221)",,
1210796496,True,2,Dundonald Street,tertiary,False,21.776,,"LINESTRING (-61.5134796 10.6614396, -61.5134943 10.6612443)",,
37463080,True,,Fitzgerald Street,unclassified,False,99.049,,"LINESTRING (-61.514259 10.6612674, -61.5151649 10.6612973)",,
37576827,False,1,Borde Street,residential,True,29.603,,"LINESTRING (-61.514259 10.6612674, -61.514285 10.6610024)",,
37684889,True,1,McDonald Street,residential,False,147.413,50,"LINESTRING (-61.5211243 10.6586615, -61.5200507 10.6578588)",yes,
702138068,True,2,French Street,primary,False,71.906,,"LINESTRING (-61.5211243 10.6586615, -61.5214049 10.6581207, -61.5214232 10.6580854)",,
37793225,True,,Charles Street,unclassified,False,77.431,,"LINESTRING (-61.5137739 10.6537717, -61.5144822 10.6537525)",,
389933568,True,1,Richmond Street,tertiary,False,71.972,,"LINESTRING (-61.5137739 10.6537717, -61.513749 10.6531249)",,
171719688,False,,Stone Street,unclassified,False,180.873,,"LINESTRING (-61.5171303 10.6564656, -61.5170969 10.6548393)",,
"[37793224, 37272601]",True,,Flament Street,unclassified,False,247.30199999999996,,"LINESTRING (-61.5171303 10.6564656, -61.5176614 10.6564577, -61.5177459 10.6564366, -61.5177794 10.6564063, -61.5178002 10.6563742, -61.517805 10.6563389, -61.5177375 10.654967, -61.5177345 10.6548426)",,
439029700,False,,Park Street,unclassified,False,71.644,30,"LINESTRING (-61.5171303 10.6564656, -61.5166006 10.6564893, -61.5164756 10.6564987)",,
37793423,True,,Stone Street,unclassified,False,4.278,,"LINESTRING (-61.5169175 10.656877, -61.5169378 10.6568441)",,
