osmid,oneway,name,highway,reversed,length,geometry,lanes,maxspeed,access,bridge
14703624,True,Darrell Spring Road,secondary,False,140.586,"LINESTRING (-60.7384189 11.1849782, -60.7382857 11.1850374, -60.7381011 11.1852062, -60.7376061 11.1856834, -60.7375176 11.1857268, -60.7374211 11.1857149)",,,,
"[1042769451, 14703622]",False,Wilson Road,secondary,True,207.354,"LINESTRING (-60.7384189 11.1849782, -60.7391273 11.1859445, -60.7392583 11.1861176, -60.739485 11.1864438, -60.739519 11.1864986)",2,50,yes,
390073295,True,Gardenside Street,secondary,False,83.189,"LINESTRING (-60.7374211 11.1857149, -60.737286 11.1856398, -60.7368848 11.1851925)",,,,
27655049,True,Post Office Street,unclassified,False,151.783,"LINESTRING (-60.7368848 11.1851925, -60.7380077 11.1843864)",2,60,,
390073295,True,Gardenside Street,secondary,False,6.266,"LINESTRING (-60.7368848 11.1851925, -60.7368472 11.1851499)",,,,
14703627,False,Carrington Street,secondary,True,86.25,"LINESTRING (-60.736021 11.182431, -60.7352539 11.182243)",,50,,
14703631,True,Carrington Street,secondary,False,16.244,"LINESTRING (-60.736021 11.182431, -60.7361649 11.1824686)",,50,,
14703627,False,Carrington Street,secondary,False,14.634,"LINESTRING (-60.7348173 11.182143, -60.7349492 11.182167)",,50,,
27655107,True,Carrington Street,secondary,False,44.286,"LINESTRING (-60.7348173 11.182143, -60.7345537 11.1822463, -60.7344418 11.1822943)",,,,
"[231287764, 231287765, 390084142]",False,Milford Road,secondary,True,152.859,"LINESTRING (-60.7390475 11.1825289, -60.7385392 11.1826477, -60.7384415 11.1826641, -60.7382184 11.1826995, -60.7379515 11.1827403, -60.7376685 11.1827574)",2,50,yes,yes
711887235,False,Sangsters Hill,residential,False,75.58699999999999,"LINESTRING (-60.7390475 11.1825289, -60.7390645 11.1825748, -60.7392135 11.1827916, -60.7394723 11.18306)",,30,yes,
"[711887232, 711887234, 1198542501, 1198542502, 1198542503]",False,Sangsters Hill,residential,"[False, True]",169.25,"LINESTRING (-60.7394723 11.18306, -60.7393226 11.1832168, -60.7392688 11.1832721, -60.7390779 11.1835084, -60.7390067 11.1835987, -60.7389463 11.1836447, -60.7388511 11.1837013, -60.7386714 11.1838, -60.7386101 11.1838309, -60.738282 11.183995)",,30,yes,yes
711887235,False,Sangsters Hill,residential,True,75.58699999999999,"LINESTRING (-60.7394723 11.18306, -60.7392135 11.1827916, -60.7390645 11.1825748, -60.7390475 11.1825289)",,30,yes,
25775188,False,Fort Street,residential,False,50.539,"LINESTRING (-60.7310287 11.1811181, -60.730912 11.1810707, -60.7308195 11.1810497, -60.7307283 11.1810615, -60.7305915 11.181122)",,,,
25775188,False,Fort Street,residential,True,58.801,"LINESTRING (-60.7310287 11.1811181, -60.7311574 11.181151, -60.7312249 11.18116, -60.7312854 11.1811584, -60.7313561 11.1811348, -60.7314318 11.1810897, -60.7315356 11.1810431)",,,,
390002572,False,Keen Street,residential,True,56.815999999999995,"LINESTRING (-60.7310287 11.1811181, -60.731036 11.1811593, -60.7312049 11.1815982)",,,,
164094271,False,Main Street,secondary,False,53.056,"LINESTRING (-60.7330927 11.1810063, -60.7335538 11.1808545)",,,,
179496181,False,Main Street,residential,False,52.051,"LINESTRING (-60.7330927 11.1810063, -60.7326407 11.1811563)",2,,yes,
381733829,False,Bacolet Street,primary,True,94.116,"LINESTRING (-60.7330927 11.1810063, -60.7333135 11.1816702, -60.7333354 11.1818167)",2,50,,
179496181,False,Main Street,residential,True,52.051,"LINESTRING (-60.7326407 11.1811563, -60.7330927 11.1810063)",2,,yes,
231286640,True,Main Street,residential,False,57.019,"LINESTRING (-60.7326407 11.1811563, -60.7321472 11.1813253)",2,60,yes,
25775185,False,Robinson Street,residential,False,62.911,"LINESTRING (-60.7326407 11.1811563, -60.7326498 11.1811862, -60.7328016 11.1816996)",,60,,
25775188,False,Fort Street,residential,False,124.248,"LINESTRING (-60.7326407 11.1811563, -60.7325129 11.1811709, -60.7324302 11.1811628, -60.7323521 11.1811288, -60.7322852 11.1810835, -60.7322215 11.181058, -60.7321148 11.1810397, -60.7320018 11.1810226, -60.7319058 11.1810142, -60.7317455 11.1810194, -60.731642 11.181021, -60.7315356 11.1810431)",,,,
25775185,False,Robinson Street,residential,True,29.132,"LINESTRING (-60.7328743 11.1819517, -60.7328016 11.1816996)",,60,,
168074144,False,Piggott Street,residential,False,25.769,"LINESTRING (-60.7328743 11.1819517, -60.7327047 11.1819061, -60.7326705 11.1819011, -60.7326447 11.1819009)",,60,,
168074144,False,Piggott Street,residential,True,54.26,"LINESTRING (-60.7328743 11.1819517, -60.7329132 11.1819631, -60.7329545 11.1819706, -60.7330055 11.1819668, -60.7330511 11.1819456, -60.7333354 11.1818167)",,60,,
168074144,False,Piggott Street,residential,False,54.260000000000005,"LINESTRING (-60.7333354 11.1818167, -60.7330511 11.1819456, -60.7330055 11.1819668, -60.7329545 11.1819706, -60.7329132 11.1819631, -60.7328743 11.1819517)",,60,,
231050099,False,Bacolet Street,primary,True,437.314,"LINESTRING (-60.7333354 11.1818167, -60.7333233 11.1819937, -60.733326 11.1824094, -60.7332442 11.1827173, -60.7331664 11.1829054, -60.733098 11.1830199, -60.732972 11.1830988, -60.7324355 11.1833475, -60.7320847 11.1834967, -60.7319788 11.1835717, -60.7318688 11.183719, -60.7317749 11.183948, -60.7317347 11.1841756, -60.7317293 11.1843953, -60.7317387 11.1849689)",2,50,,
381733829,False,Bacolet Street,primary,False,94.116,"LINESTRING (-60.7333354 11.1818167, -60.7333135 11.1816702, -60.7330927 11.1810063)",2,50,,
27655120,True,Piggott Street,residential,False,48.744,"LINESTRING (-60.7338692 11.1816812, -60.7335513 11.181772, -60.7334387 11.1817983)",,,,
25775186,True,Jerningham Street,residential,False,61.7,"LINESTRING (-60.7335538 11.1808545, -60.7337646 11.1813694)",,,,
164094271,False,Main Street,secondary,True,53.056,"LINESTRING (-60.7335538 11.1808545, -60.7330927 11.1810063)",,,,
27655120,True,Piggott Street,residential,False,47.233,"LINESTRING (-60.7342763 11.1815365, -60.7338692 11.1816812)",,,,
27655109,True,Burnett Street,secondary,False,36.388000000000005,"LINESTRING (-60.7342763 11.1815365, -60.7341893 11.1812533, -60.7341803 11.1812231)",,,,
68590582,False,North Side Road,secondary,True,38.763,"LINESTRING (-60.7326105 11.1868643, -60.7324079 11.1865779)",2,80,yes,
68590582,False,North Side Road,secondary,False,76.034,"LINESTRING (-60.7326105 11.1868643, -60.7326446 11.1871861, -60.7326257 11.1874351, -60.7326133 11.187545)",2,80,yes,
772937416,True,,trunk_link,False,56.233000000000004,"LINESTRING (-60.7326105 11.1868643, -60.7324715 11.1867567, -60.732375 11.1866909, -60.7321565 11.1866589)",,,,
390002570,False,Cuyler Street,residential,True,48.609,"LINESTRING (-60.7315356 11.1810431, -60.7316891 11.1814535)",,,,
25775188,False,Fort Street,residential,False,58.80099999999999,"LINESTRING (-60.7315356 11.1810431, -60.7314318 11.1810897, -60.7313561 11.1811348, -60.7312854 11.1811584, -60.7312249 11.18116, -60.7311574 11.181151, -60.7310287 11.1811181)",,,,
25775188,False,Fort Street,residential,True,124.24799999999999,"LINESTRING (-60.7315356 11.1810431, -60.731642 11.181021, -60.7317455 11.1810194, -60.7319058 11.1810142, -60.7320018 11.1810226, -60.7321148 11.1810397, -60.7322215 11.181058, -60.7322852 11.1810835, -60.7323521 11.1811288, -60.7324302 11.1811628, -60.7325129 11.1811709, -60.7326407 11.1811563)",,,,
27655109,True,Burnett Street,secondary,False,15.709,"LINESTRING (-60.7344418 11.1822943, -60.7344055 11.1822574, -60.734381 11.1822125, -60.7343633 11.1821775)",,,,
27288961,False,Darrell Spring Road,residential,True,71.122,"LINESTRING (-60.736838 11.189069, -60.7368968 11.188803, -60.7369424 11.1884383)",,,,
99342904,False,Darrell Spring Road,residential,True,296.94700000000006,"LINESTRING (-60.736838 11.189069, -60.7369632 11.1890299, -60.7372098 11.1889332, -60.7374355 11.1887471, -60.7375265 11.1887044, -60.7378281 11.1887806, -60.7378414 11.1887844, -60.7383552 11.1887694, -60.7386234 11.1887694, -60.7387199 11.1888431, -60.7388058 11.1890431, -60.7386878 11.1892115, -60.7384195 11.189243)",,,,
438874883,False,Darrell Spring Road,residential,False,144.879,"LINESTRING (-60.736838 11.189069, -60.7364562 11.1888536, -60.7362201 11.1886852, -60.735673 11.1884537)",,,,
68590582,False,North Side Road,secondary,True,150.04399999999998,"LINESTRING (-60.7322388 11.188829, -60.7322312 11.1886504, -60.7323658 11.1883434, -60.7325252 11.1879266, -60.7326133 11.187545)",2,80,yes,
27613949,False,Darrell Spring Road,residential,False,221.531,"LINESTRING (-60.7345185 11.1881276, -60.7342213 11.1881173, -60.7336781 11.1879752, -60.7331497 11.1878041, -60.7327769 11.1876923, -60.7326857 11.1876344, -60.7326133 11.187545)",,30,yes,
168484700,False,,residential,False,52.236000000000004,"LINESTRING (-60.7345185 11.1881276, -60.7345109 11.1879843, -60.7345526 11.1876606)",,,,
27613949,False,Darrell Spring Road,residential,True,221.53099999999998,"LINESTRING (-60.7326133 11.187545, -60.7326857 11.1876344, -60.7327769 11.1876923, -60.7331497 11.1878041, -60.7336781 11.1879752, -60.7342213 11.1881173, -60.7345185 11.1881276)",,30,yes,
68590582,False,North Side Road,secondary,False,150.044,"LINESTRING (-60.7326133 11.187545, -60.7325252 11.1879266, -60.7323658 11.1883434, -60.7322312 11.1886504, -60.7322388 11.188829)",2,80,yes,
68590582,False,North Side Road,secondary,True,76.03399999999999,"LINESTRING (-60.7326133 11.187545, -60.7326257 11.1874351, -60.7326446 11.1871861, -60.7326105 11.1868643)",2,80,yes,
14703625,True,Wilson Road,secondary,False,79.685,"LINESTRING (-60.7380077 11.1843864, -60.7383899 11.1849244, -60.7384189 11.1849782)",,50,,
14703630,False,Milford Road,secondary,True,27.924,"LINESTRING (-60.7376685 11.1827574, -60.7374821 11.1827534, -60.7374127 11.182749)",2,50,yes,
390084141,True,Dutch Fort Road,residential,False,153.531,"LINESTRING (-60.7376685 11.1827574, -60.7378302 11.1831956, -60.7380132 11.1835518, -60.7380612 11.1836392, -60.738282 11.183995)",,40,,
"[231287764, 231287765, 390084142]",False,Milford Road,secondary,False,152.859,"LINESTRING (-60.7376685 11.1827574, -60.7379515 11.1827403, -60.7382184 11.1826995, -60.7384415 11.1826641, -60.7385392 11.1826477, -60.7390475 11.1825289)",2,50,yes,yes
27655131,False,Piggott Street,residential,False,59.272999999999996,"LINESTRING (-60.7324724 11.1821147, -60.7324114 11.1821989, -60.7320016 11.1823508)",,,,
