osmid,lanes,name,highway,oneway,reversed,length,ref,geometry,bridge,access
175262810,2,Jalan Sisinga Mangaraja,tertiary,False,False,99.955,,"LINESTRING (107.5391134 -6.8717381, 107.5386001 -6.8724786)",,
554215796,4,Jalan Nasional Amir Machmud,trunk,False,False,15.711,11,"LINESTRING (107.5391134 -6.8717381, 107.539235 -6.8718115)",,
701214578,2,Jalan Nasional Amir Machmud,trunk,False,True,30.19,11,"LINESTRING (107.5391134 -6.8717381, 107.538881 -6.871595)",,
175262810,2,Jalan Sisinga Mangaraja,tertiary,False,True,99.955,,"LINESTRING (107.5386001 -6.8724786, 107.5391134 -6.8717381)",,
554215788,,,residential,False,True,165.011,,"LINESTRING (107.5386001 -6.8724786, 107.5393765 -6.8729292, 107.5394326 -6.8729618, 107.5397161 -6.8731171, 107.5399018 -6.873207)",,
552297813,2,Jalan Sisingamangaraja,tertiary,False,False,19.13,,"LINESTRING (107.5385903 -6.8773719, 107.5387485 -6.8774421)",,
"[553202373, 552297813, 561400535]",2,Jalan Sisingamangaraja,tertiary,False,True,44.253,,"LINESTRING (107.5385903 -6.8773719, 107.5382941 -6.8772397, 107.5382394 -6.877213, 107.5382255 -6.877207)",yes,
553202373,2,Jalan Sisingamangaraja,tertiary,False,False,43.402,,"LINESTRING (107.5378753 -6.8770296, 107.5382255 -6.877207)",,
177527090,2,Jalan Jenderal Haji Amir Machmud,trunk,True,False,30.713,11,"LINESTRING (107.5456552 -6.8757181, 107.5456997 -6.8757329, 107.5457412 -6.8757501, 107.5458623 -6.8758235, 107.5459002 -6.8758465)",,
254609689,1,Jalan Gatot Subroto,trunk,True,False,81.782,11,"LINESTRING (107.5456552 -6.8757181, 107.5456755 -6.8757655, 107.5457003 -6.8757888, 107.5457155 -6.8758031, 107.545797 -6.8758533, 107.5460105 -6.8759848, 107.5460284 -6.875998, 107.5460407 -6.8760165, 107.5460459 -6.8760366, 107.5460443 -6.8760573, 107.5459834 -6.8761579, 107.5459671 -6.8762377)",,
175266161,2,Jalan Asem Timur,living_street,False,True,194.884,,"LINESTRING (107.5431153 -6.8751564, 107.5422155 -6.8747219, 107.5419675 -6.8745933, 107.5415376 -6.8743705)",,
447131652,,Jalan Sasmita,living_street,True,False,90.354,,"LINESTRING (107.5431153 -6.8751564, 107.5432071 -6.8749157, 107.5432458 -6.8748083, 107.5432865 -6.874713, 107.5433589 -6.8745746, 107.5434588 -6.8744224)",,
339798655,1,Jalan Lurah,secondary,True,False,16.734,,"LINESTRING (107.5429043 -6.8756368, 107.5427672 -6.8755726)",,
339798654,,Jalan Sasmita,residential,True,False,58.357,,"LINESTRING (107.5429043 -6.8756368, 107.5429591 -6.8755367, 107.5430377 -6.8753621, 107.5431153 -6.8751564)",,
175266167,,,residential,False,True,59.873,,"LINESTRING (107.540986 -6.8740863, 107.5408651 -6.8746112)",,
369620411,1,Jalan Asem Barat,residential,True,False,68.606,,"LINESTRING (107.540986 -6.8740863, 107.5415376 -6.8743705)",,
385643875,,,residential,False,False,117.03300000000002,,"LINESTRING (107.540986 -6.8740863, 107.5410331 -6.8738661, 107.5410382 -6.8737915, 107.5410294 -6.8737241, 107.5410137 -6.8736932, 107.5409737 -6.8736582, 107.5405974 -6.8734952, 107.5404188 -6.8734283)",,
175266167,,,residential,False,False,59.873,,"LINESTRING (107.5408651 -6.8746112, 107.540986 -6.8740863)",,
369620410,,Jalan Lurah,residential,True,False,52.536,,"LINESTRING (107.5408651 -6.8746112, 107.5412818 -6.8748394)",,
