osmid,oneway,lanes,name,highway,width,reversed,length,geometry,access,bridge
"[24400448, 1116373498]",True,3,Jalan Pasar Besar Wetan,secondary,10,False,42.541,"LINESTRING (112.7389585 -7.2474219, 112.7387505 -7.2473929, 112.7385762 -7.2473716)",,
379903435,True,,Jalan Kramat Gantung,secondary,,False,98.923,"LINESTRING (112.7389585 -7.2474219, 112.738971 -7.2474962, 112.7390033 -7.2477978, 112.7389852 -7.2483085)",,
24400448,True,3,Jalan Pasar Besar Wetan,secondary,10,False,38.203,"LINESTRING (112.7419432 -7.247749, 112.7417541 -7.247707, 112.7416042 -7.2476789)",,
160223819,False,1,Jalan Tambak Bayan,residential,4,True,44.387,"LINESTRING (112.7419432 -7.247749, 112.7418921 -7.2478985, 112.7417928 -7.2481188)",,
221420268,True,1,Jalan Sulung,tertiary,4,False,14.532,"LINESTRING (112.7419432 -7.247749, 112.7419621 -7.2476923, 112.7419845 -7.2476249)",,
24563250,True,1,Jalan Karet,residential,3,False,64.378,"LINESTRING (112.739761 -7.242874, 112.7394074 -7.2424134)",,
24907018,True,,Jalan Stasiun Kota,secondary,,False,62.1,"LINESTRING (112.739761 -7.242874, 112.7398391 -7.242823, 112.7399024 -7.2427698, 112.7399927 -7.2426733, 112.7400463 -7.2426121, 112.7400805 -7.2425762, 112.7401786 -7.2425038)",,
369661663,True,6,Jalan Kebon Rojo,secondary,12,False,35.713,"LINESTRING (112.7381768 -7.243274, 112.738498 -7.2432337)",,
"[254757810, 824713683]",True,6,Jalan Pahlawan,secondary,12,False,94.74099999999999,"LINESTRING (112.7381768 -7.243274, 112.7382472 -7.2436885, 112.7382569 -7.2437543, 112.7382889 -7.2439658, 112.7383131 -7.2441152)",,
254757811,True,,Jalan Kramat Gantung,secondary,,False,100.977,"LINESTRING (112.7386403 -7.2462838, 112.7386703 -7.2463156, 112.7386888 -7.2463413, 112.7386971 -7.2463704, 112.7387756 -7.2466965, 112.7388279 -7.2468495, 112.7388785 -7.2470578, 112.7389021 -7.2471464)",,
304047956,True,6,Jalan Pahlawan,secondary,12,False,103.06,"LINESTRING (112.7386403 -7.2462838, 112.7386227 -7.246327, 112.7386167 -7.2463592, 112.7386388 -7.2466765, 112.7386449 -7.246777, 112.7386183 -7.2470203, 112.7386161 -7.2470403, 112.7386046 -7.2471438, 112.7385968 -7.2472031)",,
297134758,True,3,Jalan Pasar Besar Wetan,secondary,10,False,36.104,"LINESTRING (112.7385968 -7.2472031, 112.738922 -7.2472399)",,
1217788913,True,3,Jalan Pahlawan,secondary_link,10,False,18.874,"LINESTRING (112.7385968 -7.2472031, 112.7385762 -7.2473716)",,
"[379903436, 1098230685]",True,3,Jalan Pahlawan,secondary,10,False,104.557,"LINESTRING (112.7377148 -7.2494321, 112.7376607 -7.2495244, 112.7372896 -7.2502006, 112.7372481 -7.2502491)",,
842580621,False,1,Jalan Bubutan VI,living_street,2,False,138.063,"LINESTRING (112.7372481 -7.2502491, 112.7372064 -7.2502263, 112.7368894 -7.2500945, 112.7366018 -7.250014, 112.7362936 -7.2499433, 112.7361142 -7.2499078, 112.7360532 -7.2498957)",permissive,
30411423,False,1,Jalan Tambak Bayan Tengah,residential,4,False,42.426,"LINESTRING (112.7389852 -7.2483085, 112.7391912 -7.2483629, 112.7393517 -7.2484227)",,
