osmid,oneway,highway,reversed,length,name,maxspeed,geometry,ref,access,bridge
400384255,True,tertiary,False,52.588,,,"LINESTRING (107.4453578 -6.5612505, 107.445425 -6.5607823)",,,
790450412,False,primary,True,143.933,Jalan Raya Bandung Purwakarta,,"LINESTRING (107.4453578 -6.5612505, 107.4441324 -6.5608106)",,,
790424871,False,tertiary,True,37.311,,30,"LINESTRING (107.4452203 -6.5564716, 107.4451643 -6.5568025)",,,
343676673,True,tertiary,False,24.072,,,"LINESTRING (107.4451643 -6.5568025, 107.4450503 -6.556618)",,,
790424871,False,tertiary,False,37.311,,30,"LINESTRING (107.4451643 -6.5568025, 107.4452203 -6.5564716)",,,
790424871,False,tertiary,True,94.26,,30,"LINESTRING (107.4451643 -6.5568025, 107.4450955 -6.5572027, 107.4451223 -6.5576436)",,,
321322271,True,tertiary,False,101.68299999999999,,,"LINESTRING (107.4451223 -6.5576436, 107.4453315 -6.5579394, 107.4454683 -6.5581046, 107.445593 -6.5582179, 107.445738 -6.5583103)",,,
790424871,False,tertiary,False,94.26,,30,"LINESTRING (107.4451223 -6.5576436, 107.4450955 -6.5572027, 107.4451643 -6.5568025)",,,
321322271,True,tertiary,False,145.10899999999998,,,"LINESTRING (107.445738 -6.5583103, 107.4458733 -6.5583791, 107.4460182 -6.5584297, 107.4461737 -6.5584617, 107.4463316 -6.5584546, 107.4464714 -6.558419, 107.4466056 -6.5583771, 107.4467276 -6.5583305, 107.4468899 -6.5582498, 107.4469698 -6.5582007)",,,
945453274,False,unclassified,True,55.089,,,"LINESTRING (107.445738 -6.5583103, 107.4453758 -6.5584097, 107.4452559 -6.5584366)",,,
343676685,True,tertiary,False,39.078,,,"LINESTRING (107.4472028 -6.5578212, 107.4472126 -6.5581725)",,,
790424873,False,tertiary,True,133.441,,30,"LINESTRING (107.4472028 -6.5578212, 107.4471138 -6.5566244)",,,
702627900,False,primary,True,29.465,Jalan Raya Bandung - Purwakarta,,"LINESTRING (107.4441324 -6.5608106, 107.4438681 -6.5607749)",4,,
790450412,False,primary,False,143.933,Jalan Raya Bandung Purwakarta,,"LINESTRING (107.4441324 -6.5608106, 107.4453578 -6.5612505)",,,
682685322,False,primary,True,28.387,,,"LINESTRING (107.4441324 -6.5608106, 107.4440639 -6.5607623, 107.4440334 -6.5607257, 107.4440112 -6.5606685, 107.4439859 -6.5606107)",,,
343676675,False,tertiary,False,106.147,,,"LINESTRING (107.4450503 -6.556618, 107.4440918 -6.5565508)",,,
782594586,True,tertiary,False,24.853,,,"LINESTRING (107.4450503 -6.556618, 107.4452203 -6.5564716)",,,
343676681,True,unclassified,False,32.980000000000004,,,"LINESTRING (107.4469698 -6.5582007, 107.4471236 -6.5582952, 107.4472195 -6.558363)",,,
790424872,True,unclassified,False,49.702,,,"LINESTRING (107.4469698 -6.5582007, 107.4470678 -6.5580827, 107.4471273 -6.5579761, 107.4472028 -6.5578212)",,,
343676685,True,tertiary,False,108.226,,,"LINESTRING (107.4472195 -6.558363, 107.4472218 -6.5593363)",,,
324000022,False,primary,False,72.8,Jalan Raya Bandung Purwakarta,,"LINESTRING (107.4473276 -6.5618993, 107.4479445 -6.5621296)",,,
790450411,True,primary,False,77.714,Jalan Raya Bandung Purwakarta,,"LINESTRING (107.4473276 -6.5618993, 107.4466589 -6.5616822)",,,
343676685,True,tertiary,False,27.63,,,"LINESTRING (107.4472218 -6.5593363, 107.4472262 -6.5594463, 107.4472265 -6.5595847)",,,
400384250,False,residential,False,127.40100000000001,Jalan Merak,,"LINESTRING (107.4472218 -6.5593363, 107.4477288 -6.5593368, 107.448375 -6.5593474)",,,
