osmid,name,highway,oneway,reversed,length,lanes,ref,maxspeed,geometry,width,bridge,junction
215230829,نهج عمر دودي,residential,False,False,55.672,,,,"LINESTRING (10.4514475 32.9359126, 10.4520245 32.9357855)",,,
215332452,الطريق الوطنية مدنين - الذهيبة,primary,False,False,40.195,4,RN19,50,"LINESTRING (10.4514475 32.9359126, 10.4514057 32.9356653, 10.451387 32.9355547)",,,
154962261,الطريق الوطنية مدنين - الذهيبة,primary,False,False,92.692,4,RN19,50,"LINESTRING (10.447015 32.9296934, 10.4463818 32.9290512)",,,
706964549,شارع 1 جوان,residential,False,False,100.77000000000001,2,,50,"LINESTRING (10.447015 32.9296934, 10.4474941 32.9294925, 10.4480269 32.9293997)",,,
1070619360,الطريق الوطنية مدنين - الذهيبة,primary,False,True,44.768,4,RN19,50,"LINESTRING (10.447015 32.9296934, 10.4471109 32.9297838, 10.4471982 32.9298446, 10.4473383 32.9298955, 10.4474 32.9299221)",,,
215332452,الطريق الوطنية مدنين - الذهيبة,primary,False,False,9.531,4,RN19,50,"LINESTRING (10.4507165 32.9324411, 10.4506888 32.9323586)",,,
215332452,الطريق الوطنية مدنين - الذهيبة,primary,False,True,27.789,4,RN19,50,"LINESTRING (10.4507165 32.9324411, 10.4507875 32.9326838)",,,
678838778,نهج الرائد البجاوي,residential,False,False,36.848,,,,"LINESTRING (10.4507165 32.9324411, 10.4511 32.9323623)",,,
215656731,شارع الشهداء,secondary,False,True,58.228,2,RL994,50,"LINESTRING (10.4477459 32.9270796, 10.4480195 32.9271067, 10.4481576 32.927127, 10.4483655 32.927136)",,,
127263961,شارع الحبيب بورقيبة,residential,True,False,59.31,2,,50,"LINESTRING (10.4484909 32.927454, 10.4486872 32.9279613)",,,
215332442,نهج 2 مارس 1954,residential,True,False,53.367,,,,"LINESTRING (10.4484909 32.927454, 10.447939 32.9275795)",,,
127263958,نهج فرحات حشاد,residential,True,False,58.435,,,,"LINESTRING (10.447939 32.9275795, 10.4477459 32.9270796)",,,
215332442,نهج 2 مارس 1954,residential,True,False,162.787,,,,"LINESTRING (10.447939 32.9275795, 10.4462667 32.9279954)",,,
127566698,نهج طارق بن زياد,residential,False,False,41.412,2,,50,"LINESTRING (10.4517257 32.9279548, 10.4521286 32.9281108)",,,
215497879,نهج الحبيب الدبابي,residential,False,False,35.499,2,,50,"LINESTRING (10.4517257 32.9279548, 10.4520893 32.9278611)",,,
215497879,نهج الحبيب الدبابي,residential,False,True,15.728,2,,50,"LINESTRING (10.4517257 32.9279548, 10.4515646 32.9279963)",,,
215332417,,residential,True,False,67.731,,,,"LINESTRING (10.4462667 32.9279954, 10.4458096 32.9284685)",,,
127566698,نهج طارق بن زياد,residential,False,False,25.771,2,,50,"LINESTRING (10.4552483 32.9290281, 10.4555087 32.9291052)",,,
127566698,نهج طارق بن زياد,residential,False,True,71.025,2,,50,"LINESTRING (10.4552483 32.9290281, 10.4545172 32.9288508)",,,
186982473,نهج عقبة بن نافع,residential,False,True,48.274,,,,"LINESTRING (10.4552483 32.9290281, 10.4551036 32.9294449)",,,
837654667,نهج صفاقس,residential,False,False,52.347,,,,"LINESTRING (10.4552483 32.9290281, 10.4554107 32.9285775)",,,
706964549,شارع 1 جوان,residential,False,True,32.431,2,,50,"LINESTRING (10.4486921 32.9292218, 10.4483601 32.9293079)",,,
127263958,نهج فرحات حشاد,residential,True,False,52.238,,,,"LINESTRING (10.4486921 32.9292218, 10.4485741 32.9290417, 10.4484493 32.9287991)",,,
127263958,نهج فرحات حشاد,residential,True,False,102.782,,,,"LINESTRING (10.4494756 32.9299644, 10.4487424 32.9292747)",,,
186982458,نهج علي بن غذاهم,residential,False,False,80.053,,,,"LINESTRING (10.4494756 32.9299644, 10.4486704 32.9302125)",,,
1070619355,شارع الحبيب بورقيبة,residential,False,False,63.443,2,,50,"LINESTRING (10.4494756 32.9299644, 10.4497332 32.9304924)",,,
27139200,,residential,False,False,18.431,4,RR111,50,"LINESTRING (10.4535863 32.933382, 10.4537112 32.9335104)",,,
27139200,,residential,False,True,22.064,4,RR111,50,"LINESTRING (10.4535863 32.933382, 10.4534408 32.9332256)",,,
127263956,نهج البرمة,residential,False,True,87.107,2,,50,"LINESTRING (10.4535863 32.933382, 10.4527013 32.9336309)",,,
127263956,نهج البرمة,residential,False,False,50.005,2,,50,"LINESTRING (10.4511094 32.9340001, 10.4516338 32.9339078)",,,
215332405,نهج محمد الخامس,residential,False,True,51.501,2,,50,"LINESTRING (10.4511094 32.9340001, 10.4505689 32.9340935)",8,,
215332452,الطريق الوطنية مدنين - الذهيبة,primary,False,True,52.986,4,RN19,50,"LINESTRING (10.4511094 32.9340001, 10.4511993 32.9344706)",,,
215332452,الطريق الوطنية مدنين - الذهيبة,primary,False,False,40.233000000000004,4,RN19,50,"LINESTRING (10.4511094 32.9340001, 10.4510555 32.9337174, 10.4510353 32.9336438)",,,
837654667,نهج صفاقس,residential,False,True,9.883,,,,"LINESTRING (10.4552488 32.9271376, 10.4552924 32.9272186)",,,
837654667,نهج صفاقس,residential,False,False,43.359,,,,"LINESTRING (10.4556182 32.9279872, 10.4554752 32.9276162)",,,
837654667,نهج صفاقس,residential,False,True,68.436,,,,"LINESTRING (10.4556182 32.9279872, 10.4554107 32.9285775)",,,
127566683,نهج محمد دغيم,residential,False,True,77.426,,,,"LINESTRING (10.4528082 32.9276905, 10.4530255 32.9283625)",,,
676244678,نهج خالد بن الوليد,residential,False,False,41.106,,,,"LINESTRING (10.4528082 32.9276905, 10.4532189 32.927557)",,,
676244678,نهج خالد بن الوليد,residential,False,True,69.727,,,,"LINESTRING (10.4528082 32.9276905, 10.4520893 32.9278611)",,,
215497879,نهج الحبيب الدبابي,residential,False,True,35.499,2,,50,"LINESTRING (10.4520893 32.9278611, 10.4517257 32.9279548)",,,
384087668,نهج غاندي,residential,False,True,28.007,2,,50,"LINESTRING (10.4520893 32.9278611, 10.4521286 32.9281108)",,,
676244678,نهج خالد بن الوليد,residential,False,False,69.727,,,,"LINESTRING (10.4520893 32.9278611, 10.4528082 32.9276905)",,,
127566698,نهج طارق بن زياد,residential,False,False,47.992,2,,50,"LINESTRING (10.4535019 32.9285082, 10.4539731 32.928681)",,,
127670815,نهج بيروت,residential,False,False,109.626,,,,"LINESTRING (10.4535019 32.9285082, 10.4531988 32.9294607)",,,
215432045,نهج الجزائر,residential,False,False,29.952,,,,"LINESTRING (10.4535019 32.9285082, 10.4534663 32.9282405)",,,
127566698,نهج طارق بن زياد,residential,False,True,47.323,2,,50,"LINESTRING (10.4535019 32.9285082, 10.4530906 32.9283824, 10.4530255 32.9283625)",,,
127263961,شارع الحبيب بورقيبة,residential,True,False,31.829,2,,50,"LINESTRING (10.4489602 32.9286674, 10.4490657 32.9289396)",,,
215497879,نهج الحبيب الدبابي,residential,False,False,58.743,2,,50,"LINESTRING (10.4489602 32.9286674, 10.4495619 32.9285124)",,,
215497879,نهج الحبيب الدبابي,residential,False,True,49.881,2,,50,"LINESTRING (10.4489602 32.9286674, 10.4484493 32.9287991)",,,
127566682,نهج حسن خربي,residential,False,False,74.936,2,,50,"LINESTRING (10.4496478 32.9287955, 10.4504025 32.9285655)",,,
127566682,نهج حسن خربي,residential,False,True,56.642,2,,50,"LINESTRING (10.4496478 32.9287955, 10.4490657 32.9289396)",,,
384087659,شارع الحبيب الميساوي,residential,False,False,32.484,,,,"LINESTRING (10.4496478 32.9287955, 10.4495619 32.9285124)",,,
384087659,شارع الحبيب الميساوي,residential,False,True,101.167,,,,"LINESTRING (10.4496478 32.9287955, 10.4499152 32.9296772)",,,
27139200,,residential,False,False,42.941,4,RR111,50,"LINESTRING (10.4496478 32.9287955, 10.449857 32.9289272, 10.4500044 32.9290389)",,,
127566682,نهج حسن خربي,residential,False,False,56.642,2,,50,"LINESTRING (10.4490657 32.9289396, 10.4496478 32.9287955)",,,
127263961,شارع الحبيب بورقيبة,residential,True,False,26.718999999999998,2,,50,"LINESTRING (10.4490657 32.9289396, 10.4491462 32.9291481, 10.4491539 32.9291682)",,,
127263957,شارع 1 جوان,residential,False,True,40.19,2,,50,"LINESTRING (10.4491539 32.9291682, 10.4487424 32.9292747)",,,
127263961,شارع الحبيب بورقيبة,residential,True,False,93.486,2,,50,"LINESTRING (10.4491539 32.9291682, 10.4491712 32.929212, 10.4494756 32.9299644)",,,
127566661,نهج أبو القاسم الشابي,residential,False,True,36.64,,,,"LINESTRING (10.4523557 32.929195, 10.4519765 32.9292803)",,,
127566662,نهج الطيب المهيري,residential,False,True,42.934,2,,50,"LINESTRING (10.4523557 32.929195, 10.4524623 32.9295706)",,,
127566662,نهج الطيب المهيري,residential,False,False,122.485,2,,50,"LINESTRING (10.4523557 32.929195, 10.4522306 32.9287029, 10.4521783 32.9284372, 10.4521286 32.9281108)",,,
