osmid,lanes,highway,oneway,reversed,length,geometry,name,ref,junction,maxspeed,bridge
179425114,2,residential,False,False,90.77999999999999,"LINESTRING (8.4426178 36.4502116, 8.4427484 36.449996, 8.4429107 36.4497463, 8.443021 36.4495759, 8.4430391 36.4495359, 8.4430478 36.4495055, 8.4430495 36.4494766)",,,,,
179425117,1,residential,True,False,33.439,"LINESTRING (8.4426178 36.4502116, 8.4426297 36.4502811, 8.4426425 36.4503453, 8.4426465 36.4503782, 8.4426498 36.450417, 8.4426008 36.4505019)",,,,,
179425113,2,residential,False,True,105.26499999999999,"LINESTRING (8.4420872 36.4503207, 8.4419652 36.4502865, 8.441825 36.4502431, 8.4415907 36.450157, 8.4414851 36.4501131, 8.4413935 36.4500599, 8.4413034 36.4499998, 8.4410834 36.4498466)",شارع الهادي شاكر,,,,
256056864,1,residential,True,False,43.539,"LINESTRING (8.4420872 36.4503207, 8.4421583 36.4503299, 8.442227 36.4503439, 8.4423082 36.4503647, 8.4423702 36.4503809, 8.4424228 36.4504054, 8.4424547 36.4504229, 8.4424374 36.4504973)",شارع الهادي شاكر,,,,
179425112,1,primary,True,False,13.771999999999998,"LINESTRING (8.442454 36.4504902, 8.4424908 36.4504813, 8.4425293 36.4504803, 8.4425668 36.4504873, 8.4426008 36.4505019)",,RN6,roundabout,,
179425118,1,residential,True,False,34.59400000000001,"LINESTRING (8.442454 36.4504902, 8.442505 36.4504049, 8.44251 36.4503795, 8.4425184 36.4503526, 8.4425348 36.4503191, 8.4425593 36.4502797, 8.4425851 36.450245, 8.4426178 36.4502116)",,,,,
179425112,1,primary,True,False,15.399999999999999,"LINESTRING (8.4426495 36.4505499, 8.4426623 36.4505949, 8.4426528 36.4506404, 8.4426224 36.4506796)",,RN6,roundabout,,
179425115,1,primary,True,False,31.766,"LINESTRING (8.4426495 36.4505499, 8.4428297 36.450607, 8.4429822 36.4506497)",الطريق الوطنية مجاز الباب - غار الدماء,RN6,,,
179425112,1,primary,True,False,12.043999999999999,"LINESTRING (8.442368 36.4505862, 8.4423793 36.4505513, 8.4424032 36.4505207, 8.4424374 36.4504973)",,RN6,roundabout,,
179425130,1,residential,True,False,41.327999999999996,"LINESTRING (8.442368 36.4505862, 8.4423585 36.4504928, 8.4423005 36.4504561, 8.4422388 36.4504192, 8.442169 36.4503749, 8.4420872 36.4503207)",شارع الهادي شاكر,,,,
