osmid,highway,oneway,reversed,length,ref,name,geometry,junction,bridge
130503014,residential,False,False,6.846,,,"LINESTRING (9.1819719 36.7216281, 9.181988 36.7215679)",,
130502339,primary,True,False,131.39,RN6,شارع الحبيب بورقيبة,"LINESTRING (9.1819719 36.7216281, 9.1818606 36.7216361, 9.1817359 36.7216636, 9.1813382 36.7218055, 9.1811968 36.7218511, 9.1810774 36.7218748, 9.1809138 36.7218861, 9.1806415 36.7218909, 9.1805561 36.7218844)",,
130502638,residential,False,True,64.517,,,"LINESTRING (9.1904899 36.7223951, 9.1900943 36.7219092)",,
397487299,secondary,False,False,18.749,,شارع الجمهورية,"LINESTRING (9.1904899 36.7223951, 9.1906831 36.7223284)",,
397487299,secondary,False,True,80.682,,شارع الجمهورية,"LINESTRING (9.1904899 36.7223951, 9.1901949 36.7224757, 9.1899937 36.7225219, 9.1896168 36.722582)",,
128149498,primary,True,False,16.155,RN6,شارع البيئة,"LINESTRING (9.1871484 36.7255129, 9.1872806 36.7256123)",,
150215597,primary,False,False,24.129,RN6,شارع الحبيب بورقيبة,"LINESTRING (9.1871484 36.7255129, 9.186997 36.725333)",,
150215556,secondary,False,True,55.313,RN11,شارع الأرض,"LINESTRING (9.1896048 36.7245804, 9.1899776 36.7241827)",,
150215556,secondary,False,False,114.47800000000001,RN11,شارع الأرض,"LINESTRING (9.1896048 36.7245804, 9.1894761 36.7247287, 9.1892815 36.7248966, 9.188749 36.7253459)",,
397486908,residential,False,True,56.405,,شارع باريس,"LINESTRING (9.1896048 36.7245804, 9.1893581 36.7244192, 9.1891093 36.7242649)",,
150215556,secondary,False,False,19.971,RN11,شارع الأرض,"LINESTRING (9.1880285 36.7259793, 9.1878735 36.726109)",,
150215556,secondary,False,True,95.31,RN11,شارع الأرض,"LINESTRING (9.1880285 36.7259793, 9.188749 36.7253459)",,
150215556,secondary,False,False,66.508,RN11,شارع الأرض,"LINESTRING (9.1878735 36.726109, 9.1873839 36.7265604)",,
150215556,secondary,False,True,19.971,RN11,شارع الأرض,"LINESTRING (9.1878735 36.726109, 9.1880285 36.7259793)",,
190364262,residential,True,False,20.767,,,"LINESTRING (9.1878735 36.726109, 9.1877369 36.7259577)",,
130502582,residential,False,True,67.639,,,"LINESTRING (9.1873839 36.7265604, 9.1867668 36.7262063)",,
150215556,secondary,False,True,66.508,RN11,شارع الأرض,"LINESTRING (9.1873839 36.7265604, 9.1878735 36.726109)",,
150215556,secondary,False,False,60.684,RN11,شارع الأرض,"LINESTRING (9.1873839 36.7265604, 9.1872632 36.7266808, 9.1869789 36.7269989)",,
130502379,residential,False,True,38.702,,,"LINESTRING (9.1839686 36.7192943, 9.183547 36.7193776)",,
130502721,residential,False,False,37.496,,,"LINESTRING (9.1839686 36.7192943, 9.18405 36.7192926, 9.1841148 36.7193244, 9.1842936 36.7194793)",,
130502623,residential,False,False,44.518,,,"LINESTRING (9.1850194 36.7192846, 9.1851328 36.7196745)",,
130502379,residential,False,False,38.702,,,"LINESTRING (9.183547 36.7193776, 9.1839686 36.7192943)",,
130502671,residential,False,False,73.97,,,"LINESTRING (9.183547 36.7193776, 9.1837147 36.7200291)",,
130502379,residential,False,True,56.193000000000005,,,"LINESTRING (9.183547 36.7193776, 9.1830599 36.7194761, 9.1830074 36.7195033, 9.1829656 36.7195438)",,
130502721,residential,False,False,33.774,,,"LINESTRING (9.1842936 36.7194793, 9.1844288 36.7196512, 9.1844755 36.7197445)",,
130502721,residential,False,True,37.496,,,"LINESTRING (9.1842936 36.7194793, 9.1841148 36.7193244, 9.18405 36.7192926, 9.1839686 36.7192943)",,
130502379,residential,False,False,56.193000000000005,,,"LINESTRING (9.1829656 36.7195438, 9.1830074 36.7195033, 9.1830599 36.7194761, 9.183547 36.7193776)",,
130502379,residential,False,True,88.28200000000001,,,"LINESTRING (9.1829656 36.7195438, 9.182954 36.7195905, 9.1829666 36.7196524, 9.1830522 36.7199821, 9.1831782 36.7203139)",,
130502814,residential,False,False,69.668,,,"LINESTRING (9.1872587 36.7195855, 9.1874041 36.7202011)",,
130503000,residential,False,False,197.12900000000002,,,"LINESTRING (9.1872587 36.7195855, 9.1879351 36.7194499, 9.1887242 36.7193403, 9.1888965 36.7193412, 9.1890343 36.719393, 9.1891585 36.7194792, 9.1892702 36.7195771, 9.1893203 36.7196025)",,
130503000,residential,False,False,39.447,,,"LINESTRING (9.1893203 36.7196025, 9.189671 36.7198189)",,
130502607,tertiary,False,False,90.94800000000001,,,"LINESTRING (9.1893203 36.7196025, 9.1891081 36.7199785, 9.1889202 36.7203547)",,
130503000,residential,False,True,197.12900000000002,,,"LINESTRING (9.1893203 36.7196025, 9.1892702 36.7195771, 9.1891585 36.7194792, 9.1890343 36.719393, 9.1888965 36.7193412, 9.1887242 36.7193403, 9.1879351 36.7194499, 9.1872587 36.7195855)",,
130502623,residential,False,False,98.615,,,"LINESTRING (9.1851328 36.7196745, 9.1854065 36.7205338)",,
130502623,residential,False,True,44.518,,,"LINESTRING (9.1851328 36.7196745, 9.1850194 36.7192846)",,
130502401,residential,False,False,59.205,,,"LINESTRING (9.1851328 36.7196745, 9.1846739 36.7197353, 9.1845678 36.7197452, 9.1844755 36.7197445)",,
130502401,residential,False,False,57.00000000000001,,,"LINESTRING (9.1844755 36.7197445, 9.1843504 36.7198549, 9.1842699 36.7199495, 9.1842216 36.7200312, 9.1841881 36.7200936, 9.1841787 36.7201839)",,
130502401,residential,False,True,59.205,,,"LINESTRING (9.1844755 36.7197445, 9.1845678 36.7197452, 9.1846739 36.7197353, 9.1851328 36.7196745)",,
130502721,residential,False,True,33.774,,,"LINESTRING (9.1844755 36.7197445, 9.1844288 36.7196512, 9.1842936 36.7194793)",,
130502395,tertiary,False,False,48.358,,,"LINESTRING (9.189671 36.7198189, 9.1892749 36.7201161)",,
130503000,residential,False,True,39.447,,,"LINESTRING (9.189671 36.7198189, 9.1893203 36.7196025)",,
130545816,residential,False,False,41.131,,,"LINESTRING (9.189671 36.7198189, 9.1899629 36.7201054)",,
130503014,residential,False,True,111.628,,,"LINESTRING (9.1811712 36.7198591, 9.1816655 36.7207815)",,
130545816,residential,False,False,40.018,,,"LINESTRING (9.1899629 36.7201054, 9.190215 36.7204032)",,
130545816,residential,False,True,41.131,,,"LINESTRING (9.1899629 36.7201054, 9.189671 36.7198189)",,
130502448,residential,False,True,98.256,,,"LINESTRING (9.1899629 36.7201054, 9.1903478 36.7197646, 9.1907168 36.7194609)",,
130502401,residential,False,False,19.049,,,"LINESTRING (9.1841787 36.7201839, 9.1842471 36.7203462)",,
130502401,residential,False,True,57.0,,,"LINESTRING (9.1841787 36.7201839, 9.1841881 36.7200936, 9.1842216 36.7200312, 9.1842699 36.7199495, 9.1843504 36.7198549, 9.1844755 36.7197445)",,
237687620,residential,False,False,45.048,,,"LINESTRING (9.1841787 36.7201839, 9.1840218 36.720143, 9.1839118 36.7201172, 9.1838072 36.7200742, 9.1837147 36.7200291)",,
130502401,residential,False,True,54.973,,,"LINESTRING (9.1874041 36.7202011, 9.1868006 36.7203031)",,
130502814,residential,False,True,69.668,,,"LINESTRING (9.1874041 36.7202011, 9.1872587 36.7195855)",,
130502401,residential,False,False,133.94299999999998,,,"LINESTRING (9.1874041 36.7202011, 9.1874725 36.7201876, 9.1875449 36.7201753, 9.1876227 36.7201699, 9.1876964 36.7201688, 9.1877836 36.7201763, 9.1878909 36.7201989, 9.1879982 36.7202355, 9.1881162 36.7202806, 9.1882355 36.7203387, 9.1883737 36.7204085, 9.1885802 36.7205246, 9.18875 36.7206172)",,
