osmid,oneway,ref,highway,reversed,length,name,geometry,junction,access
711032375,False,RR109,secondary,False,7.38,,"LINESTRING (11.1106646 33.5026494, 11.1106197 33.5025946)",,
711032375,False,RR109,secondary,True,37.288,,"LINESTRING (11.1106646 33.5026494, 11.1108718 33.5029368)",,
201254668,False,,residential,False,11.499,,"LINESTRING (11.1115172 33.5037836, 11.1114245 33.5038523)",,
1178217347,False,,tertiary,True,28.249,,"LINESTRING (11.1115172 33.5037836, 11.1113188 33.5035908)",,
27134689,False,,tertiary,False,96.181,طريق المرفأ,"LINESTRING (11.1115172 33.5037836, 11.1118689 33.5035748, 11.1123952 33.503325)",,
27134689,False,,tertiary,False,26.014,طريق المرفأ,"LINESTRING (11.1141655 33.5022325, 11.1143214 33.502038)",,
711008369,False,,residential,False,85.951,,"LINESTRING (11.1141655 33.5022325, 11.1149077 33.5026956)",,
27134689,False,,tertiary,True,99.39699999999999,طريق المرفأ,"LINESTRING (11.1141655 33.5022325, 11.1139919 33.5024576, 11.113835 33.5025863, 11.113611 33.5027204, 11.1133937 33.502832)",,
850064526,False,RR118,secondary,False,57.004,شارع فرحات حشاد,"LINESTRING (11.1082412 33.5033277, 11.1087876 33.5035627)",,
708714213,False,RR118,secondary,True,169.87,شارع فرحات حشاد,"LINESTRING (11.1082412 33.5033277, 11.1076297 33.5030168, 11.1073386 33.5028118, 11.1069625 33.5025303, 11.1067935 33.5024009)",,
850064525,False,,residential,False,219.38199999999998,,"LINESTRING (11.1082412 33.5033277, 11.1080347 33.5036363, 11.1079569 33.5036922, 11.1076485 33.503879, 11.1075693 33.5039416, 11.1074916 33.5040725, 11.1073561 33.5043207, 11.1073159 33.5043878, 11.1072569 33.5044325, 11.1071858 33.5044627, 11.1070878 33.5044705, 11.1066695 33.5044404, 11.1065903 33.5044437)",,
27139011,True,,residential,False,176.085,نهج ابن خلدون,"LINESTRING (11.1091384 33.501932, 11.1082412 33.5033277)",,
850064522,False,,residential,False,67.674,نهج ابن خلدون,"LINESTRING (11.1091384 33.501932, 11.1096805 33.5015245)",,
