osmid,oneway,highway,maxspeed,reversed,length,geometry,lanes,ref,name,tunnel,access,bridge
304549701,True,trunk_link,40,False,316.61800000000005,"LINESTRING (-84.0304321 9.9138379, -84.030295 9.9136063, -84.0302255 9.9135161, -84.0301033 9.9133397, -84.0300319 9.9132172, -84.0300243 9.9130639, -84.0300541 9.9129203, -84.0301039 9.9128518, -84.030169 9.9127817, -84.0303112 9.9127056, -84.0310654 9.9124273, -84.0316297 9.912171, -84.0316915 9.9121429)",,,,,,
194938237,True,secondary,60,False,205.83200000000005,"LINESTRING (-84.0317082 9.9150653, -84.0316162 9.9150327, -84.0314507 9.9149596, -84.0312111 9.914851, -84.0310114 9.9147498, -84.0309117 9.9146696, -84.0308049 9.9145722, -84.030735 9.9144921, -84.030692 9.9144147, -84.0304321 9.9138379)",3,215,Vía 215,,,
393883771,True,secondary,,False,77.433,"LINESTRING (-84.0317082 9.9150653, -84.0317382 9.9149873, -84.0318195 9.9143796)",2,,Calle 103,,,
24843360,False,primary,60,False,59.919,"LINESTRING (-84.0311737 9.915257, -84.0315553 9.9156431)",4,2,Vía 2,,,
"[1238101754, 1238101755, 1238101756]",True,secondary,40,False,444.498,"LINESTRING (-84.0311737 9.915257, -84.0308821 9.9148918, -84.0307817 9.914717, -84.0306976 9.9145399, -84.0306416 9.9144157, -84.0305996 9.914326, -84.0305739 9.9142777, -84.0305319 9.9141956, -84.0305065 9.914156, -84.0304755 9.9141101, -84.0304314 9.9140463, -84.0303697 9.9139723, -84.0302007 9.9138297, -84.030029 9.9137517, -84.0298747 9.9137067, -84.0294043 9.9135977, -84.0290346 9.9134815, -84.0287885 9.9134122, -84.0284318 9.9133303, -84.0282266 9.9133039, -84.0281153 9.9133072, -84.0279839 9.9133314)",3,251,Vía 251,yes,,
59036474,True,primary,40,False,167.027,"LINESTRING (-84.0300795 9.9142139, -84.0303156 9.9143945, -84.0311737 9.915257)",3,2,Vía 2,,,
194938237,True,secondary,60,False,95.178,"LINESTRING (-84.0325488 9.9152607, -84.0322566 9.9152306, -84.0320472 9.9151886, -84.0319171 9.9151445, -84.031789 9.9150945, -84.0317082 9.9150653)",3,215,Vía 215,,,
16178224,False,residential,,True,88.173,"LINESTRING (-84.0325882 9.9144374, -84.0326695 9.9136485)",,,Calle 101,,,
16178558,False,secondary,,True,84.444,"LINESTRING (-84.0325882 9.9144374, -84.0318195 9.9143796)",2,,Avenida 42,,,
393883772,True,residential,,False,91.649,"LINESTRING (-84.0325882 9.9144374, -84.0325488 9.9152607)",,,Calle 101,,,
393883773,False,secondary,,False,87.877,"LINESTRING (-84.0325882 9.9144374, -84.0333874 9.9145065)",2,,Avenida 42,,,
16178224,False,residential,,False,88.173,"LINESTRING (-84.0326695 9.9136485, -84.0325882 9.9144374)",,,Calle 101,,,
16178239,False,residential,,False,84.868,"LINESTRING (-84.0326695 9.9136485, -84.0318971 9.9135884)",,,Avenida 44,,,
"[16160429, 16178239]",False,residential,,True,176.55700000000002,"LINESTRING (-84.0326695 9.9136485, -84.0334704 9.9137146, -84.0333874 9.9145065)",,,"['Avenida 44', 'Calle 99']",,,
16178239,False,residential,,False,89.109,"LINESTRING (-84.0318971 9.9135884, -84.0310857 9.9135306)",,,Avenida 44,,,
16178239,False,residential,,True,84.868,"LINESTRING (-84.0318971 9.9135884, -84.0326695 9.9136485)",,,Avenida 44,,,
16178278,False,residential,,False,88.387,"LINESTRING (-84.0318971 9.9135884, -84.0318195 9.9143796)",,,Calle 103,,,
16178278,False,residential,,True,83.201,"LINESTRING (-84.0318971 9.9135884, -84.031972 9.9128438)",,,Calle 103,,,
16178278,False,residential,,True,88.387,"LINESTRING (-84.0318195 9.9143796, -84.0318971 9.9135884)",,,Calle 103,,,
16178558,False,secondary,,False,84.444,"LINESTRING (-84.0318195 9.9143796, -84.0325882 9.9144374)",2,,Avenida 42,,,
296127932,False,residential,,False,83.374,"LINESTRING (-84.0318195 9.9143796, -84.0310613 9.9143135)",,,Avenida 42,,,
16160429,False,residential,,True,91.579,"LINESTRING (-84.0333874 9.9145065, -84.0333116 9.9153267)",,,Calle 99,,,
393883773,False,secondary,,False,88.399,"LINESTRING (-84.0333874 9.9145065, -84.0341921 9.914567)",2,,Avenida 42,,,
393883773,False,secondary,,True,87.877,"LINESTRING (-84.0333874 9.9145065, -84.0325882 9.9144374)",2,,Avenida 42,,,
"[16160429, 16178239]",False,residential,,False,176.55700000000002,"LINESTRING (-84.0333874 9.9145065, -84.0334704 9.9137146, -84.0326695 9.9136485)",,,"['Avenida 44', 'Calle 99']",,,
124879408,True,secondary,40,False,92.162,"LINESTRING (-84.0341921 9.914567, -84.0350295 9.9146477)",2,,Avenida 42,,,
172471421,False,residential,40,False,46.387,"LINESTRING (-84.0341921 9.914567, -84.0342466 9.9141533)",2,,Calle 97,,,
393883773,False,secondary,,True,88.399,"LINESTRING (-84.0341921 9.914567, -84.0333874 9.9145065)",2,,Avenida 42,,,
25524029,False,secondary,40,True,93.363,"LINESTRING (-84.0341921 9.914567, -84.0341457 9.9150396, -84.0341087 9.9154026)",2,,Calle 97,,,
16160429,False,residential,,False,91.579,"LINESTRING (-84.0333116 9.9153267, -84.0333874 9.9145065)",,,Calle 99,,,
194938237,True,secondary,60,False,83.874,"LINESTRING (-84.0333116 9.9153267, -84.0325488 9.9152607)",3,215,Vía 215,,,
24843360,False,primary,60,True,59.919,"LINESTRING (-84.0315553 9.9156431, -84.0311737 9.915257)",4,2,Vía 2,,,
296141894,False,primary,60,False,11.744,"LINESTRING (-84.0315553 9.9156431, -84.031623 9.915725)",4,2,Vía 2,,,
25524026,True,secondary,,False,66.726,"LINESTRING (-84.0315553 9.9156431, -84.0315746 9.915538, -84.0316122 9.9153247, -84.0316431 9.9152133, -84.0316775 9.9151332, -84.0317082 9.9150653)",2,,Calle 103,,,
194938237,True,secondary,60,False,82.918,"LINESTRING (-84.0341087 9.9154026, -84.0333552 9.9153309)",3,215,Vía 215,,,
194938239,False,secondary,,True,93.131,"LINESTRING (-84.0341087 9.9154026, -84.0340351 9.916237)",2,221,Calle 97,,,
25524029,False,secondary,40,False,93.363,"LINESTRING (-84.0341087 9.9154026, -84.0341457 9.9150396, -84.0341921 9.914567)",2,,Calle 97,,,
16178423,False,residential,,False,47.533,"LINESTRING (-84.0352877 9.9146697, -84.0353199 9.9142434)",,,Calle 95,,,
16178423,False,residential,,False,47.176,"LINESTRING (-84.0353199 9.9142434, -84.0353568 9.9138207)",,,Calle 95,,,
16178423,False,residential,,True,47.533,"LINESTRING (-84.0353199 9.9142434, -84.0352877 9.9146697)",,,Calle 95,,,
25508349,False,residential,40,False,117.99,"LINESTRING (-84.0353199 9.9142434, -84.0342466 9.9141533)",2,,Avenida 42A,,,
16178423,False,residential,,True,47.176,"LINESTRING (-84.0353568 9.9138207, -84.0353199 9.9142434)",,,Calle 95,,,
296130429,False,residential,40,True,116.509,"LINESTRING (-84.0353568 9.9138207, -84.0342978 9.9137226)",2,A044,Avenida 44,,,
16178423,False,residential,,False,69.02,"LINESTRING (-84.0353568 9.9138207, -84.0353802 9.9134644, -84.035326 9.9132062)",,,Calle 95,,,
