osmid,lanes,name,highway,oneway,reversed,length,ref,geometry,access,bridge
999317024,2,E Phendey Lam,residential,False,False,21.251,,"LINESTRING (90.4856951 26.8704067, 90.4858882 26.8703239)",,
1136651150,2,W Ngojang Zhung Lam,primary,False,True,184.734,,"LINESTRING (90.4856951 26.8704067, 90.4840337 26.8711575)",,
618922709,2,N Samdhen Zhung Lam,primary,False,False,118.047,PNH 4,"LINESTRING (90.4856951 26.8704067, 90.4856933 26.8705751, 90.4857293 26.8709286, 90.4858499 26.871456)",,
917108483,2,S Ngedrup Zhung Lam,primary,False,False,266.948,,"LINESTRING (90.4856951 26.8704067, 90.4855122 26.8696161, 90.4854027 26.8691756, 90.4853323 26.8687599, 90.485169 26.8680529)",permissive,
999317024,2,E Phendey Lam,residential,False,False,41.311,,"LINESTRING (90.4867697 26.8696468, 90.4871006 26.8694212)",,
999317024,2,E Phendey Lam,residential,False,True,115.385,,"LINESTRING (90.4867697 26.8696468, 90.4858882 26.8703239)",,
244339456,1,Losel Lam SE,residential,True,False,141.40499999999997,,"LINESTRING (90.4867697 26.8696468, 90.4867406 26.8695852, 90.4866294 26.8692438, 90.4864084 26.8685649, 90.4863705 26.8684266)",,
1125534168,2,E Phendey Lam,residential,False,False,69.491,,"LINESTRING (90.4878858 26.8688717, 90.4884157 26.8684629)",,
999317024,2,E Phendey Lam,residential,False,True,99.002,,"LINESTRING (90.4878858 26.8688717, 90.4878267 26.8689169, 90.4871309 26.8693988, 90.4871006 26.8694212)",,
1008025925,2,Gadhen Lam NE,residential,False,False,73.704,,"LINESTRING (90.4878858 26.8688717, 90.4879083 26.868889, 90.4883419 26.8693943)",,
1125534169,2,Gadhen Lam SE,residential,False,True,106.12,,"LINESTRING (90.4878858 26.8688717, 90.487169 26.8681951, 90.48716 26.8681731)",,
1016858367,,Gatshel Lam SE,residential,False,False,35.4,,"LINESTRING (90.4852965 26.8672075, 90.4849632 26.8673213)",,
1016858367,,Gatshel Lam SE,residential,False,True,68.513,,"LINESTRING (90.4852965 26.8672075, 90.4859178 26.8669383)",,
"[440719788, 244339471]",,"['Losel Zur Lam 4 SE', 'Losel Zur Lam  4 SE']",residential,False,"[False, True]",140.179,,"LINESTRING (90.4852965 26.8672075, 90.4853537 26.8673638, 90.4854156 26.8675445, 90.4854577 26.8676901, 90.485632 26.867738, 90.4858654 26.8678067, 90.486118 26.8679114, 90.4862319 26.8679868)",,
1125535919,,Gadhen Zur Lam 4 NE,residential,False,True,9.842,,"LINESTRING (90.4901518 26.8699839, 90.4902395 26.8700253)",,
1125536439,,Gadhen Zur Lam 4C NE,residential,False,False,39.253,,"LINESTRING (90.4901518 26.8699839, 90.4902995 26.8696564)",,
1125535919,,Gadhen Zur Lam 4 NE,residential,False,False,97.95100000000001,,"LINESTRING (90.4901518 26.8699839, 90.4899322 26.8698798, 90.4894118 26.8697649, 90.4892236 26.8696977)",,
244339468,,Paldrup Lam NE,residential,False,False,132.662,,"LINESTRING (90.4859409 26.8718106, 90.4872379 26.8715193)",,
618922709,2,N Samdhen Zhung Lam,primary,False,False,16.901,PNH 4,"LINESTRING (90.4859409 26.8718106, 90.4859802 26.8719585)",,
618922709,2,N Samdhen Zhung Lam,primary,False,True,40.45,PNH 4,"LINESTRING (90.4859409 26.8718106, 90.4858499 26.871456)",,
244339474,2,Muensel Lam NE,residential,False,False,48.751,,"LINESTRING (90.4903745 26.8688608, 90.4901564 26.8684679)",,
1125536438,,Muensel Zur Lam 4 NE,residential,False,False,129.505,,"LINESTRING (90.4903745 26.8688608, 90.4901118 26.8690126, 90.4899855 26.8691413, 90.4898664 26.869283, 90.4902995 26.8696564)",,
244339474,2,Muensel Lam NE,residential,False,False,70.253,,"LINESTRING (90.48988 26.8681444, 90.4893635 26.8677121)",,
244339464,,Gadhen Zur Lam 4A NE,residential,False,False,206.147,,"LINESTRING (90.48988 26.8681444, 90.489047 26.8685543, 90.4889131 26.8687803, 90.4887732 26.8691608, 90.4886983 26.8693343, 90.4886214 26.8694825)",,
244339474,2,Muensel Lam NE,residential,False,True,45.431,,"LINESTRING (90.48988 26.8681444, 90.4901162 26.8683956, 90.4901564 26.8684679)",,
1016858367,,Gatshel Lam SE,residential,False,True,35.4,,"LINESTRING (90.4849632 26.8673213, 90.4852965 26.8672075)",,
"[160903320, 917108482]",,"['Road to Border Checkpost', 'S Ngedrup Zhung Lam']",primary,False,False,116.85499999999999,,"LINESTRING (90.4849632 26.8673213, 90.4848844 26.8669535, 90.4848346 26.8666315, 90.4847842 26.866283)",permissive,yes
