osmid,oneway,name,highway,reversed,length,geometry,tunnel,lanes,maxspeed
88689578,True,شارع عبد السلام عارف,secondary,False,26.083,"LINESTRING (31.184147 30.4602504, 31.1840193 30.4602643, 31.1839308 30.4602636, 31.1838767 30.4602555)",,,
734804129,True,,secondary_link,False,15.998000000000001,"LINESTRING (31.184147 30.4602504, 31.1841241 30.4602458, 31.1841006 30.4602324, 31.1840852 30.4602113, 31.1840806 30.4601901, 31.1840836 30.4601728, 31.1840966 30.4601393)",,,
88689099,True,شارع سعد زغلول,secondary,False,44.16,"LINESTRING (31.1807652 30.4641099, 31.1805374 30.4644551)",,,
433696539,False,شارع الشهيد امرئ النورى,residential,True,99.679,"LINESTRING (31.1807652 30.4641099, 31.1797897 30.4637991)",,,
734804138,False,شارع الجيش,secondary,False,67.049,"LINESTRING (31.1811825 30.4582154, 31.1812055 30.4582374, 31.1812314 30.4582526, 31.1812622 30.4582654, 31.1812922 30.4582731, 31.1818375 30.4584112)",,,
734804138,False,شارع الجيش,secondary,True,8.081,"LINESTRING (31.1811825 30.4582154, 31.18116 30.4581847, 31.181146 30.4581504)",,,
"[735130994, 735130996, 394740869]",True,,secondary,False,84.854,"LINESTRING (31.1811825 30.4582154, 31.1810672 30.4582405, 31.1807645 30.4582966, 31.1806834 30.4583328, 31.1806158 30.4583858, 31.1805661 30.4584518, 31.1805377 30.4585267, 31.1805324 30.4586053)",yes,,
730162620,True,شارع مسجد عمر بن الخطاب,residential,False,12.964,"LINESTRING (31.1848862 30.4659779, 31.1847547 30.4660052)",,,
271661534,False,شارع الشهبندر,residential,False,14.639,"LINESTRING (31.1878697 30.4624322, 31.1880109 30.462382)",,,
433695864,False,,residential,True,104.532,"LINESTRING (31.1878697 30.4624322, 31.1882843 30.4633017)",,,
271661534,False,شارع الشهبندر,residential,True,15.789,"LINESTRING (31.1878697 30.4624322, 31.1877691 30.462484, 31.1877299 30.4625072)",,,
271661534,False,شارع الشهبندر,residential,True,112.139,"LINESTRING (31.1891227 30.4620679, 31.1880109 30.462382)",,,
