osmid,oneway,name,highway,reversed,length,bridge,geometry,lanes,maxspeed
297204609,True,شارع يسرى راغب,secondary,False,21.742,,"LINESTRING (31.1854344 27.1805898, 31.1856038 27.1804652)",,
820385168,False,,residential,True,21.215,,"LINESTRING (31.1854344 27.1805898, 31.1855779 27.1807316)",,
"[601637248, 601637243]",True,,tertiary_link,False,184.39800000000002,yes,"LINESTRING (31.1858072 27.1845103, 31.1858041 27.184451, 31.1858004 27.1844091, 31.1857936 27.1843574, 31.1857235 27.1840502, 31.1857007 27.1839694, 31.1856788 27.1838966, 31.1856522 27.1838226, 31.1855696 27.1836098, 31.1855525 27.1835651, 31.1855413 27.1835188, 31.1855361 27.1834717, 31.1855369 27.1834244, 31.1855533 27.1831774, 31.1855673 27.1831084, 31.1855885 27.1830409, 31.1856168 27.1829754, 31.1856573 27.1829007)",,
834617696,True,شارع الجمهوريه,tertiary,False,88.52199999999999,,"LINESTRING (31.1858072 27.1845103, 31.1857829 27.1844627, 31.1857668 27.1844237, 31.1857482 27.1843716, 31.1855647 27.1837449)",2,
97405608,True,شارع الجيش,tertiary,False,40.929,,"LINESTRING (31.1813812 27.1863464, 31.181083 27.1866016)",1,
816252891,False,شارع السكة الحديد,tertiary,False,41.774,,"LINESTRING (31.189804 27.179379, 31.1901134 27.1791233)",,
398334244,False,شارع السكه الحديد,tertiary,True,27.311999999999998,,"LINESTRING (31.189804 27.179379, 31.1896517 27.1795251, 31.189617 27.1795597)",,
399188055,True,شارع الجيش,residential,False,7.266,,"LINESTRING (31.1875621 27.1800229, 31.1876117 27.1799747)",,
988328134,True,شارع 23 يوليو,secondary,False,9.637,,"LINESTRING (31.1875621 27.1800229, 31.1876416 27.180073)",1,
97411046,False,حارة المزبكي,residential,False,50.427,,"LINESTRING (31.1893021 27.1854385, 31.1888924 27.1851686)",,60
97411046,False,حارة المزبكي,residential,True,44.366,,"LINESTRING (31.1893021 27.1854385, 31.1896719 27.1856643)",,60
97411037,False,شارع تقسيم النميس 10,residential,False,83.64399999999999,,"LINESTRING (31.1893021 27.1854385, 31.1892175 27.1855437, 31.1888079 27.1860489)",,
97411037,False,شارع تقسيم النميس 10,residential,True,103.602,,"LINESTRING (31.1893021 27.1854385, 31.1893619 27.1853518, 31.1898431 27.1846407)",,
97410972,False,شارع الضرائب,residential,False,68.443,,"LINESTRING (31.1877403 27.1838285, 31.1872226 27.1834201)",,
398151292,False,حارة محروس,residential,False,31.946,,"LINESTRING (31.1877403 27.1838285, 31.1879778 27.1836338)",,
97410972,False,شارع الضرائب,residential,True,52.263,,"LINESTRING (31.1877403 27.1838285, 31.1880519 27.1840781, 31.1881354 27.1841405)",,
"[398151292, 97411005]",False,"['شارع مأمورية الضرائب', 'حارة محروس']",residential,True,73.649,,"LINESTRING (31.1877403 27.1838285, 31.1874273 27.1841009, 31.1874216 27.1841106, 31.1874204 27.1841241, 31.1874264 27.1841368, 31.1874852 27.1841998, 31.1876097 27.1843049)",,60
222568283,False,شارع صلاح الدين الايوبى,residential,True,43.682,,"LINESTRING (31.1888079 27.1860489, 31.1884825 27.1857833)",2,
97411037,False,شارع تقسيم النميس 10,residential,True,83.64399999999999,,"LINESTRING (31.1888079 27.1860489, 31.1892175 27.1855437, 31.1893021 27.1854385)",,
222568283,False,شارع صلاح الدين الايوبى,residential,False,29.729,,"LINESTRING (31.1888079 27.1860489, 31.1889202 27.1861312, 31.1890457 27.1862122)",2,
778601247,False,,residential,True,32.199,,"LINESTRING (31.187948 27.1871002, 31.1880627 27.1868292)",,
97410996,False,,residential,True,41.532,,"LINESTRING (31.1879088 27.1857802, 31.1880721 27.1854361)",,
97410969,False,شارع المساحة الحديثه,residential,False,44.975,,"LINESTRING (31.1866694 27.187646, 31.187111 27.1877424)",,
97410969,False,شارع المساحة الحديثه,residential,True,31.85,,"LINESTRING (31.1866694 27.187646, 31.1863573 27.1875755)",,
222568283,False,شارع صلاح الدين الايوبى,residential,False,41.2,,"LINESTRING (31.1877759 27.1851756, 31.1880721 27.1854361)",2,
