osmid,lanes,name,highway,oneway,reversed,length,geometry,bridge
4679433,2,East Demerara Highway,primary,False,False,10.194,"LINESTRING (-57.9258109 6.6801912, -57.9258711 6.6802607)",
403908920,,,residential,False,True,205.51299999999998,"LINESTRING (-57.9258109 6.6801912, -57.9249322 6.6799191, -57.9240231 6.67968)",
82247278,,,residential,False,False,185.567,"LINESTRING (-57.9254872 6.6818854, -57.9258711 6.6802607)",
82247362,,,residential,False,False,54.387,"LINESTRING (-57.9254872 6.6818854, -57.9250119 6.6817574)",
82247362,,,residential,False,True,216.14,"LINESTRING (-57.9254872 6.6818854, -57.9273761 6.682394)",
82247339,,,residential,False,False,189.47,"LINESTRING (-57.9221633 6.6791723, -57.9217197 6.6808183)",
403908920,,,residential,False,True,65.441,"LINESTRING (-57.9221633 6.6791723, -57.9215907 6.6790209)",
403908920,,,residential,False,False,112.086,"LINESTRING (-57.9221633 6.6791723, -57.9226282 6.6793011, -57.9231381 6.6794527)",
4679433,2,East Demerara Highway,primary,False,True,10.194,"LINESTRING (-57.9258711 6.6802607, -57.9258109 6.6801912)",
82247278,,,residential,False,True,185.567,"LINESTRING (-57.9258711 6.6802607, -57.9254872 6.6818854)",
443679382,,,residential,False,False,210.541,"LINESTRING (-57.9258711 6.6802607, -57.9263589 6.6784303)",
4679433,2,East Demerara Highway,primary,False,False,290.678,"LINESTRING (-57.9258711 6.6802607, -57.9260082 6.6804049, -57.926531 6.6810291, -57.9269399 6.6816233, -57.9273761 6.682394)",
82247327,,,residential,False,False,114.287,"LINESTRING (-57.92059 6.6787591, -57.9215907 6.6790209)",
82247327,,,residential,False,True,61.177,"LINESTRING (-57.92059 6.6787591, -57.9200505 6.6786343)",
82247327,,,residential,False,False,59.633,"LINESTRING (-57.9195323 6.6784836, -57.9200505 6.6786343)",
82247348,,,residential,False,False,55.183,"LINESTRING (-57.9195323 6.6784836, -57.9196767 6.6780085)",
"[987753388, 89565238, 987756119]",,,residential,False,True,186.66999999999996,"LINESTRING (-57.9195323 6.6784836, -57.9192983 6.6793171, -57.919187 6.679746, -57.9191165 6.6800197, -57.9191018 6.680087, -57.9190935 6.6801043)",yes
82247362,,,residential,False,False,216.14,"LINESTRING (-57.9273761 6.682394, -57.9254872 6.6818854)",
4679433,2,East Demerara Highway,primary,False,True,290.678,"LINESTRING (-57.9273761 6.682394, -57.9269399 6.6816233, -57.926531 6.6810291, -57.9260082 6.6804049, -57.9258711 6.6802607)",
"[443856336, 443856337, 82247297]",,,residential,False,True,72.037,"LINESTRING (-57.9184802 6.6776553, -57.9185041 6.6776605, -57.9185672 6.6776839, -57.9191048 6.6778412)",yes
82247339,,,residential,False,True,189.47,"LINESTRING (-57.9217197 6.6808183, -57.9221633 6.6791723)",
82247362,,,residential,False,False,21.932,"LINESTRING (-57.9217197 6.6808183, -57.9215263 6.6807735)",
82247362,,,residential,False,True,46.33,"LINESTRING (-57.9217197 6.6808183, -57.9221234 6.6809316)",
82247297,,,residential,False,False,65.844,"LINESTRING (-57.9196767 6.6780085, -57.9191048 6.6778412)",
82247348,,,residential,False,True,55.183,"LINESTRING (-57.9196767 6.6780085, -57.9195323 6.6784836)",
82247354,,,residential,False,True,189.035,"LINESTRING (-57.9227263 6.6811028, -57.9231381 6.6794527)",
82247362,,,residential,False,False,69.252,"LINESTRING (-57.9227263 6.6811028, -57.9221234 6.6809316)",
82247362,,,residential,False,True,95.625,"LINESTRING (-57.9227263 6.6811028, -57.9235635 6.6813222)",
