osmid,lanes,name,highway,maxspeed,oneway,reversed,length,ref,geometry
25755278,2,Caupolicán,residential,50,False,False,123.165,,"LINESTRING (-71.6981639 -38.8545295, -71.6985895 -38.8534726)"
1000069356,2,Pedro Aguirre Cerda,primary,50,False,True,110.167,S-51-R,"LINESTRING (-71.6981639 -38.8545295, -71.6993818 -38.854816)"
25755864,2,Pedro Aguirre Cerda,primary,50,False,False,124.044,S-51-R,"LINESTRING (-71.6981639 -38.8545295, -71.6980465 -38.8545019, -71.6967926 -38.8542069)"
164417417,2,Caupolicán,tertiary,50,False,False,119.34100000000001,,"LINESTRING (-71.6981639 -38.8545295, -71.6979825 -38.8550167, -71.6977801 -38.8555603)"
164417322,2,Aurelio Letelier,tertiary,50,False,False,122.322,,"LINESTRING (-71.6897891 -38.8536547, -71.6911398 -38.8539768)"
164417324,2,Galvarino,residential,50,False,True,116.593,,"LINESTRING (-71.6897891 -38.8536547, -71.6901833 -38.8526521)"
164417321,2,Artemio Gutiérrez,residential,50,False,False,117.338,,"LINESTRING (-71.6923695 -38.8508496, -71.6936651 -38.8511586)"
164417321,2,Artemio Gutiérrez,residential,50,False,True,122.327,,"LINESTRING (-71.6923695 -38.8508496, -71.6910188 -38.8505275)"
164417326,2,Arturo Prat,residential,50,False,False,121.864,,"LINESTRING (-71.6923695 -38.8508496, -71.6919574 -38.8518975)"
164417326,2,Arturo Prat,residential,50,False,True,120.744,,"LINESTRING (-71.6923695 -38.8508496, -71.6927777 -38.8498113)"
164417321,2,Artemio Gutiérrez,residential,50,False,False,121.223,,"LINESTRING (-71.6896803 -38.8502083, -71.6910188 -38.8505275)"
164417323,2,Bernardo O'Higgins,residential,50,False,False,122.142,,"LINESTRING (-71.6896803 -38.8502083, -71.6892673 -38.8512586)"
164417323,2,Bernardo O'Higgins,residential,50,False,True,120.747,,"LINESTRING (-71.6896803 -38.8502083, -71.6900886 -38.84917)"
164417323,2,Bernardo O'Higgins,residential,50,False,True,122.142,,"LINESTRING (-71.6892673 -38.8512586, -71.6896803 -38.8502083)"
164417325,2,Aníbal Pincheira,residential,50,False,True,121.224,,"LINESTRING (-71.6892673 -38.8512586, -71.6906063 -38.8515766)"
25755278,2,Caupolicán,residential,50,False,True,120.742,,"LINESTRING (-71.6994091 -38.8513928, -71.6989972 -38.8524302)"
164417327,2,Eugenio Matte,residential,50,False,False,49.113,,"LINESTRING (-71.6994091 -38.8513928, -71.6999514 -38.8515221)"
