osmid,lanes,name,highway,maxspeed,oneway,reversed,length,ref,bridge,geometry
93598816,2,Las Araucarias,residential,50,False,False,101.149,,,"LINESTRING (-73.2309659 -38.0145616, -73.2310097 -38.0154706)"
377423950,2,Lanalhue,residential,50,True,False,60.236,,,"LINESTRING (-73.2309659 -38.0145616, -73.2302787 -38.0145797)"
93598793,,Los Hualles,residential,,False,True,383.721,,,"LINESTRING (-73.2325145 -38.015995, -73.2339076 -38.0192667)"
459513976,2,Los Hualles,tertiary,,False,False,179.5,P-700,,"LINESTRING (-73.2325145 -38.015995, -73.2333209 -38.014511)"
"[142750368, 377423943, 142750367]",2,Millaray,tertiary,50,False,True,142.694,P-700,yes,"LINESTRING (-73.2325145 -38.015995, -73.2323642 -38.0161303, -73.2322461 -38.0162042, -73.2320417 -38.0163049, -73.2318098 -38.0163963, -73.2311564 -38.0164316, -73.2310621 -38.0164367)"
93598839,2,Las Araucarias,tertiary,50,False,False,97.454,P-666,,"LINESTRING (-73.2310621 -38.0164367, -73.2310639 -38.0164981, -73.2310871 -38.0173129)"
"[142750367, 142750368, 377423943]",2,Millaray,tertiary,50,False,False,142.69400000000002,P-700,yes,"LINESTRING (-73.2310621 -38.0164367, -73.2311564 -38.0164316, -73.2318098 -38.0163963, -73.2320417 -38.0163049, -73.2322461 -38.0162042, -73.2323642 -38.0161303, -73.2325145 -38.015995)"
459458451,2,Millaray,tertiary,50,False,True,79.098,,,"LINESTRING (-73.2310621 -38.0164367, -73.2309444 -38.0164406, -73.2302261 -38.0164645, -73.23016 -38.0164667)"
570575109,2,Las Araucarias,residential,50,False,True,107.52300000000001,P-666,,"LINESTRING (-73.2310621 -38.0164367, -73.2310574 -38.0163501, -73.2310097 -38.0154706)"
377423949,2,Los Notros,tertiary,50,True,False,115.172,P-666,,"LINESTRING (-73.2289235 -38.0114379, -73.2289773 -38.0124728)"
929519084,2,Millaray,tertiary,50,False,True,47.284,,,"LINESTRING (-73.2279898 -38.0165289, -73.2274508 -38.0165513)"
459458452,2,Los Tilos,tertiary,50,True,False,107.40100000000001,,,"LINESTRING (-73.2279898 -38.0165289, -73.2279851 -38.0164431, -73.2279419 -38.0156482, -73.2279373 -38.0155639)"
"[1020008321, 1020008322, 459458446]",2,Millaray,tertiary,50,False,False,105.765,,,"LINESTRING (-73.2279898 -38.0165289, -73.2281604 -38.0165246, -73.2290135 -38.0165029, -73.2291018 -38.0165007, -73.2291965 -38.0164983)"
"[1020008320, 459458445, 1020008319]",2,Los Notros,residential,20,True,False,98.004,,,"LINESTRING (-73.2291965 -38.0164983, -73.2292025 -38.0165617, -73.2292088 -38.016627, -73.2292675 -38.0172434, -73.2292803 -38.0173772)"
"[1020008321, 1020008322, 459458446]",2,Millaray,tertiary,50,False,True,105.765,,,"LINESTRING (-73.2291965 -38.0164983, -73.2291018 -38.0165007, -73.2290135 -38.0165029, -73.2281604 -38.0165246, -73.2279898 -38.0165289)"
459458451,2,Millaray,tertiary,50,False,False,84.47800000000001,,,"LINESTRING (-73.2291965 -38.0164983, -73.2293028 -38.0164948, -73.2300942 -38.0164689, -73.23016 -38.0164667)"
161856152,2,Los Notros,tertiary,50,True,False,101.40799999999999,P-666,,"LINESTRING (-73.2290684 -38.0146115, -73.2290734 -38.0146952, -73.2291179 -38.0154477, -73.2291223 -38.0155225)"
377423946,2,Lanalhue,residential,50,True,False,102.70599999999999,,,"LINESTRING (-73.2290684 -38.0146115, -73.2289358 -38.0146156, -73.2280448 -38.0146429, -73.2279728 -38.0146451, -73.2278969 -38.0146474)"
161856151,2,Los Tilos,tertiary,50,True,False,118.172,,,"LINESTRING (-73.2278969 -38.0146474, -73.2278935 -38.0145709, -73.2278502 -38.0135853)"
