osmid,oneway,lanes,name,highway,reversed,length,geometry,area,maxspeed,ref
23809710,True,2,Blanco Encalada,residential,False,129.356,"LINESTRING (-71.2442159 -32.8829755, -71.2441427 -32.8818138)",,,
188766526,True,2,Diego Echeverría,tertiary,False,131.02,"LINESTRING (-71.2442159 -32.8829755, -71.2429232 -32.8830073, -71.2428134 -32.88301)",,,
23809710,True,2,Blanco Encalada,residential,False,125.269,"LINESTRING (-71.2442867 -32.8841005, -71.2442159 -32.8829755)",,,
556156220,True,2,Esmeralda,residential,False,128.821,"LINESTRING (-71.2442867 -32.8841005, -71.2445602 -32.8840886, -71.2456639 -32.8840329)",,,
55030331,True,2,Aníbal Pinto,residential,False,126.063,"LINESTRING (-71.2497243 -32.883837, -71.249631 -32.882706)",no,,
556156220,True,2,Esmeralda,residential,False,37.01,"LINESTRING (-71.2497243 -32.883837, -71.2501204 -32.8838253)",,,
172873404,True,2,Pudeto,secondary,False,127.897,"LINESTRING (-71.2482056 -32.8816399, -71.2468385 -32.8817098)",,50,
926833234,True,2,San Martín,residential,False,127.752,"LINESTRING (-71.2482056 -32.8816399, -71.248123 -32.8804931)",,,
27521663,True,2,San Martín,residential,False,127.953,"LINESTRING (-71.2483424 -32.8839088, -71.2482796 -32.8827593)",,,
556156220,True,2,Esmeralda,residential,False,129.287,"LINESTRING (-71.2483424 -32.8839088, -71.2497243 -32.883837)",,,
926833232,True,2,La Concepción,secondary,False,124.037,"LINESTRING (-71.2454353 -32.8806146, -71.2467618 -32.880557)",,50,
"[692361088, 645022463]",True,2,Ramón Freire,secondary,False,126.957,"LINESTRING (-71.2454353 -32.8806146, -71.2454733 -32.8812319, -71.2454935 -32.8814884, -71.245516 -32.8817543)",,50,
188766526,True,2,Diego Echeverría,tertiary,False,128.596,"LINESTRING (-71.2455893 -32.8828905, -71.2454353 -32.8829001, -71.2453243 -32.8829069, -71.2442159 -32.8829755)",,,
692361088,True,2,Ramón Freire,secondary,False,127.22,"LINESTRING (-71.2455893 -32.8828905, -71.2455977 -32.8830191, -71.2456119 -32.8832371, -71.2456639 -32.8840329)",,50,
