osmid,oneway,lanes,name,highway,reversed,length,ref,geometry,junction
525752096,True,2,Papudo,tertiary,False,97.663,,"LINESTRING (-71.2302268 -32.4507209, -71.2291889 -32.4507867)",
93203827,True,2,Pedro Polanco,secondary,False,95.02,E-285,"LINESTRING (-71.2312306 -32.4506702, -71.231168 -32.4498173)",
525752096,True,2,Papudo,tertiary,False,94.367,,"LINESTRING (-71.2312306 -32.4506702, -71.2311392 -32.4506778, -71.230346 -32.4507131, -71.2302754 -32.4507177, -71.2302268 -32.4507209)",
93203827,True,2,Pedro Polanco,secondary,False,77.455,E-285,"LINESTRING (-71.231168 -32.4498173, -71.2311292 -32.4491215)",
1066162318,True,2,Avenida Diego Portales,primary,False,93.254,E-35,"LINESTRING (-71.231168 -32.4498173, -71.2301753 -32.4498572)",
28772635,True,2,Vicuña Mackenna,tertiary,False,95.225,,"LINESTRING (-71.2331534 -32.4499027, -71.2331674 -32.4490464)",
1066162318,True,2,Avenida Diego Portales,primary,False,73.87,E-35,"LINESTRING (-71.2331534 -32.4499027, -71.2323684 -32.4498525)",
433511390,True,2,Serrano,secondary,False,54.953,,"LINESTRING (-71.2320777 -32.4506356, -71.2321066 -32.4511292)",
465625796,True,2,Papudo,secondary,False,79.578,,"LINESTRING (-71.2320777 -32.4506356, -71.2312306 -32.4506702)",
25644182,True,2,Serrano,secondary,False,87.722,,"LINESTRING (-71.2320627 -32.4498468, -71.2320777 -32.4506356)",
1066162318,True,2,Avenida Diego Portales,primary,False,84.017,E-35,"LINESTRING (-71.2320627 -32.4498468, -71.231168 -32.4498173)",
25644199,True,2,Prat,residential,False,96.554,,"LINESTRING (-71.2291181 -32.4490747, -71.2290591 -32.4482078)",
210866992,True,2,Ortiz de Rozas,primary,False,95.128,,"LINESTRING (-71.2291181 -32.4490747, -71.2301293 -32.4490136)",
93203827,True,2,Pedro Polanco,secondary,False,92.946,E-285,"LINESTRING (-71.23112 -32.448957, -71.2310673 -32.4481223)",
210866992,True,2,Ortiz de Rozas,primary,False,20.938,,"LINESTRING (-71.23112 -32.448957, -71.231343 -32.4489637)",
25644182,True,2,Serrano,secondary,False,95.859,,"LINESTRING (-71.2320492 -32.4489848, -71.2320627 -32.4498468)",
210866992,True,2,Ortiz de Rozas,primary,False,105.149,,"LINESTRING (-71.2320492 -32.4489848, -71.2331674 -32.4490464)",
25644199,True,2,Prat,residential,False,92.172,,"LINESTRING (-71.229153 -32.4499031, -71.2291181 -32.4490747)",
1066162318,True,2,Avenida Diego Portales,primary,False,94.074,E-35,"LINESTRING (-71.229153 -32.4499031, -71.2281525 -32.4499574)",
25644199,True,2,Prat,residential,False,134.939,,"LINESTRING (-71.2290591 -32.4482078, -71.2289998 -32.4469953)",
