osmid,name,highway,oneway,reversed,length,lanes,width,geometry,maxspeed
24963641,Calle Cinco,residential,False,False,75.635,,,"LINESTRING (-71.5192054 -32.9257352, -71.5191914 -32.9250551)",
557168858,Vergara,tertiary,False,False,80.658,2,,"LINESTRING (-71.5192054 -32.9257352, -71.5183413 -32.9257451)",
557168858,Vergara,tertiary,False,True,45.244,2,,"LINESTRING (-71.5192054 -32.9257352, -71.5196901 -32.9257296)",
24836253,Santa Laura,tertiary,False,True,398.655,2,7,"LINESTRING (-71.512339 -32.9204796, -71.5123916 -32.9205336, -71.5124391 -32.9205452, -71.5127416 -32.9206215, -71.5129521 -32.9206744, -71.5131193 -32.9207378, -71.5133197 -32.9208362, -71.5134467 -32.9208818, -71.5140472 -32.9209783, -71.5142579 -32.9210164, -71.5143194 -32.9210126, -71.514412 -32.9209935, -71.5145448 -32.9209613, -71.5149066 -32.9208575, -71.5153619 -32.9207158, -71.5156096 -32.920646, -71.5163567 -32.9204113)",
674030323,Avenida Borgoño,secondary,False,True,121.41600000000001,2,,"LINESTRING (-71.512339 -32.9204796, -71.5122733 -32.9204692, -71.5122054 -32.9204566, -71.5119672 -32.920397, -71.5117129 -32.9203396, -71.5115279 -32.9202999, -71.5112372 -32.9202374, -71.5110809 -32.9202034)",
24026091,Calle Diez,primary,False,False,114.81,2,,"LINESTRING (-71.5127291 -32.9215393, -71.5127352 -32.9225718)",50
196346989,Maroto,tertiary,False,False,119.465,,7,"LINESTRING (-71.5127291 -32.9215393, -71.5140088 -32.9215202)",
650290384,Maroto,primary,False,True,120.62199999999999,2,,"LINESTRING (-71.5127291 -32.9215393, -71.5119503 -32.9215509, -71.511437 -32.9215586)",50
483247211,Calle Diez,primary,False,False,4.213,2,,"LINESTRING (-71.512816 -32.9258088, -71.5128191 -32.9258466)",50
668997173,Calle Diez,primary,False,True,69.093,2,,"LINESTRING (-71.512816 -32.9258088, -71.5127818 -32.9251881)",50
557168858,Vergara,tertiary,False,True,78.147,2,,"LINESTRING (-71.512816 -32.9258088, -71.5128844 -32.925808, -71.5136532 -32.9257992)",
769733705,Vergara,tertiary,False,False,123.907,,,"LINESTRING (-71.512816 -32.9258088, -71.5127366 -32.9258187, -71.5115692 -32.9258241, -71.511548 -32.9258245, -71.5114895 -32.9258207)",
24836253,Santa Laura,tertiary,False,False,20.705,2,7,"LINESTRING (-71.5165574 -32.920332, -71.5163567 -32.9204113)",
24938656,Calle Siete,tertiary,False,True,51.855,2,,"LINESTRING (-71.5165574 -32.920332, -71.5165437 -32.9207982)",
