osmid,oneway,lanes,ref,name,highway,reversed,length,geometry,maxspeed,width,access,junction
1068016717,False,4,F-90-G,Avenida Guillermo Mucke,trunk,True,30.279,"LINESTRING (-71.6675911 -33.3697933, -71.6677422 -33.369552)",,,,
172466114,False,4,F-90-G,Avenida Guillermo Mucke,trunk,False,84.78800000000001,"LINESTRING (-71.6675911 -33.3697933, -71.6674632 -33.3701121, -71.667301 -33.3705163)",,,,
1068016720,False,3,F-90-G,Avenida Guillermo Mucke,trunk,False,6.562,"LINESTRING (-71.6680302 -33.3691214, -71.6679957 -33.3691729)",,,,
46860935,False,2,G-986,Avenida Ignacio Carrera Pinto,primary,True,56.760000000000005,"LINESTRING (-71.6680302 -33.3691214, -71.668139 -33.3692051, -71.6684798 -33.3694672)",,,,
1068016718,False,3,G-986,Avenida Doctor Guillermo Mucke,primary,True,50.861999999999995,"LINESTRING (-71.6680302 -33.3691214, -71.6680988 -33.3690201, -71.6681308 -33.3689728, -71.6682997 -33.3687232)",,,,
545768104,False,2,,Avenida Peñablanca,secondary,True,62.34,"LINESTRING (-71.6734097 -33.3693826, -71.6733355 -33.3699398)",,,,
172191168,False,,,Los Tamarindos,residential,True,226.394,"LINESTRING (-71.6734097 -33.3693826, -71.6732781 -33.3693648, -71.672953 -33.3693475, -71.6727922 -33.3693086, -71.6726557 -33.3692356, -71.6722915 -33.3690564, -71.6719419 -33.3688971, -71.6717926 -33.36881, -71.671671 -33.3687134, -71.6716772 -33.3686106, -71.6718248 -33.3684695, -71.6719173 -33.3683922)",,,,
476130190,False,2,,Santa Teresita,secondary,True,32.779,"LINESTRING (-71.6724819 -33.3665766, -71.6728279 -33.3666349)",,,,
427743030,False,,,Los Pescadores,residential,False,72.095,"LINESTRING (-71.6724819 -33.3665766, -71.6724661 -33.3667198, -71.6722617 -33.3671946)",,,,
427743030,False,,,Los Pescadores,residential,True,128.686,"LINESTRING (-71.6724819 -33.3665766, -71.6724822 -33.3664062, -71.6724217 -33.3654206)",,,,
476130190,False,2,,Santa Teresita,secondary,False,193.09799999999998,"LINESTRING (-71.6724819 -33.3665766, -71.6716772 -33.3663728, -71.6710174 -33.366104, -71.6705776 -33.3658979)",,,,
242745046,False,4,G-986,Avenida Doctor Guillermo Mucke,primary,False,148.945,"LINESTRING (-71.6693728 -33.3673922, -71.668477 -33.3685033)",,,,
242745046,False,4,G-986,Avenida Doctor Guillermo Mucke,primary,True,69.223,"LINESTRING (-71.6693728 -33.3673922, -71.6697891 -33.3668758)",,,,
532598017,False,2,,Avenida Los Claveles,tertiary,False,159.923,"LINESTRING (-71.6693728 -33.3673922, -71.6688876 -33.3671094, -71.6687442 -33.3670258, -71.6684707 -33.3668925, -71.6680817 -33.3667032, -71.6679119 -33.3666346)",,,,
532598017,False,2,,Avenida Los Claveles,tertiary,True,163.701,"LINESTRING (-71.6693728 -33.3673922, -71.669679 -33.3675645, -71.6698413 -33.3676541, -71.6700894 -33.3677807, -71.6703308 -33.3678804, -71.6705346 -33.3679599, -71.6709155 -33.3680954)",,,,
25479614,True,2,,Avenida Doctor Guillermo Mucke,primary,False,97.286,"LINESTRING (-71.671175 -33.3651792, -71.6705776 -33.3658979)",,,,
532598009,False,,,José Toribio Larraín,residential,False,102.481,"LINESTRING (-71.671175 -33.3651792, -71.6713434 -33.3652563, -71.6715022 -33.365311, -71.6717604 -33.3653754, -71.6719664 -33.365367, -71.6722178 -33.3652998)",,,,
46860935,False,2,G-986,Avenida Ignacio Carrera Pinto,primary,False,56.760000000000005,"LINESTRING (-71.6684798 -33.3694672, -71.668139 -33.3692051, -71.6680302 -33.3691214)",,,,
46860935,False,2,G-986,Avenida Ignacio Carrera Pinto,primary,True,335.70799999999997,"LINESTRING (-71.6684798 -33.3694672, -71.6687474 -33.3696642, -71.6692796 -33.3700517, -71.6699098 -33.3704731, -71.6713512 -33.3712945)",,,,
673538150,True,1,,Avenida Ignacio Carrera,trunk_link,False,74.93,"LINESTRING (-71.6684798 -33.3694672, -71.6684267 -33.3694437, -71.668368 -33.3694229, -71.668307 -33.3694076, -71.6682444 -33.369398, -71.6681808 -33.3693942, -71.6681171 -33.3693962, -71.6680466 -33.3694053, -71.667978 -33.3694216, -71.6679122 -33.3694449, -71.6678504 -33.3694746, -71.6677934 -33.3695105, -71.6677422 -33.369552)",,,,
242745046,False,4,G-986,Avenida Doctor Guillermo Mucke,primary,False,66.84,"LINESTRING (-71.6705776 -33.3658979, -71.6701756 -33.3663965)",,,,
172466113,True,2,G-986,Santa Teresita,primary,False,98.77600000000001,"LINESTRING (-71.6705776 -33.3658979, -71.669892 -33.3654976, -71.6697331 -33.3653621)",,,,
476130190,False,2,,Santa Teresita,secondary,True,193.098,"LINESTRING (-71.6705776 -33.3658979, -71.6710174 -33.366104, -71.6716772 -33.3663728, -71.6724819 -33.3665766)",,,,
172829160,False,,,Los Pescadores,residential,False,16.476,"LINESTRING (-71.6726305 -33.3650537, -71.67253 -33.3651758)",,,,
"[172466106, 427743028]",True,2,,"['Avenida Las Tinajas', 'San Eugenio']",secondary,False,29.089,"LINESTRING (-71.6726305 -33.3650537, -71.6726614 -33.3651176, -71.6727955 -33.3652744)",,,,
427743028,True,2,,Avenida Las Tinajas,secondary,False,6.411,"LINESTRING (-71.6727955 -33.3652744, -71.6728587 -33.3652976)",,,,
172829139,False,,,,residential,True,152.173,"LINESTRING (-71.6727955 -33.3652744, -71.6727236 -33.3657611, -71.6728279 -33.3666349)",,,,
545768103,False,2,,Avenida Peñablanca,secondary,True,26.15,"LINESTRING (-71.6733825 -33.372174, -71.6732371 -33.3723754)",,,,
545768104,False,2,,Avenida Peñablanca,secondary,False,110.52800000000002,"LINESTRING (-71.6733825 -33.372174, -71.6733261 -33.372044, -71.6732795 -33.3719113, -71.6732429 -33.3717764, -71.6732154 -33.3716334, -71.6731992 -33.3714893, -71.6731943 -33.3713446, -71.6732007 -33.3711999)",,,,
172824049,False,,,Paseo del Arrecife,living_street,False,117.512,"LINESTRING (-71.672113 -33.3723939, -71.6717002 -33.3733929)",,,,
172824051,False,,,Paseo del Atolón,living_street,False,54.074,"LINESTRING (-71.672113 -33.3723939, -71.6722983 -33.3724714, -71.6724218 -33.3725088, -71.6725495 -33.3725283, -71.6726633 -33.372532)",,,,
172824051,False,,,Paseo del Atolón,living_street,True,52.636,"LINESTRING (-71.672113 -33.3723939, -71.6720252 -33.3723064, -71.6716616 -33.3721145)",,,,
172824053,False,2,,Paseo del Acantilado,living_street,True,30.054,"LINESTRING (-71.6722349 -33.3735499, -71.6723422 -33.3732949)",,,,
1097707261,False,,,Paseo del Pingüino,living_street,False,16.861,"LINESTRING (-71.6722349 -33.3735499, -71.6720636 -33.3734996)",,,,
172824057,False,2,,San Mateo,residential,False,105.489,"LINESTRING (-71.6691321 -33.3704607, -71.669182 -33.3704891, -71.6698018 -33.3708527, -71.6700608 -33.371007)",,,,
172824044,False,2,,Paseo del Pingüino,living_street,False,50.1,"LINESTRING (-71.6717002 -33.3733929, -71.6711912 -33.3732435)",,,,
172824044,False,2,,Paseo del Pingüino,living_street,True,35.77,"LINESTRING (-71.6717002 -33.3733929, -71.6720636 -33.3734996)",,,,
172824049,False,,,Paseo del Arrecife,living_street,True,117.512,"LINESTRING (-71.6717002 -33.3733929, -71.672113 -33.3723939)",,,,
172824060,False,2,,Paseo de Las Rompientes,living_street,False,132.922,"LINESTRING (-71.6716616 -33.3721145, -71.6711912 -33.3732435)",,,,
172824051,False,,,Paseo del Atolón,living_street,False,52.636,"LINESTRING (-71.6716616 -33.3721145, -71.6720252 -33.3723064, -71.672113 -33.3723939)",,,,
172824051,False,,,Paseo del Atolón,living_street,True,59.093999999999994,"LINESTRING (-71.6716616 -33.3721145, -71.6715846 -33.3720639, -71.671138 -33.3718128)",,,,
172824053,False,2,,Paseo del Acantilado,living_street,False,30.054,"LINESTRING (-71.6723422 -33.3732949, -71.6722349 -33.3735499)",,,,
172824053,False,2,,Paseo del Acantilado,living_street,True,53.711,"LINESTRING (-71.6723422 -33.3732949, -71.6725242 -33.3728624, -71.672534 -33.3728392)",,,,
172824039,False,,,Villa San Juan,residential,False,64.765,"LINESTRING (-71.6698299 -33.3715566, -71.6700608 -33.371007)",,,,
172824039,False,,,Villa San Juan,residential,True,56.069,"LINESTRING (-71.6698299 -33.3715566, -71.6696246 -33.3720308)",,,,
545772967,False,2,,San Marcos,residential,False,62.866,"LINESTRING (-71.6698299 -33.3715566, -71.6703936 -33.3718697)",,,,
545772967,False,2,,San Marcos,residential,True,223.90599999999998,"LINESTRING (-71.6698299 -33.3715566, -71.6686037 -33.370864, -71.6684562 -33.3708169, -71.6682872 -33.3707654, -71.6677114 -33.3706469)",,,,
172824044,False,2,,Paseo del Pingüino,living_street,False,35.77,"LINESTRING (-71.6720636 -33.3734996, -71.6717002 -33.3733929)",,,,
172824048,False,2,,Paseo Caleta Honda,living_street,True,16.031,"LINESTRING (-71.6720636 -33.3734996, -71.6720063 -33.3736356)",,,,
1097707261,False,,,Paseo del Pingüino,living_street,True,16.861,"LINESTRING (-71.6720636 -33.3734996, -71.6722349 -33.3735499)",,,,
172824044,False,2,,Paseo del Pingüino,living_street,False,56.37,"LINESTRING (-71.6711912 -33.3732435, -71.6706185 -33.3730754)",,,,
172824044,False,2,,Paseo del Pingüino,living_street,True,50.1,"LINESTRING (-71.6711912 -33.3732435, -71.6717002 -33.3733929)",,,,
172824060,False,2,,Paseo de Las Rompientes,living_street,True,132.922,"LINESTRING (-71.6711912 -33.3732435, -71.6716616 -33.3721145)",,,,
545772966,False,2,,El Arrayán,tertiary,False,25.759,"LINESTRING (-71.6695425 -33.3732511, -71.6698052 -33.3733255)",,,,
545772966,False,2,,El Arrayán,tertiary,True,37.263,"LINESTRING (-71.6695425 -33.3732511, -71.6691625 -33.3731434)",,,,
172824040,False,2,,Vía Náutica,tertiary,True,50.599,"LINESTRING (-71.6704416 -33.3735058, -71.6706185 -33.3730754)",,,,
545772966,False,2,,El Arrayán,tertiary,True,62.404,"LINESTRING (-71.6704416 -33.3735058, -71.6698052 -33.3733255)",,,,
172824040,False,2,,Vía Náutica,tertiary,False,17.777,"LINESTRING (-71.6712002 -33.3716616, -71.671138 -33.3718128)",,,,
