osmid,highway,oneway,reversed,length,geometry,name,maxspeed,lanes,ref
105712502,residential,False,False,136.643,"LINESTRING (-71.5821845 -39.3619949, -71.583226 -39.3625443, -71.5832964 -39.3625615, -71.5833494 -39.3625342, -71.5834743 -39.3624224)",,,,
105712484,residential,False,False,47.169,"LINESTRING (-71.5848774 -39.3568511, -71.585321 -39.3571007)",Puel Mapu,50,,
105712484,residential,False,True,45.843,"LINESTRING (-71.5848774 -39.3568511, -71.5844462 -39.3566086)",Puel Mapu,50,,
105712513,residential,False,True,82.435,"LINESTRING (-71.5848774 -39.3568511, -71.5842848 -39.3574339)",,,,
293765042,residential,False,False,96.333,"LINESTRING (-71.5884361 -39.3601098, -71.5875598 -39.3595699)",,,,
"[918147866, 105712503]",residential,False,"[False, True]",602.544,"LINESTRING (-71.5884361 -39.3601098, -71.5890059 -39.3596041, -71.589175 -39.3594959, -71.5893374 -39.359459, -71.5894904 -39.3594507, -71.5896597 -39.3594488, -71.5902796 -39.3596484, -71.5904143 -39.3596904, -71.5904412 -39.3597101, -71.5904626 -39.3597495, -71.5904492 -39.3598464, -71.5904251 -39.3600808, -71.5903258 -39.3604344, -71.5902239 -39.3605899, -71.5901488 -39.3606469, -71.5898162 -39.3608274, -71.5891001 -39.3614775, -71.5879455 -39.3623053, -71.5878528 -39.3623485, -71.5877565 -39.3623629)",,,,
"[293765042, 105712508]",residential,False,True,234.146,"LINESTRING (-71.5884361 -39.3601098, -71.5885987 -39.3602042, -71.5886309 -39.3602581, -71.5878796 -39.3609592, -71.587072 -39.3617128)",Cacique Catriquir,50,,
105712493,living_street,False,True,43.407,"LINESTRING (-71.5896682 -39.3563117, -71.589999 -39.3560168)",Pasaje Pocolpen,20,,
"[293764089, 293764090, 105712495]",living_street,False,True,118.814,"LINESTRING (-71.5896682 -39.3563117, -71.5893454 -39.3561153, -71.5894773 -39.3559656, -71.5896936 -39.3557901, -71.589999 -39.3560168)","['Pasaje lago Quillelhue', 'Pasaje Mamuilmalal', 'Pasaje Momolluco']",40,,
293764090,living_street,False,False,70.02,"LINESTRING (-71.5896682 -39.3563117, -71.5903332 -39.3566752)",Pasaje Mamuilmalal,40,,
105712497,residential,False,False,101.576,"LINESTRING (-71.5851227 -39.3604285, -71.5858022 -39.3596812)",Avenida Estadio,,,
105712497,residential,False,True,116.082,"LINESTRING (-71.5851227 -39.3604285, -71.5844055 -39.361313)",Avenida Estadio,,,
