osmid,oneway,lanes,name,highway,maxspeed,reversed,length,geometry,ref,bridge
297790730,True,2,General Körner,residential,50,False,121.126,"LINESTRING (-72.223227 -39.2817511, -72.2241413 -39.2825792)",,
971467525,False,2,General Basilio Urrutia,secondary,50,True,119.297,"LINESTRING (-72.223227 -39.2817511, -72.2221803 -39.2824544)",,
971467525,False,2,General Basilio Urrutia,secondary,50,False,120.539,"LINESTRING (-72.223227 -39.2817511, -72.2236841 -39.2814403, -72.2242792 -39.2810357)",,
82542845,True,2,José Manuel Balmaceda,residential,50,False,120.419,"LINESTRING (-72.2304325 -39.2782213, -72.2294964 -39.2774165)",,
148773595,True,2,Valentín Letelier,residential,50,False,119.51,"LINESTRING (-72.2304325 -39.2782213, -72.2294691 -39.278882, -72.2293932 -39.278934)",,
520462365,True,2,Camilo Henríquez,secondary,50,False,120.175,"LINESTRING (-72.2253225 -39.280321, -72.2262521 -39.2811274)",199,
575408371,False,2,General Basilio Urrutia,secondary,50,False,125.426,"LINESTRING (-72.2253225 -39.280321, -72.2264106 -39.2795707)",199,
579111676,False,2,General Basilio Urrutia,secondary,50,True,119.914,"LINESTRING (-72.2253225 -39.280321, -72.2242792 -39.2810357)",,
"[154245829, 83047605]",False,2,"['Francisco Bilbao', 'Sargento Aldea']",residential,50,True,230.24900000000002,"LINESTRING (-72.2311614 -39.2820749, -72.2312164 -39.282036, -72.2321337 -39.2813864, -72.2324682 -39.2811496, -72.2329618 -39.281583, -72.2330569 -39.2816803)",,
341326276,True,2,Manuel Antonio Matta,tertiary,50,False,108.00399999999999,"LINESTRING (-72.2311614 -39.2820749, -72.2309019 -39.2818509, -72.2303866 -39.2814062, -72.2303236 -39.2813518)",,
148773595,True,2,Valentín Letelier,residential,50,False,119.248,"LINESTRING (-72.22836 -39.2796539, -72.2273358 -39.2803761)",,
1019095647,True,2,Manuel Antonio Matta,tertiary,50,False,119.341,"LINESTRING (-72.22836 -39.2796539, -72.2274733 -39.2788914, -72.2274324 -39.2788562)",,
680961926,True,2,Andrés Bello,residential,50,False,121.485,"LINESTRING (-72.2293932 -39.278934, -72.230331 -39.2797505)",,
148773595,True,2,Valentín Letelier,residential,50,False,119.651,"LINESTRING (-72.2293932 -39.278934, -72.2284126 -39.2796172, -72.22836 -39.2796539)",,
148773595,True,2,Valentín Letelier,residential,50,False,120.897,"LINESTRING (-72.2262521 -39.2811274, -72.2252028 -39.2818502)",,
