osmid,oneway,lanes,ref,name,highway,maxspeed,reversed,length,geometry
83030454,False,2,,Etchegaray,primary,50,True,148.48100000000002,"LINESTRING (-72.3318695 -39.6413572, -72.3316296 -39.6412874, -72.3305766 -39.6409813, -72.330468 -39.6409524, -72.3303513 -39.6409266, -72.330278 -39.6409166, -72.3302373 -39.6409111)"
83030470,False,2,,Arturo Prat,residential,50,True,118.35400000000001,"LINESTRING (-72.3277337 -39.6434619, -72.3277488 -39.6435056, -72.3280732 -39.644446, -72.3280886 -39.6444906)"
83030470,False,2,,Arturo Prat,residential,50,False,118.35400000000001,"LINESTRING (-72.3280886 -39.6444906, -72.3280732 -39.644446, -72.3277488 -39.6435056, -72.3277337 -39.6434619)"
798241101,True,2,,José Miguel Carrera,residential,50,False,114.515,"LINESTRING (-72.3280886 -39.6444906, -72.328138 -39.6444804, -72.3293305 -39.644233, -72.32938 -39.6442227)"
798241101,True,2,,José Miguel Carrera,residential,50,False,116.979,"LINESTRING (-72.32938 -39.6442227, -72.3294405 -39.6442102, -72.3306676 -39.6439556, -72.3306992 -39.6439491)"
83030456,True,2,,José Miguel Carrera,residential,50,False,115.172,"LINESTRING (-72.3320023 -39.6436788, -72.3320752 -39.6436637, -72.3332474 -39.6434205, -72.3333011 -39.6434094)"
83030465,True,2,,Manuel Antonio Matta,residential,50,False,159.584,"LINESTRING (-72.3320023 -39.6436788, -72.3320202 -39.6437266, -72.3325168 -39.6450582)"
83030456,True,2,,José Miguel Carrera,residential,50,False,119.695,"LINESTRING (-72.3333011 -39.6434094, -72.3333513 -39.643399, -72.3345831 -39.6431435, -72.3346509 -39.6431294)"
1205278967,True,2,,Pedro de Valdivia,tertiary,50,False,121.154,"LINESTRING (-72.3333011 -39.6434094, -72.3332848 -39.6433592, -72.3329684 -39.6423911, -72.3329557 -39.6423528)"
83030457,True,,,Presidente Jorge Alessandri,residential,50,False,22.742,"LINESTRING (-72.3326991 -39.6404489, -72.3325454 -39.6406157)"
170025776,False,,,Alcalde Andrés Sandoval,residential,50,False,22.619,"LINESTRING (-72.3326991 -39.6404489, -72.3324354 -39.6404608)"
232062667,False,,,Presidente Jorge Alessandri,residential,50,False,70.322,"LINESTRING (-72.3339206 -39.6408704, -72.3344585 -39.6413483)"
83030457,True,,,Presidente Jorge Alessandri,residential,50,False,116.641,"LINESTRING (-72.3339206 -39.6408704, -72.3328082 -39.640435, -72.3327693 -39.6404299, -72.3327264 -39.6404381, -72.3326991 -39.6404489)"
83030475,False,2,,Padre Sigisfredo,tertiary,50,False,121.569,"LINESTRING (-72.3339206 -39.6408704, -72.3334412 -39.6412158, -72.3333393 -39.6413004, -72.3332575 -39.6413738, -72.3331583 -39.6414832, -72.3331019 -39.6415514, -72.3330671 -39.6416051, -72.3330103 -39.6416965)"
83030475,False,2,,Padre Sigisfredo,tertiary,50,True,472.99499999999995,"LINESTRING (-72.3339206 -39.6408704, -72.3340622 -39.6407717, -72.3341319 -39.6407278, -72.3341721 -39.6407025, -72.3342794 -39.6406447, -72.3344055 -39.6405858, -72.3347247 -39.6404495, -72.3348802 -39.6403803, -72.335005 -39.6403214, -72.3350975 -39.6402698, -72.335186 -39.6402119, -72.3352732 -39.6401469, -72.3356541 -39.6398556, -72.3358431 -39.6397111, -72.335929 -39.6396594, -72.3360027 -39.6396212, -72.3374244 -39.6389395, -72.3375383 -39.6388849, -72.3377703 -39.638762, -72.3379393 -39.638668, -72.3380613 -39.6385895, -72.3381753 -39.6385017, -72.3382518 -39.6384284, -72.3383425 -39.6383595)"
781621179,False,2,203,Bernardo O'Higgins,primary,50,False,98.208,"LINESTRING (-72.3385528 -39.6407538, -72.3376188 -39.6412664)"
324173027,True,2,,Pedro de Valdivia,tertiary,50,False,15.835,"LINESTRING (-72.3347797 -39.6451648, -72.3346737 -39.6450481)"
