osmid,oneway,lanes,name,highway,reversed,length,geometry,bridge,tunnel,ref,junction
90756601,True,2,Arturo Prat,secondary,False,61.980999999999995,"LINESTRING (-70.9569416 -30.6954561, -70.9569478 -30.6953922, -70.9569278 -30.6953141, -70.9568421 -30.6950562, -70.9567937 -30.6949172)",,,,
"[90756610, 491035380, 491035383]",False,,Balmaceda,tertiary,True,459.96000000000004,"LINESTRING (-70.9569416 -30.6954561, -70.9563611 -30.6954158, -70.9561446 -30.6954069, -70.9560192 -30.6954135, -70.9559247 -30.6954299, -70.9558341 -30.6954793, -70.9556584 -30.6956638, -70.955226 -30.6962199, -70.9549021 -30.6966378, -70.9547001 -30.6968986, -70.9538072 -30.6981206)",yes,,,
711902039,True,2,Balmaceda,secondary,False,58.12,"LINESTRING (-70.9583452 -30.6954664, -70.9577374 -30.6954727)",,,,
90756602,False,2,Ponio,secondary,False,76.166,"LINESTRING (-70.9583452 -30.6954664, -70.9584641 -30.695807, -70.9585096 -30.6959266, -70.9585509 -30.696127)",,,,
90756604,False,,Bernardo O'Higgins,residential,False,201.16700000000003,"LINESTRING (-70.9583452 -30.6954664, -70.958475 -30.6954887, -70.9591427 -30.6955222, -70.9596583 -30.695537, -70.9599393 -30.6955643, -70.9602649 -30.6956202, -70.9604258 -30.6956725)",,,,
711902034,False,2,Monterrey,secondary,False,43.986,"LINESTRING (-70.9588827 -30.694891, -70.9584312 -30.6948152)",,,,
711902036,True,2,Lord Cochrane,secondary,False,39.303,"LINESTRING (-70.9588827 -30.694891, -70.9589847 -30.6945486)",,,,
90756612,True,2,Diaguitas,secondary,False,234.80800000000005,"LINESTRING (-70.9562233 -30.6937278, -70.9563559 -30.6937406, -70.9564832 -30.6937768, -70.95658 -30.6938362, -70.9573794 -30.6944075, -70.9575165 -30.6945048, -70.9577391 -30.6946271, -70.9579849 -30.6947367, -70.9582852 -30.6948064)",,,,
163788256,True,,Lautaro,residential,False,47.443,"LINESTRING (-70.9562233 -30.6937278, -70.9562312 -30.6936868, -70.9562419 -30.6936557, -70.9563183 -30.6935981, -70.9564175 -30.6935384, -70.9565818 -30.6934608)",,,,
"[711902029, 711902037, 163788254]",False,2,Arturo Prat,"['residential', 'tertiary']",False,97.887,"LINESTRING (-70.9560125 -30.6940105, -70.9559279 -30.6939892, -70.9558467 -30.6939456, -70.955764 -30.6939037, -70.9557007 -30.693855, -70.9556275 -30.6937632, -70.9555498 -30.6934273, -70.9555061 -30.6933209)",,yes,,
711902038,True,2,Diaguitas,secondary,False,37.433,"LINESTRING (-70.9560125 -30.6940105, -70.9560878 -30.6938881, -70.9562233 -30.6937278)",,,,
711902034,False,2,Monterrey,secondary,True,13.994,"LINESTRING (-70.9582852 -30.6948064, -70.9584312 -30.6948152)",,,,
90756605,True,,Ponio,secondary,False,73.669,"LINESTRING (-70.9582852 -30.6948064, -70.9582913 -30.6949083, -70.9583305 -30.6954023, -70.9583452 -30.6954664)",,,,
