osmid,name,highway,oneway,reversed,length,maxspeed,bridge,geometry
440276601,Xalqlar doslıǵı kóshesi,residential,False,True,250.723,,,"LINESTRING (60.2900914 43.0186986, 60.2882983 43.0168641)"
"[182976585, 182976588, 168289070]",Doslıq gúzarı,primary,False,False,118.64399999999999,50,yes,"LINESTRING (60.2900914 43.0186986, 60.2896408 43.0188233, 60.2890172 43.0190016, 60.2887329 43.0190882)"
168289070,Doslıq gúzarı,primary,False,True,172.325,50,,"LINESTRING (60.2900914 43.0186986, 60.2910609 43.0184702, 60.292124 43.0182606)"
182976588,Doslıq gúzarı,primary,False,True,273.86899999999997,50,,"LINESTRING (60.2846213 43.0211828, 60.2857223 43.020421, 60.287187 43.0195913)"
440241205,Ernazar Alakóz kóshesi,residential,False,False,72.17,,,"LINESTRING (60.2846213 43.0211828, 60.2842103 43.0208424, 60.2839578 43.0207796)"
440241205,Ernazar Alakóz kóshesi,residential,False,False,77.873,,,"LINESTRING (60.2839578 43.0207796, 60.2834026 43.0202089)"
440241205,Ernazar Alakóz kóshesi,residential,False,True,72.17,,,"LINESTRING (60.2839578 43.0207796, 60.2842103 43.0208424, 60.2846213 43.0211828)"
440241211,Aydos biy kóshesi,residential,False,False,426.374,,,"LINESTRING (60.2844022 43.0171709, 60.2859942 43.0175018, 60.2872656 43.0179292, 60.2880801 43.0184071, 60.2886378 43.0189169, 60.2887329 43.0190882)"
440241214,Berdaq kóshesi,residential,False,True,352.379,,,"LINESTRING (60.2844022 43.0171709, 60.2860334 43.0184365, 60.287187 43.0195913)"
440241205,Ernazar Alakóz kóshesi,residential,False,True,77.873,,,"LINESTRING (60.2834026 43.0202089, 60.2839578 43.0207796)"
440241889,Qırıq qız kóshesi,residential,False,False,104.566,,,"LINESTRING (60.2945942 43.017984, 60.2943398 43.0170622)"
168289070,Doslıq gúzarı,primary,False,False,207.24099999999999,50,,"LINESTRING (60.2945942 43.017984, 60.2944202 43.0179319, 60.2942134 43.0178996, 60.2938767 43.0179284, 60.292124 43.0182606)"
440241889,Qırıq qız kóshesi,residential,False,True,104.566,,,"LINESTRING (60.2943398 43.0170622, 60.2945942 43.017984)"
440241890,Baraq batır kóshesi,residential,False,True,183.979,,,"LINESTRING (60.2943398 43.0170622, 60.2921965 43.0175931)"
440276602,Uluǵbek kóshesi,residential,False,False,62.289,,,"LINESTRING (60.2877995 43.0172893, 60.2882983 43.0168641)"
440276601,Xalqlar doslıǵı kóshesi,residential,False,False,250.723,,,"LINESTRING (60.2882983 43.0168641, 60.2900914 43.0186986)"
440276602,Uluǵbek kóshesi,residential,False,True,62.289,,,"LINESTRING (60.2882983 43.0168641, 60.2877995 43.0172893)"
440241890,Baraq batır kóshesi,residential,False,False,183.979,,,"LINESTRING (60.2921965 43.0175931, 60.2943398 43.0170622)"
206356048,Turımbay shıǵanaq kóshesi,residential,False,True,74.657,,,"LINESTRING (60.2921965 43.0175931, 60.2921142 43.018072, 60.292124 43.0182606)"
440276603,Jaslıq kóshesi,residential,False,False,42.001999999999995,,,"LINESTRING (60.2921965 43.0175931, 60.2919239 43.0175, 60.2918325 43.0173571)"
440276609,Qaraqalpaqstan kóshesi,residential,False,False,186.008,,,"LINESTRING (60.2904335 43.0198288, 60.2924874 43.0190917)"
440276609,Qaraqalpaqstan kóshesi,residential,False,True,154.565,,,"LINESTRING (60.2942296 43.0185352, 60.2926961 43.019025, 60.2924874 43.0190917)"
168289070,Doslıq gúzarı,primary,False,False,172.325,50,,"LINESTRING (60.292124 43.0182606, 60.2910609 43.0184702, 60.2900914 43.0186986)"
168289070,Doslıq gúzarı,primary,False,True,207.241,50,,"LINESTRING (60.292124 43.0182606, 60.2938767 43.0179284, 60.2942134 43.0178996, 60.2944202 43.0179319, 60.2945942 43.017984)"
206356048,Turımbay shıǵanaq kóshesi,residential,False,False,74.657,,,"LINESTRING (60.292124 43.0182606, 60.2921142 43.018072, 60.2921965 43.0175931)"
440276610,,residential,False,False,97.021,,,"LINESTRING (60.292124 43.0182606, 60.2921529 43.0183267, 60.2924874 43.0190917)"
440276609,Qaraqalpaqstan kóshesi,residential,False,True,186.008,,,"LINESTRING (60.2924874 43.0190917, 60.2904335 43.0198288)"
440276609,Qaraqalpaqstan kóshesi,residential,False,False,154.565,,,"LINESTRING (60.2924874 43.0190917, 60.2926961 43.019025, 60.2942296 43.0185352)"
440276610,,residential,False,True,97.021,,,"LINESTRING (60.2924874 43.0190917, 60.2921529 43.0183267, 60.292124 43.0182606)"
440276614,Kúnxoja kóshesi,residential,False,False,136.94,,,"LINESTRING (60.2931773 43.0211495, 60.2943679 43.0220207)"
"[440276617, 528769234]","['Samarqand kóshesi', 'Qızıl qum kóshesi']",residential,False,False,166.178,,,"LINESTRING (60.2931773 43.0211495, 60.2931636 43.0210059, 60.2932572 43.02088, 60.2934017 43.0207539, 60.2935799 43.0207378, 60.2938459 43.0208024, 60.2939551 43.0208741, 60.2940997 43.0209144, 60.2946382 43.0209873, 60.2947482 43.0210169)"
440276617,Samarqand kóshesi,residential,False,True,111.893,,,"LINESTRING (60.2931773 43.0211495, 60.2931713 43.0212907, 60.293125 43.021382, 60.2928244 43.0216646, 60.2924011 43.021933)"
