osmid,highway,oneway,reversed,length,lanes,name,geometry,ref,maxspeed
319993356,residential,False,False,143.264,,,"LINESTRING (64.1764917 39.738081, 64.1761536 39.7368191)",,
373575048,secondary,True,False,183.18099999999998,2,Mahmud Torobiy koʻchasi,"LINESTRING (64.1764917 39.738081, 64.177817 39.7378943, 64.1782116 39.7378667, 64.1786103 39.7378705)",,
319992938,residential,False,True,92.62899999999999,,Zarafshon koʻchasi,"LINESTRING (64.1863736 39.7394165, 64.186424 39.7393259, 64.1867799 39.7386443)",,
319993515,residential,False,False,174.797,,,"LINESTRING (64.1807895 39.7387793, 64.1808729 39.7387904, 64.1818108 39.7389228, 64.1827359 39.7390992, 64.1827873 39.739109)",,
373575057,secondary,True,False,153.054,,Istiqlol koʻchasi,"LINESTRING (64.1807895 39.7387793, 64.180648 39.7394498, 64.1805014 39.7401378)",4P48,
373575057,secondary,True,False,208.546,,Istiqlol koʻchasi,"LINESTRING (64.1805014 39.7401378, 64.1801281 39.7419912)",4P48,
353665284,living_street,False,False,128.668,,Varaxsho koʻchasi,"LINESTRING (64.1805014 39.7401378, 64.1805567 39.7401435, 64.1816911 39.7402798, 64.1819848 39.74033)",,
353535552,residential,False,False,122.285,,Abu Rayhon Beruniy koʻchasi,"LINESTRING (64.179701 39.7438217, 64.1811074 39.7440217)",,
318286868,residential,False,True,123.038,,Xalqobod koʻchasi,"LINESTRING (64.1815367 39.7422175, 64.1801281 39.7419912)",,20
353536329,residential,False,False,67.587,,Xalqobod koʻchasi,"LINESTRING (64.1815367 39.7422175, 64.1817019 39.7416231)",,20
353536329,residential,False,True,84.261,,Xalqobod koʻchasi,"LINESTRING (64.1815367 39.7422175, 64.1813593 39.7429629)",,20
318286868,residential,False,False,123.038,,Xalqobod koʻchasi,"LINESTRING (64.1801281 39.7419912, 64.1815367 39.7422175)",,20
373575057,secondary,True,False,206.792,,Istiqlol koʻchasi,"LINESTRING (64.1801281 39.7419912, 64.179701 39.7438217)",4P48,
353535552,residential,False,False,218.016,,Abu Rayhon Beruniy koʻchasi,"LINESTRING (64.1811074 39.7440217, 64.1836149 39.7443779)",,
353535552,residential,False,True,122.285,,Abu Rayhon Beruniy koʻchasi,"LINESTRING (64.1811074 39.7440217, 64.179701 39.7438217)",,
353536329,residential,False,False,119.687,,Xalqobod koʻchasi,"LINESTRING (64.1811074 39.7440217, 64.1813593 39.7429629)",,20
319993628,residential,False,False,231.927,,Doʻstlik koʻchasi,"LINESTRING (64.179913 39.7365478, 64.179055 39.7365301, 64.1789352 39.7365682, 64.1786103 39.7378705)",,
319993628,residential,False,True,170.57099999999997,,Doʻstlik koʻchasi,"LINESTRING (64.179913 39.7365478, 64.1800088 39.7366161, 64.1800669 39.7368199, 64.1798948 39.7380376)",,
319993149,residential,False,False,252.704,,,"LINESTRING (64.182669 39.736665, 64.1856098 39.7368901)",,
319993789,residential,False,True,189.929,,,"LINESTRING (64.182669 39.736665, 64.1825753 39.7371549, 64.1822554 39.7382065, 64.1821912 39.7383299)",,
319992938,residential,False,False,9.387,,Zarafshon koʻchasi,"LINESTRING (64.1855565 39.7368163, 64.1856098 39.7368901)",,
319993356,residential,False,True,143.264,,,"LINESTRING (64.1761536 39.7368191, 64.1764917 39.738081)",,
319992938,residential,False,True,9.387,,Zarafshon koʻchasi,"LINESTRING (64.1856098 39.7368901, 64.1855565 39.7368163)",,
319993149,residential,False,True,252.704,,,"LINESTRING (64.1856098 39.7368901, 64.182669 39.736665)",,
319992938,residential,False,False,168.958,,Zarafshon koʻchasi,"LINESTRING (64.1856098 39.7368901, 64.1859083 39.7373038, 64.1860455 39.7375149, 64.1865168 39.7382397)",,
373575048,secondary,True,False,111.394,2,Mahmud Torobiy koʻchasi,"LINESTRING (64.1786103 39.7378705, 64.1798948 39.7380376)",,
319993628,residential,False,True,231.927,,Doʻstlik koʻchasi,"LINESTRING (64.1786103 39.7378705, 64.1789352 39.7365682, 64.179055 39.7365301, 64.179913 39.7365478)",,
319993628,residential,False,False,170.57099999999997,,Doʻstlik koʻchasi,"LINESTRING (64.1798948 39.7380376, 64.1800669 39.7368199, 64.1800088 39.7366161, 64.179913 39.7365478)",,
