osmid,ref,highway,oneway,reversed,length,maxspeed,geometry,bridge
45171597,4Р255,secondary,False,False,41.525,,"LINESTRING (69.0472666 41.0150565, 69.0470382 41.0147252)",
213777140,4Р255,secondary,False,True,44.226,,"LINESTRING (69.0472666 41.0150565, 69.0474054 41.0154402)",
263321440,4Р22,primary,False,False,32.675,100,"LINESTRING (69.0472666 41.0150565, 69.0468903 41.0151322)",
263321440,4Р22,primary,False,True,43.054,100,"LINESTRING (69.0472666 41.0150565, 69.0477641 41.0149616)",
45171597,4Р255,secondary,False,False,54.844,,"LINESTRING (69.0452258 41.0120966, 69.0451084 41.0116114)",
45171597,4Р255,secondary,False,True,329.478,,"LINESTRING (69.0452258 41.0120966, 69.0470382 41.0147252)",
213784226,,residential,False,True,157.888,,"LINESTRING (69.0452258 41.0120966, 69.0439002 41.0131044)",
263321440,4Р22,primary,False,False,94.085,100,"LINESTRING (69.0512801 41.0142912, 69.0501929 41.0144985)",
213777125,,unclassified,False,False,135.11700000000002,,"LINESTRING (69.0512801 41.0142912, 69.0517919 41.0150284, 69.0517794 41.0154112)",
213777115,,unclassified,False,False,18.773,,"LINESTRING (69.0517794 41.0154112, 69.0515631 41.0154544)",
213777125,,unclassified,False,False,272.633,,"LINESTRING (69.0517794 41.0154112, 69.0518253 41.0178628)",
213777125,,unclassified,False,True,135.11700000000002,,"LINESTRING (69.0517794 41.0154112, 69.0517919 41.0150284, 69.0512801 41.0142912)",
213777115,,unclassified,False,False,258.202,,"LINESTRING (69.0515631 41.0154544, 69.048588 41.0160484)",
213777115,,unclassified,False,True,18.773,,"LINESTRING (69.0515631 41.0154544, 69.0517794 41.0154112)",
213777141,,unclassified,False,False,125.552,,"LINESTRING (69.0515631 41.0154544, 69.0516083 41.016583)",
213777115,,unclassified,False,True,258.202,,"LINESTRING (69.048588 41.0160484, 69.0515631 41.0154544)",
213777107,,unclassified,False,True,229.673,,"LINESTRING (69.0516083 41.016583, 69.0489689 41.017131)",
213777141,,unclassified,False,False,124.566,,"LINESTRING (69.0516083 41.016583, 69.0516659 41.0177024)",
213777141,,unclassified,False,True,125.552,,"LINESTRING (69.0516083 41.016583, 69.0515631 41.0154544)",
213777107,,unclassified,False,False,229.673,,"LINESTRING (69.0489689 41.017131, 69.0516083 41.016583)",
213777094,,unclassified,False,False,211.292,,"LINESTRING (69.0516659 41.0177024, 69.0491859 41.0180332)",
213777141,,unclassified,False,True,124.566,,"LINESTRING (69.0516659 41.0177024, 69.0516083 41.016583)",
213777125,,unclassified,False,True,272.633,,"LINESTRING (69.0518253 41.0178628, 69.0517794 41.0154112)",
213777094,,unclassified,False,True,211.292,,"LINESTRING (69.0491859 41.0180332, 69.0516659 41.0177024)",
213784223,,unclassified,False,True,25.288,,"LINESTRING (69.0449723 41.0099993, 69.044817 41.0101942)",yes
213784229,,residential,False,True,484.27900000000005,,"LINESTRING (69.0449723 41.0099993, 69.0454211 41.0101657, 69.0464797 41.0107211, 69.0473975 41.0110605, 69.0483879 41.0113245, 69.0498418 41.0115268, 69.0500917 41.0115885, 69.0502599 41.011596)",
213784223,,unclassified,False,False,25.288,,"LINESTRING (69.044817 41.0101942, 69.0449723 41.0099993)",yes
45171597,4Р255,secondary,False,True,153.26999999999998,,"LINESTRING (69.044817 41.0101942, 69.0449651 41.0103039, 69.0450891 41.0108499, 69.0451061 41.0115176)",
213784219,,residential,False,False,214.572,,"LINESTRING (69.0425909 41.0114468, 69.0439002 41.0131044)",
1090773171,,unclassified,False,False,213.712,,"LINESTRING (69.0425909 41.0114468, 69.0427155 41.0113839, 69.0451061 41.0115176)",
45171597,4Р255,secondary,False,False,10.432,,"LINESTRING (69.0451084 41.0116114, 69.0451061 41.0115176)",
45171597,4Р255,secondary,False,True,54.844,,"LINESTRING (69.0451084 41.0116114, 69.0452258 41.0120966)",
213784244,,unclassified,False,False,155.497,,"LINESTRING (69.0451084 41.0116114, 69.0469439 41.0118045)",
213784221,,residential,False,False,368.334,,"LINESTRING (69.0469439 41.0118045, 69.0490246 41.0147213)",
213784244,,unclassified,False,True,155.497,,"LINESTRING (69.0469439 41.0118045, 69.0451084 41.0116114)",
