osmid,lanes,ref,name,highway,oneway,reversed,length,geometry,bridge,junction
31741892,2,4R-160,Gurlan ko'shesi,primary,False,True,103.789,"LINESTRING (60.0610292 42.1155, 60.0615614 42.1153322, 60.0621415 42.115069)",,
113395223,2,4R-160,,primary,False,False,47.783,"LINESTRING (60.0610292 42.1155, 60.0609888 42.1155672, 60.0610001 42.1157064, 60.0610485 42.1159201)",,
"[199985773, 435790294, 435790295]",,4R-181,Buyuk Turon ko'shesi,tertiary,False,True,205.94600000000003,"LINESTRING (60.0610292 42.1155, 60.0608802 42.1153959, 60.060605 42.1151999, 60.0604155 42.1150631, 60.0603948 42.1150531, 60.0603195 42.1150169, 60.0601414 42.115027, 60.0597084 42.1152282, 60.0594602 42.1152943, 60.0592398 42.1153258, 60.0590598 42.1153051, 60.058898 42.1152621)",yes,
113395245,2,4R-160,,primary,True,False,80.69200000000001,"LINESTRING (60.066954 42.1128206, 60.0668081 42.1129176, 60.0662316 42.1133099)",,
113395223,2,4R-160,,primary,False,True,15.326,"LINESTRING (60.0616937 42.1179014, 60.0616416 42.1177691)",,
113395223,2,4R-160,,primary,False,False,175.948,"LINESTRING (60.0616937 42.1179014, 60.0616501 42.1180417, 60.0615373 42.1182127, 60.0613228 42.1185124, 60.0611928 42.1186528, 60.0607669 42.1191126, 60.0606298 42.1192617)",,
442704723,,,Abdulla Qadriy ko'shesi,residential,False,True,62.088,"LINESTRING (60.0616937 42.1179014, 60.0617785 42.1179562, 60.0618501 42.1180399, 60.0621216 42.1183572)",,
"[435790296, 435790293]",,,Samarqand ko'shesi,unclassified,False,False,43.861999999999995,"LINESTRING (60.0625001 42.1120334, 60.0628621 42.1121875, 60.0629593 42.1122322)",yes,
113395231,2,,,primary,True,False,19.066,"LINESTRING (60.0658531 42.1131924, 60.0658873 42.1131579, 60.0659331 42.1131318, 60.0659869 42.1131161, 60.0660445 42.1131122)",,roundabout
435790296,,,Samarqand ko'shesi,unclassified,False,True,248.01999999999998,"LINESTRING (60.0658531 42.1131924, 60.0656337 42.1131337, 60.0653685 42.1130646, 60.0643371 42.1127806, 60.0634315 42.1124496, 60.0631063 42.1122999)",,
113395234,,4R-160,,primary,True,False,46.013,"LINESTRING (60.0606298 42.1192617, 60.0603739 42.1196294)",,
113395223,2,4R-160,,primary,False,True,175.94799999999998,"LINESTRING (60.0606298 42.1192617, 60.0607669 42.1191126, 60.0611928 42.1186528, 60.0613228 42.1185124, 60.0615373 42.1182127, 60.0616501 42.1180417, 60.0616937 42.1179014)",,
113395247,,4R-160,,primary,True,False,44.411,"LINESTRING (60.0601894 42.1194915, 60.0606298 42.1192617)",,
113395237,,,,primary,True,False,22.583,"LINESTRING (60.0601894 42.1194915, 60.0602688 42.1195218, 60.0603373 42.119564, 60.0603739 42.1196294)",,roundabout
113395235,,4R-181,,primary,True,False,63.613,"LINESTRING (60.060319 42.1198397, 60.0602747 42.1200505, 60.0602417 42.1204084)",,
113395237,,,,primary,True,False,29.588,"LINESTRING (60.060319 42.1198397, 60.0602569 42.1198741, 60.0601712 42.1198919, 60.0600727 42.1198856, 60.0599942 42.1198481)",,roundabout
113395237,,,,primary,True,False,25.286,"LINESTRING (60.0599942 42.1198481, 60.0599 42.1196317)",,roundabout
113395250,,4R-181,,secondary,True,False,45.651,"LINESTRING (60.0597335 42.1192587, 60.0601894 42.1194915)",,
257462562,,4R-181,Berdaq ko'shesi,secondary,False,True,8.833,"LINESTRING (60.0597335 42.1192587, 60.0596649 42.1191977)",,
113395231,2,,,primary,True,False,11.751999999999999,"LINESTRING (60.0662121 42.1133427, 60.0661658 42.1133829, 60.0661039 42.113409)",,roundabout
671375860,,4K21A,Jumurtaw ko'shesi,tertiary,False,False,46.647999999999996,"LINESTRING (60.0662121 42.1133427, 60.0664431 42.1134083, 60.0667498 42.1134711)",,
113395222,,4R-181,,secondary,True,False,43.69,"LINESTRING (60.0599 42.1196317, 60.0597335 42.1192587)",,
113395237,,,,primary,True,False,30.401,"LINESTRING (60.0599 42.1196317, 60.0599707 42.1195495, 60.0600671 42.1195051, 60.0601894 42.1194915)",,roundabout
113395240,,4R-181,,primary,True,False,65.562,"LINESTRING (60.0602417 42.1204084, 60.0599942 42.1198481)",,
113395231,2,,,primary,True,False,5.495,"LINESTRING (60.0658313 42.1132391, 60.0658531 42.1131924)",,roundabout
