osmid,oneway,ref,highway,reversed,length,geometry,name,bridge
179666478,True,4P220,secondary,False,117.005,"LINESTRING (64.5007732 40.1148824, 64.5004176 40.1158989)",,
847402954,False,,living_street,False,241.13899999999998,"LINESTRING (64.5007732 40.1148824, 64.5015572 40.1150861, 64.5032014 40.1155452, 64.5033293 40.1155887, 64.5034094 40.1156543)",,
847402956,False,,living_street,False,75.822,"LINESTRING (64.5004176 40.1158989, 64.5013091 40.1159112)",,
179666478,True,4P220,secondary,False,210.74099999999999,"LINESTRING (64.5004176 40.1158989, 64.5004117 40.1159956, 64.5004129 40.1160946, 64.5004246 40.1161895, 64.5004414 40.1162873, 64.500471 40.1163791, 64.5005027 40.1164652, 64.5005864 40.1166393, 64.5011738 40.1176827)",,
179666478,True,4P220,secondary,False,254.522,"LINESTRING (64.5011738 40.1176827, 64.5023409 40.1197905)",,
847861898,False,,secondary,False,41.922,"LINESTRING (64.5011738 40.1176827, 64.5016514 40.1175892)",,
847861898,False,,secondary,True,8.37,"LINESTRING (64.5011738 40.1176827, 64.5010781 40.1177003)",,
847907642,False,4P48,secondary,False,66.323,"LINESTRING (64.5030015 40.1210014, 64.5037531 40.1208419)",G'ijduvon - Shofirkon yo'li,
847907642,False,4P48,secondary,True,7.177,"LINESTRING (64.5030015 40.1210014, 64.5029204 40.1210193)",G'ijduvon - Shofirkon yo'li,
1268457063,True,,secondary,False,41.279,"LINESTRING (64.5030015 40.1210014, 64.5031426 40.1213566)",,
847861898,False,,secondary,True,67.696,"LINESTRING (64.5045597 40.1170194, 64.5037885 40.1171705)",,
398106014,False,,unclassified,True,94.601,"LINESTRING (64.5045597 40.1170194, 64.5045063 40.1167512, 64.5045039 40.11671, 64.5045197 40.1166383, 64.5046659 40.1161864)",,
847485996,False,,living_street,True,98.47099999999999,"LINESTRING (64.5045597 40.1170194, 64.5048308 40.1176516, 64.5049542 40.1178506)",,
847861898,False,,secondary,False,78.054,"LINESTRING (64.5016514 40.1175892, 64.5025406 40.117415)",,
847861898,False,,secondary,True,41.922,"LINESTRING (64.5016514 40.1175892, 64.5011738 40.1176827)",,
847402957,False,,living_street,False,66.595,"LINESTRING (64.5016514 40.1175892, 64.5015357 40.1173675, 64.5013708 40.1170301)",,
847861898,False,,secondary,False,8.37,"LINESTRING (64.5010781 40.1177003, 64.5011738 40.1176827)",,
847861898,False,,secondary,True,110.347,"LINESTRING (64.5010781 40.1177003, 64.500176 40.1178671, 64.499816 40.1179311)",,
847390608,False,,living_street,False,229.843,"LINESTRING (64.499816 40.1179311, 64.4996676 40.1174609, 64.4994208 40.1167614, 64.4993699 40.1165276, 64.4993377 40.1162589, 64.4993001 40.1159081)",,
847861898,False,,secondary,False,110.347,"LINESTRING (64.499816 40.1179311, 64.500176 40.1178671, 64.5010781 40.1177003)",,
847861898,False,,secondary,True,354.18,"LINESTRING (64.499816 40.1179311, 64.498764 40.1181458, 64.4987221 40.1181626, 64.4986877 40.1181877, 64.4986668 40.1182181, 64.4986523 40.118255, 64.4986485 40.1182921, 64.4986521 40.1183301, 64.4986704 40.1184074, 64.499379 40.1203879)",,
398106009,False,4P48,secondary,True,8.749,"LINESTRING (64.5023409 40.1197905, 64.502242 40.1198122)",,
1157584688,True,4P220;4P48,secondary,False,145.893,"LINESTRING (64.5023409 40.1197905, 64.5030015 40.1210014)",,
