osmid,name,highway,oneway,reversed,length,geometry
180773991,улица Алшин Каражигит Би,residential,False,True,78.045,"LINESTRING (59.6108392 47.8240328, 59.6101537 47.8245627)"
180773991,улица Алшин Каражигит Би,residential,False,False,97.161,"LINESTRING (59.6093003 47.8252224, 59.6101537 47.8245627)"
180566398,улица Айтеке Би,tertiary,False,True,147.719,"LINESTRING (59.6093003 47.8252224, 59.6096466 47.8254518, 59.6101124 47.8257604, 59.6107087 47.8261555)"
180566404,улица Идриса Ургенишбаева,residential,False,False,137.861,"LINESTRING (59.6099434 47.8292754, 59.6111894 47.8283603)"
180773992,Қарағұл Қонақбайұлы көшесі,residential,False,True,177.44099999999997,"LINESTRING (59.6099434 47.8292754, 59.6105725 47.8296632, 59.6109408 47.8298705, 59.611333 47.8300335, 59.611858 47.8302006)"
180566404,улица Идриса Ургенишбаева,residential,False,True,137.861,"LINESTRING (59.6111894 47.8283603, 59.6099434 47.8292754)"
252710274,улица Есет Батыра,tertiary,False,True,192.463,"LINESTRING (59.6111894 47.8283603, 59.6092758 47.8272004)"
319699002,улица Идирис Ургенишбаев,tertiary,False,False,153.623,"LINESTRING (59.6111894 47.8283603, 59.6125764 47.8273397)"
252710274,улица Есет Батыра,tertiary,False,False,535.448,"LINESTRING (59.6111894 47.8283603, 59.6152952 47.8307181, 59.6166402 47.8314904)"
180773990,улица Толеу Басенов,residential,False,True,188.655,"LINESTRING (59.6155954 47.8251735, 59.6138552 47.8239433)"
319699002,улица Идирис Ургенишбаев,tertiary,False,False,115.386,"LINESTRING (59.6155954 47.8251735, 59.6166612 47.824422)"
319699002,улица Идирис Ургенишбаев,tertiary,False,True,94.749,"LINESTRING (59.6155954 47.8251735, 59.6147094 47.8257836)"
180773995,улица Уран Бактыбай,residential,False,True,190.097,"LINESTRING (59.6147094 47.8257836, 59.6128974 47.8245825)"
319699002,улица Идирис Ургенишбаев,tertiary,False,False,94.749,"LINESTRING (59.6147094 47.8257836, 59.6155954 47.8251735)"
319699002,улица Идирис Ургенишбаев,tertiary,False,True,69.094,"LINESTRING (59.6147094 47.8257836, 59.614097 47.8262495)"
180773991,улица Алшин Каражигит Би,residential,False,False,91.716,"LINESTRING (59.6114795 47.823544, 59.612309 47.8229356)"
180773991,улица Алшин Каражигит Би,residential,False,True,72.383,"LINESTRING (59.6114795 47.823544, 59.6108392 47.8240328)"
180773995,улица Уран Бактыбай,residential,False,False,156.654,"LINESTRING (59.6114795 47.823544, 59.6128974 47.8245825)"
180566399,улица Мырзагул Шиманулы,tertiary,False,False,152.08,"LINESTRING (59.6122603 47.8250127, 59.6108392 47.8240328)"
180566399,улица Мырзагул Шиманулы,tertiary,False,True,194.204,"LINESTRING (59.6122603 47.8250127, 59.614097 47.8262495)"
180773999,улица Алия Молдагулова,residential,False,False,67.458,"LINESTRING (59.6122603 47.8250127, 59.6128974 47.8245825)"
180773999,улица Алия Молдагулова,residential,False,True,171.946,"LINESTRING (59.6122603 47.8250127, 59.6115444 47.82554, 59.6107087 47.8261555)"
319946976,,residential,False,True,70.644,"LINESTRING (59.611358 47.83074, 59.611858 47.8302006)"
123812219,улица Жагалау,residential,False,False,98.471,"LINESTRING (59.611358 47.83074, 59.6104626 47.8305287, 59.610098 47.8304863)"
180773991,улица Алшин Каражигит Би,residential,False,False,78.045,"LINESTRING (59.6101537 47.8245627, 59.6108392 47.8240328)"
180773991,улица Алшин Каражигит Би,residential,False,True,97.161,"LINESTRING (59.6101537 47.8245627, 59.6093003 47.8252224)"
180773999,улица Алия Молдагулова,residential,False,False,64.559,"LINESTRING (59.6147485 47.8233473, 59.6153618 47.822938)"
180773999,улица Алия Молдагулова,residential,False,True,94.02,"LINESTRING (59.6147485 47.8233473, 59.6138552 47.8239433)"
319694574,улица Бегежан Сулейменов,residential,False,False,195.214,"LINESTRING (59.6147485 47.8233473, 59.6156707 47.8240482, 59.6157778 47.8241136, 59.6158786 47.8241247, 59.6160583 47.8241031, 59.6161382 47.8241011, 59.6162286 47.8241328, 59.6166612 47.824422)"
319697648,улица Титова,residential,False,False,177.817,"LINESTRING (59.6217738 47.8301665, 59.620329 47.8288951)"
602674270,улица Желтоксан,residential,False,False,51.816,"LINESTRING (59.6217738 47.8301665, 59.622324 47.8298824)"
602674270,улица Желтоксан,residential,False,True,102.13,"LINESTRING (59.6217738 47.8301665, 59.6210615 47.8305206, 59.6206743 47.8307131)"
319697648,улица Титова,residential,False,True,177.817,"LINESTRING (59.620329 47.8288951, 59.6217738 47.8301665)"
319697649,улица Электр,residential,False,False,139.36,"LINESTRING (59.622324 47.8298824, 59.6211975 47.828883)"
602674270,улица Желтоксан,residential,False,True,51.816,"LINESTRING (59.622324 47.8298824, 59.6217738 47.8301665)"
180566399,улица Мырзагул Шиманулы,tertiary,False,False,183.535,"LINESTRING (59.6158119 47.8274322, 59.614097 47.8262495)"
