osmid,highway,oneway,reversed,length,geometry,ref,name,junction,tunnel,bridge
479174410,unclassified,False,True,8.107,"LINESTRING (13.8380031 -11.2009442, 13.837935 -11.2009734)",,,,,
"[479174409, 173172546]",unclassified,False,False,18.403,"LINESTRING (13.8380031 -11.2009442, 13.8380726 -11.2009044, 13.8381433 -11.2008526)",,,,,
479174412,unclassified,False,True,27.293,"LINESTRING (13.8392746 -11.1988508, 13.8394534 -11.1990225)",,,,,
173180712,unclassified,False,False,129.219,"LINESTRING (13.8392746 -11.1988508, 13.8390693 -11.1982927, 13.8390432 -11.1982256, 13.8390257 -11.1981644, 13.8390291 -11.1981098, 13.8390411 -11.198069, 13.8391864 -11.1977645)",,,,,
479174411,unclassified,False,False,108.16399999999999,"LINESTRING (13.8392746 -11.1988508, 13.8393831 -11.1992254, 13.8395777 -11.1997766)",,,,,
203339183,primary,False,True,100.139,"LINESTRING (13.8428683 -11.2030619, 13.8434885 -11.2023979)",EN100,Rua direita do Sumbe,,,
173172528,primary,True,False,18.591,"LINESTRING (13.8428683 -11.2030619, 13.8428231 -11.2030281, 13.8427666 -11.2030226, 13.8427155 -11.203047)",,,roundabout,,
173180717,residential,False,True,131.548,"LINESTRING (13.8391864 -11.1977645, 13.8402366 -11.1983461)",,,,,
173180712,unclassified,False,True,129.219,"LINESTRING (13.8391864 -11.1977645, 13.8390411 -11.198069, 13.8390291 -11.1981098, 13.8390257 -11.1981644, 13.8390432 -11.1982256, 13.8390693 -11.1982927, 13.8392746 -11.1988508)",,,,,
173172540,residential,False,False,86.771,"LINESTRING (13.8381433 -11.2008526, 13.837979 -11.2006291, 13.837932 -11.2005201, 13.8378999 -11.2004121, 13.8378597 -11.200141)",,,,,
173172546,unclassified,False,False,83.803,"LINESTRING (13.8381433 -11.2008526, 13.8384485 -11.2006183, 13.8387537 -11.200395)",,,,,
"[479174409, 173172546]",unclassified,False,True,18.403,"LINESTRING (13.8381433 -11.2008526, 13.8380726 -11.2009044, 13.8380031 -11.2009442)",,,,,
173172543,unclassified,False,False,226.57,"LINESTRING (13.8352363 -11.200653, 13.8352726 -11.2007621, 13.8353343 -11.2008593, 13.8354214 -11.2009385, 13.8355456 -11.2009734, 13.8368226 -11.2009834, 13.8371408 -11.2009956)",,,,,
173177262,residential,False,True,128.582,"LINESTRING (13.8352363 -11.200653, 13.8351908 -11.2011067, 13.8351734 -11.2014014, 13.8351667 -11.201625, 13.8351613 -11.2018065)",,,,,
173172527,residential,False,True,175.306,"LINESTRING (13.8426913 -11.2031675, 13.8412917 -11.2039425)",,Comandante Kassange,,,
173172528,primary,True,False,13.390999999999998,"LINESTRING (13.8426913 -11.2031675, 13.8427197 -11.2032028, 13.8427536 -11.2032206, 13.8427918 -11.2032251)",,,roundabout,,
79585756,unclassified,False,False,154.05,"LINESTRING (13.8427155 -11.203047, 13.8418482 -11.2019536)",,,,,
173172528,primary,True,False,14.542,"LINESTRING (13.8427155 -11.203047, 13.8426885 -11.2030846, 13.8426811 -11.2031301, 13.8426913 -11.2031675)",,,roundabout,,
173172548,unclassified,False,False,60.206,"LINESTRING (13.8419865 -11.2056427, 13.8424953 -11.2054328)",,,,,
173172548,unclassified,False,True,202.722,"LINESTRING (13.8419865 -11.2056427, 13.8402647 -11.2063291)",,,,,
173172552,unclassified,False,False,203.7,"LINESTRING (13.8419865 -11.2056427, 13.8417424 -11.205011, 13.8417115 -11.2049377, 13.8412917 -11.2039425)",,,,,
1061102738,primary,True,False,214.365,"LINESTRING (13.8427918 -11.2032251, 13.8435379 -11.2050086)",EN100,Avenida dos Aliados,,,
173172528,primary,True,False,7.6240000000000006,"LINESTRING (13.8427918 -11.2032251, 13.8428258 -11.2032171, 13.8428552 -11.2031986)",,,roundabout,,
173172532,residential,False,True,91.178,"LINESTRING (13.8374033 -11.1979266, 13.8375189 -11.1981441, 13.8377974 -11.1986497)",,,,,
173172529,residential,False,True,44.458,"LINESTRING (13.8388189 -11.1992565, 13.838611 -11.1989126)",,,,,
"[173172529, 173172525]",residential,False,True,128.874,"LINESTRING (13.8388189 -11.1992565, 13.8386223 -11.1993969, 13.8386135 -11.19941, 13.8386143 -11.1994265, 13.8387314 -11.1996555, 13.8387541 -11.1996776, 13.8387869 -11.1996792, 13.83897 -11.1995689, 13.8389815 -11.1995517, 13.8389792 -11.1995315, 13.8388189 -11.1992565)",,,,,
"[173172529, 173172525]",residential,False,False,128.874,"LINESTRING (13.8388189 -11.1992565, 13.8389792 -11.1995315, 13.8389815 -11.1995517, 13.83897 -11.1995689, 13.8387869 -11.1996792, 13.8387541 -11.1996776, 13.8387314 -11.1996555, 13.8386143 -11.1994265, 13.8386135 -11.19941, 13.8386223 -11.1993969, 13.8388189 -11.1992565)",,,,,
312610523,residential,True,False,106.439,"LINESTRING (13.8399221 -11.2030671, 13.8390203 -11.2034328)",,Avenida Joaquim Kapango,,,
605499417,residential,False,True,6.562,"LINESTRING (13.8399221 -11.2030671, 13.8399459 -11.2031213)",,,,,
606227026,residential,False,False,63.929,"LINESTRING (13.8399221 -11.2030671, 13.8396693 -11.2025484)",,,,,
606227027,residential,False,False,72.352,"LINESTRING (13.8390256 -11.2009885, 13.8387537 -11.200395)",,,,,
173172531,residential,True,False,192.96499999999997,"LINESTRING (13.8390256 -11.2009885, 13.8389998 -11.2011051, 13.8395486 -11.2024862, 13.8396693 -11.2025484)",,,,,
173172550,residential,False,True,80.654,"LINESTRING (13.837935 -11.2009734, 13.8372755 -11.2013014)",,,,,
173177251,unclassified,True,False,126.326,"LINESTRING (13.837935 -11.2009734, 13.838353 -11.2020329)",,,,,
479174410,unclassified,False,False,8.107,"LINESTRING (13.837935 -11.2009734, 13.8380031 -11.2009442)",,,,,
173172543,unclassified,False,True,86.664,"LINESTRING (13.837935 -11.2009734, 13.8378303 -11.2009763, 13.8371408 -11.2009956)",,,,,
173172548,unclassified,False,False,9.16,"LINESTRING (13.8435379 -11.2050086, 13.8436143 -11.2049744)",,,,,
173172548,unclassified,False,True,62.605,"LINESTRING (13.8435379 -11.2050086, 13.8430079 -11.2052247)",,,,,
1061102738,primary,True,False,118.165,"LINESTRING (13.8435379 -11.2050086, 13.8436889 -11.2053721, 13.843945 -11.2059934)",EN100,Avenida dos Aliados,,,
173172535,unclassified,True,False,234.03,"LINESTRING (13.8402647 -11.2063291, 13.8394035 -11.2044014)",,,,,
173172548,unclassified,False,False,202.722,"LINESTRING (13.8402647 -11.2063291, 13.8419865 -11.2056427)",,,,,
479174420,unclassified,False,True,12.478,"LINESTRING (13.8402647 -11.2063291, 13.8401604 -11.2063752)",,,,,
173172532,residential,False,False,6.239,"LINESTRING (13.8378258 -11.1986984, 13.8377974 -11.1986497)",,,,,
173172532,residential,False,True,67.486,"LINESTRING (13.8378258 -11.1986984, 13.8381219 -11.1992313)",,,,,
173172551,residential,False,False,66.418,"LINESTRING (13.8378258 -11.1986984, 13.8382411 -11.1984934, 13.8383683 -11.1984272)",,,,,
606227026,residential,False,True,63.929,"LINESTRING (13.8396693 -11.2025484, 13.8399221 -11.2030671)",,,,,
173172549,residential,True,False,188.792,"LINESTRING (13.8396693 -11.2025484, 13.8396715 -11.2024314, 13.839102 -11.2010785, 13.8390256 -11.2009885)",,,,,
173172532,residential,False,False,146.605,"LINESTRING (13.8387537 -11.200395, 13.8381219 -11.1992313)",,,,,
173172546,unclassified,False,False,113.167,"LINESTRING (13.8387537 -11.200395, 13.8395777 -11.1997766)",,,,,
606227027,residential,False,True,72.352,"LINESTRING (13.8387537 -11.200395, 13.8390256 -11.2009885)",,,,,
173172546,unclassified,False,True,83.803,"LINESTRING (13.8387537 -11.200395, 13.8384485 -11.2006183, 13.8381433 -11.2008526)",,,,,
173172540,residential,False,False,19.915,"LINESTRING (13.8378597 -11.200141, 13.8378461 -11.1999624)",,,,,
173172540,residential,False,True,86.771,"LINESTRING (13.8378597 -11.200141, 13.8378999 -11.2004121, 13.837932 -11.2005201, 13.837979 -11.2006291, 13.8381433 -11.2008526)",,,,,
605523586,residential,False,False,103.33800000000001,"LINESTRING (13.8378597 -11.200141, 13.8371649 -11.2003042, 13.83711 -11.200295, 13.8370416 -11.2002555, 13.8370027 -11.2001674)",,,,,
173172550,residential,False,False,33.405,"LINESTRING (13.8360773 -11.2031787, 13.8361109 -11.2028801)",,,,,
"[173177262, 173177255]",residential,False,"[False, True]",259.988,"LINESTRING (13.8360773 -11.2031787, 13.8350566 -11.2030644, 13.8349787 -11.2030346, 13.8349628 -11.2029591, 13.8349601 -11.2028565, 13.835062 -11.2023777, 13.8350861 -11.2022303, 13.8351157 -11.2020723, 13.8351412 -11.2019368, 13.8351613 -11.2018065)",,,,,
