osmid,oneway,ref,highway,reversed,length,geometry,maxspeed,name
602380346,True,EN 105;EN 110,primary,False,103.154,"LINESTRING (14.9731592 -16.7411506, 14.97343 -16.7420413)",,
183688222,False,,residential,True,184.85399999999998,"LINESTRING (14.9731592 -16.7411506, 14.9724319 -16.7412808, 14.971443 -16.7413954)",,
30087210,False,EN 105,primary,False,42.226,"LINESTRING (14.9749361 -16.7459241, 14.9751947 -16.746212)",60,
30087210,False,EN 105,primary,True,33.318,"LINESTRING (14.9749361 -16.7459241, 14.9747839 -16.7456623)",60,
183691945,False,,residential,True,124.512,"LINESTRING (14.9749361 -16.7459241, 14.9750007 -16.7463132, 14.9750634 -16.7465223, 14.9751305 -16.7467236, 14.9750926 -16.7470183)",,
30087210,False,EN 105,primary,False,125.101,"LINESTRING (14.9772904 -16.7468443, 14.9778092 -16.7467546, 14.9784426 -16.746625)",60,
30087210,False,EN 105,primary,True,242.165,"LINESTRING (14.9772904 -16.7468443, 14.9767296 -16.7468702, 14.9764855 -16.7468381, 14.9761489 -16.7467623, 14.9757801 -16.746612, 14.9755239 -16.7464554, 14.9751947 -16.746212)",60,
544302420,False,,residential,True,107.577,"LINESTRING (14.9772904 -16.7468443, 14.9773264 -16.7463154, 14.9773827 -16.7458813)",,
602380340,True,EN 110,secondary,False,37.516,"LINESTRING (14.9745153 -16.7450626, 14.9743468 -16.7453589)",,
602380346,True,EN 105;EN 110,primary,False,22.776,"LINESTRING (14.9745153 -16.7450626, 14.9745939 -16.7452531)",,
30087210,False,EN 105,primary,False,24.27,"LINESTRING (14.9784426 -16.746625, 14.9786655 -16.7465794)",60,
30087210,False,EN 105,primary,True,125.101,"LINESTRING (14.9784426 -16.746625, 14.9778092 -16.7467546, 14.9772904 -16.7468443)",60,
827914551,False,,tertiary,True,163.36100000000002,"LINESTRING (14.9784426 -16.746625, 14.9784855 -16.7471896, 14.9785472 -16.7479493, 14.978556 -16.7480901)",,
602380346,True,EN 105;EN 110,primary,False,87.474,"LINESTRING (14.9729524 -16.7403904, 14.9730073 -16.7406628, 14.9730883 -16.7409486, 14.9731592 -16.7411506)",,
602380347,False,EN 105;EN 110,primary,True,108.809,"LINESTRING (14.9729524 -16.7403904, 14.9728533 -16.740112, 14.9727304 -16.7398762, 14.9726164 -16.7396707, 14.9725118 -16.7395114)",,
183688231,False,,residential,False,126.902,"LINESTRING (14.971443 -16.7413954, 14.9718592 -16.7424648)",,
183688231,False,,residential,True,65.666,"LINESTRING (14.971443 -16.7413954, 14.9712507 -16.7408343)",,
183688222,False,,residential,False,184.85399999999998,"LINESTRING (14.971443 -16.7413954, 14.9724319 -16.7412808, 14.9731592 -16.7411506)",,
602380347,False,EN 105;EN 110,primary,False,108.809,"LINESTRING (14.9725118 -16.7395114, 14.9726164 -16.7396707, 14.9727304 -16.7398762, 14.9728533 -16.740112, 14.9729524 -16.7403904)",,
608817545,False,,residential,True,90.723,"LINESTRING (14.9725118 -16.7395114, 14.9720654 -16.7397623, 14.9717823 -16.7399327)",,
183688224,False,,residential,False,175.773,"LINESTRING (14.9723811 -16.7438878, 14.9739435 -16.7433776)",,
183688231,False,,residential,False,54.863,"LINESTRING (14.9723811 -16.7438878, 14.9725298 -16.7443602)",,
183688231,False,,residential,True,49.327,"LINESTRING (14.9723811 -16.7438878, 14.9722205 -16.7434717)",,
183688224,False,,residential,True,175.773,"LINESTRING (14.9739435 -16.7433776, 14.9723811 -16.7438878)",,
602380346,True,EN 105;EN 110,primary,False,59.54,"LINESTRING (14.9739435 -16.7433776, 14.9741425 -16.743878)",,
323108777,False,,residential,True,115.547,"LINESTRING (14.9717823 -16.7399327, 14.971573 -16.7402268, 14.9714189 -16.7404631, 14.9712507 -16.7408343)",,
608817545,False,,residential,False,90.723,"LINESTRING (14.9717823 -16.7399327, 14.9720654 -16.7397623, 14.9725118 -16.7395114)",,
30087403,False,EN 110,secondary,False,42.23,"LINESTRING (14.9718804 -16.747639, 14.9721443 -16.7473555)",,
183688229,False,,residential,True,173.764,"LINESTRING (14.97343 -16.7420413, 14.9718592 -16.7424648)",,
602380344,False,,residential,True,10.976,"LINESTRING (14.97343 -16.7420413, 14.9735284 -16.7420119)",,
602380346,True,EN 105;EN 110,primary,False,110.619,"LINESTRING (14.97343 -16.7420413, 14.9737848 -16.7429763)",,
30087403,False,EN 110,secondary,False,33.057,"LINESTRING (14.9732495 -16.7463006, 14.9734832 -16.7461049)",,
30087403,False,EN 110,secondary,True,166.264,"LINESTRING (14.9732495 -16.7463006, 14.9728712 -16.7466287, 14.9727433 -16.7467533, 14.9724226 -16.7470659, 14.972202 -16.747294, 14.9721443 -16.7473555)",,
1188534909,False,,residential,True,158.394,"LINESTRING (14.9732495 -16.7463006, 14.9733488 -16.7464736, 14.9734144 -16.7469688, 14.9734077 -16.7471414, 14.9733757 -16.7474713, 14.9733593 -16.7476946)",,
183688233,False,,residential,False,179.897,"LINESTRING (14.9741425 -16.743878, 14.9725298 -16.7443602)",,Estrada do aeroporto
602380346,True,EN 105;EN 110,primary,False,137.573,"LINESTRING (14.9741425 -16.743878, 14.9745153 -16.7450626)",,
1189600415,False,,residential,False,7.375,"LINESTRING (14.9741425 -16.743878, 14.9742083 -16.7438573)",,
602390717,True,,residential,False,42.311,"LINESTRING (14.9749225 -16.7451929, 14.9745851 -16.7449919)",,
323108784,False,,residential,False,78.079,"LINESTRING (14.9749225 -16.7451929, 14.9750419 -16.7452553, 14.9756165 -16.7454113)",,
544180524,False,,residential,True,23.21,"LINESTRING (14.9788544 -16.7399819, 14.9786601 -16.7400765)",,
1188736317,False,,residential,False,66.851,"LINESTRING (14.9788544 -16.7399819, 14.9794763 -16.7400642)",,
