osmid,lanes,name,highway,maxspeed,oneway,reversed,length,ref,bridge,geometry
260320563,2,Morcellement Pousson Road,tertiary,40,False,True,38.548,,,"LINESTRING (57.4755639 -20.3333984, 57.4759224 -20.3334831)"
"[1005835112, 1005835113, 500207073]",2,Caldwell – Henrietta Road,secondary,,False,True,160.465,B66,yes,"LINESTRING (57.4755639 -20.3333984, 57.4755263 -20.3334543, 57.4754373 -20.3336685, 57.4753855 -20.3337898, 57.4749598 -20.3347246)"
1005835140,2,Caldwell – Henrietta Road,secondary,80,False,False,80.119,B66,,"LINESTRING (57.4755639 -20.3333984, 57.4755523 -20.3333422, 57.4754932 -20.3332416, 57.4753465 -20.3330732, 57.4752522 -20.3329573, 57.4752103 -20.3328885, 57.4751683 -20.3327901)"
1005835140,2,Caldwell – Henrietta Road,secondary,80,False,True,51.637,B66,,"LINESTRING (57.4749745 -20.3320901, 57.4750921 -20.3325412)"
961825412,,,residential,,False,False,195.822,,,"LINESTRING (57.4749745 -20.3320901, 57.475571 -20.3319545, 57.4756354 -20.3319482, 57.4756984 -20.331974, 57.4758037 -20.3320633, 57.4758426 -20.3321029, 57.4758795 -20.3321155, 57.4759586 -20.3321193, 57.476312 -20.332052, 57.4763428 -20.3320532, 57.4763784 -20.3320677, 57.4765225 -20.3322042, 57.4765782 -20.3322419, 57.4766855 -20.3322607)"
1005835140,2,Caldwell – Henrietta Road,secondary,80,False,False,198.071,B66,,"LINESTRING (57.4749745 -20.3320901, 57.4749631 -20.3319927, 57.4749589 -20.3319043, 57.4749757 -20.3318257, 57.4749924 -20.3317412, 57.4750364 -20.331643, 57.4757795 -20.3305193)"
500207073,2,Caldwell – Henrietta Road,secondary,,False,False,7.788,B66,,"LINESTRING (57.4747327 -20.3352164, 57.4747583 -20.3351506)"
223302103,,Riberry Road,residential,40,False,True,57.632,,,"LINESTRING (57.4818928 -20.3364546, 57.4824304 -20.3365751)"
"[223302100, 503322781]",,"['Juneberry 1 Road', 'Crabapple Road']",residential,40,False,False,298.94300000000004,,,"LINESTRING (57.4818928 -20.3364546, 57.4819583 -20.3361728, 57.4818528 -20.3355052, 57.4818242 -20.335451, 57.4817723 -20.3354348, 57.4815792 -20.3354926, 57.4815604 -20.3355228, 57.4812841 -20.3367224, 57.4812336 -20.3368764)"
223302100,,Crabapple Road,residential,40,False,True,163.54,,,"LINESTRING (57.4818928 -20.3364546, 57.4817518 -20.3370606, 57.4817321 -20.3378391, 57.4817453 -20.3379098)"
223302097,,,residential,40,False,False,136.478,,,"LINESTRING (57.4811634 -20.3373891, 57.4798545 -20.3373763)"
503322781,,Juneberry 1 Road,residential,40,False,False,57.017,,,"LINESTRING (57.4811634 -20.3373891, 57.481183 -20.3378569, 57.4811981 -20.3378992)"
503322781,,Juneberry 1 Road,residential,40,False,True,57.587999999999994,,,"LINESTRING (57.4811634 -20.3373891, 57.4811739 -20.3371927, 57.4811928 -20.3370788, 57.4812336 -20.3368764)"
223302103,,Riberry Road,residential,40,False,False,57.632,,,"LINESTRING (57.4824304 -20.3365751, 57.4818928 -20.3364546)"
223302098,,Honeyberry Road,residential,40,False,True,151.13099999999997,,,"LINESTRING (57.4824304 -20.3365751, 57.4823007 -20.3371072, 57.4822739 -20.3378517, 57.4822737 -20.3379201)"
223302103,,Riberry Road,residential,40,False,True,125.68700000000001,,,"LINESTRING (57.4824304 -20.3365751, 57.4828919 -20.336676, 57.482916 -20.3366976, 57.4829254 -20.3367448, 57.4829275 -20.3367988, 57.48283 -20.3372517, 57.4828275 -20.3373423)"
223302101,,,residential,40,False,True,62.11700000000001,,,"LINESTRING (57.4812336 -20.3368764, 57.4811551 -20.3368636, 57.4810356 -20.3368352, 57.4809131 -20.3368175, 57.4808115 -20.3368214, 57.4807193 -20.3368322, 57.4806502 -20.3368577)"
503322781,,Juneberry 1 Road,residential,40,False,False,57.588,,,"LINESTRING (57.4812336 -20.3368764, 57.4811928 -20.3370788, 57.4811739 -20.3371927, 57.4811634 -20.3373891)"
