osmid,oneway,lanes,highway,reversed,length,geometry,ref,name,maxspeed,bridge,access
436751597,True,2,trunk_link,False,147.08100000000002,"LINESTRING (57.5014467 -20.1615592, 57.5012787 -20.1614154, 57.5011983 -20.1613666, 57.5011513 -20.161347, 57.5011032 -20.1613274, 57.5010592 -20.16132, 57.5010152 -20.1613182, 57.5009653 -20.1613322, 57.5009178 -20.1613517, 57.5005019 -20.1616708, 57.5004532 -20.1617047, 57.5003991 -20.1617319, 57.5003475 -20.1617617, 57.5002855 -20.1617916)",,,,,
436751598,True,1,primary,False,19.259999999999998,"LINESTRING (57.5014467 -20.1615592, 57.5015181 -20.1614879, 57.5015717 -20.1614318)",A1,John Kennedy Street,60,,
28836821,True,1,residential,False,75.082,"LINESTRING (57.5040654 -20.1636523, 57.504114 -20.1636044, 57.5042451 -20.1634754, 57.5045711 -20.1631722)",,Remy Ollier Street,,,
28844443,True,2,secondary,False,103.127,"LINESTRING (57.5040654 -20.1636523, 57.5040477 -20.1636371, 57.5039418 -20.1635461, 57.5038642 -20.1635146, 57.5037725 -20.1635056, 57.5036614 -20.1635049, 57.5035803 -20.1634851, 57.5035148 -20.163449, 57.5032495 -20.1632031)",B32,Intendance Street,40,,
371850725,False,2,secondary,True,70.486,"LINESTRING (57.5040654 -20.1636523, 57.5041548 -20.1637421, 57.504552 -20.1640915)",B32,Jules Koenig Street,,,
28845480,True,1,tertiary,False,110.812,"LINESTRING (57.5032495 -20.1632031, 57.5024997 -20.1639086)",,Mallefille Street,60,,
28844443,True,2,secondary,False,101.078,"LINESTRING (57.5032495 -20.1632031, 57.5031319 -20.1630877, 57.5026609 -20.1626413, 57.5025702 -20.1625553)",B32,Intendance Street,40,,
1006047769,False,,tertiary,True,51.493,"LINESTRING (57.5020819 -20.1608849, 57.5017356 -20.1612147)",,Farquhar Street,80,,
"[160250456, 28836241]",True,,residential,False,89.675,"LINESTRING (57.5020819 -20.1608849, 57.5018679 -20.1607055, 57.5018281 -20.1606952, 57.5017853 -20.1607062, 57.5014632 -20.1610485)",,Sir William Newton Street,,,
205194035,True,,living_street,False,140.262,"LINESTRING (57.5020819 -20.1608849, 57.5025728 -20.1604, 57.5029172 -20.1600599, 57.5030145 -20.1599772)",,Farquhar Street,30,,
