osmid,highway,oneway,reversed,length,lanes,ref,name,geometry,width,junction
233049259,residential,False,False,68.605,,,,"LINESTRING (99.9590574 12.5657617, 99.9596876 12.5657137)",,
399832206,trunk,True,False,133.234,3,4,ถนนเพชรเกษม,"LINESTRING (99.9590574 12.5657617, 99.9596119 12.5646927)",,
404528335,trunk_link,False,True,15.507,,,,"LINESTRING (99.9590574 12.5657617, 99.9589146 12.5657663)",,
54615178,residential,False,False,57.325,,,ถนนสระสรง,"LINESTRING (99.9559765 12.5684613, 99.9561198 12.5679651)",,
232937768,residential,False,False,154.032,,,หัวหิน 74/2 ถนนกำเนิดวิถี,"LINESTRING (99.9559765 12.5684613, 99.9546337 12.5680128)",,
233049259,residential,False,True,68.605,,,,"LINESTRING (99.9596876 12.5657137, 99.9590574 12.5657617)",,
477654837,residential,False,True,116.26,,,หัวหิน 65 ถนนนเรศดำริห์,"LINESTRING (99.9596876 12.5657137, 99.9596476 12.5655821, 99.959632 12.5654129, 99.9596286 12.5653761, 99.959644 12.5652636, 99.9596546 12.5651274, 99.9596676 12.5649592, 99.9596755 12.5648056, 99.9596388 12.564737, 99.9596119 12.5646927)",,
339859194,residential,False,False,8.884,,,,"LINESTRING (99.9589507 12.5686462, 99.9589714 12.5685689)",,
399832205,residential,True,False,91.753,,,หัวหิน 61 ถนนดำเนินเกษม,"LINESTRING (99.9589507 12.5686462, 99.9592739 12.5687248, 99.9593989 12.5687552, 99.9597044 12.5688294, 99.9597679 12.5688038)",,
199040859,trunk,True,False,81.389,3,4,ถนนเพชรเกษม,"LINESTRING (99.9592668 12.5651201, 99.9589146 12.5657663)",,
"[233050276, 340906157]",residential,False,"[False, True]",316.086,1,,หัวหิน 82,"LINESTRING (99.9592668 12.5651201, 99.9592363 12.5651115, 99.9568152 12.5644301, 99.9569032 12.5640885)",4,
199040859,trunk,True,False,42.558,3,4,ถนนเพชรเกษม,"LINESTRING (99.9589146 12.5657663, 99.9587291 12.5661035)",,
404528335,trunk_link,False,False,15.507,,,,"LINESTRING (99.9589146 12.5657663, 99.9590574 12.5657617)",,
67293462,residential,False,True,45.691,,,หัวหิน 80,"LINESTRING (99.9589146 12.5657663, 99.9588896 12.5657585, 99.9585135 12.5656415)",,
199040859,trunk,True,False,183.252,3,4,ถนนเพชรเกษม,"LINESTRING (99.9583744 12.5667617, 99.9576254 12.5682387)",,
233031598,residential,False,False,358.032,,,หัวหิน 78,"LINESTRING (99.9583744 12.5667617, 99.9558044 12.5661202, 99.9556914 12.5661083, 99.9555787 12.5661161, 99.9551614 12.5661583)",,
54615178,residential,False,True,57.325,,,ถนนสระสรง,"LINESTRING (99.9561198 12.5679651, 99.9559765 12.5684613)",,
340908548,residential,True,False,80.897,,,หัวหิน 76 ถนนดำเนินเกษม,"LINESTRING (99.9561198 12.5679651, 99.9568432 12.5681405)",,
1100748575,residential,False,False,10.022,,,ถนนสระสรง,"LINESTRING (99.9561198 12.5679651, 99.9561443 12.5678782)",,
233031599,trunk_link,True,False,13.448,,,,"LINESTRING (99.9576013 12.5683225, 99.9577222 12.568349)",,
539369193,trunk,True,False,71.938,3,4,ถนนเพชรเกษม,"LINESTRING (99.9576013 12.5683225, 99.9574914 12.5689605)",,
199040859,trunk,True,False,42.51,3,4,ถนนเพชรเกษม,"LINESTRING (99.9594349 12.5647748, 99.9592668 12.5651201)",,
