osmid,oneway,lanes,highway,width,reversed,length,geometry,name,ref,bridge
29792732,True,2,primary_link,8,False,174.221,"LINESTRING (100.5071851 14.0254552, 100.5077059 14.0252673, 100.5079677 14.025177, 100.5082214 14.0251136, 100.508432 14.0250829, 100.5086669 14.0250828, 100.5087385 14.0250828)",,,
664164471,True,5,secondary,9,False,321.778,"LINESTRING (100.5071851 14.0254552, 100.5075564 14.0252671, 100.5077845 14.0251353, 100.5079666 14.0250207, 100.509663 14.0238508)",ถนนปทุมธานี-ลาดหลุมแก้ว,,
"[664554768, 664554769, 664554767]",True,"['2', '4', '6']",primary,,False,364.596,"LINESTRING (100.5076287 14.0249906, 100.5074427 14.0251135, 100.5072782 14.0252125, 100.5071188 14.0253057, 100.5069668 14.0253865, 100.5060569 14.0258589, 100.5055767 14.0260993, 100.5052948 14.0262347, 100.504652 14.0265378)",,346,
615044317,False,,residential,,False,77.465,"LINESTRING (100.5073986 14.0279218, 100.5066914 14.0280426)",,,
615044441,False,,residential,,False,173.25,"LINESTRING (100.5073986 14.0279218, 100.5062322 14.0289928)",,,
615044441,False,,residential,,True,41.257,"LINESTRING (100.5073986 14.0279218, 100.5076767 14.0276671)",,,
615044317,False,,residential,,False,68.248,"LINESTRING (100.5066914 14.0280426, 100.5060741 14.0281769)",,,
615044317,False,,residential,,True,77.465,"LINESTRING (100.5066914 14.0280426, 100.5073986 14.0279218)",,,
615044393,False,,residential,,False,82.107,"LINESTRING (100.5066914 14.0280426, 100.5062507 14.0284864, 100.5061351 14.0285348)",,,
615044317,False,,residential,,True,68.248,"LINESTRING (100.5060741 14.0281769, 100.5066914 14.0280426)",,,
615044429,False,,residential,,False,40.337,"LINESTRING (100.5060741 14.0281769, 100.5061351 14.0285348)",,,
615044429,False,,residential,,True,42.386,"LINESTRING (100.5060741 14.0281769, 100.5059961 14.0278033)",,,
615044342,False,,residential,,False,47.479,"LINESTRING (100.5078211 14.0284877, 100.5082478 14.0283831)",,,
615044430,False,,residential,,False,27.771,"LINESTRING (100.5078211 14.0284877, 100.5077755 14.0282419)",,,
615044430,False,,residential,,True,19.517,"LINESTRING (100.5078211 14.0284877, 100.5078534 14.0286604)",,,
615044342,False,,residential,,True,47.479,"LINESTRING (100.5082478 14.0283831, 100.5078211 14.0284877)",,,
615044360,False,,residential,,False,180.886,"LINESTRING (100.5059961 14.0278033, 100.5076423 14.0274942)",,,
615044429,False,,residential,,False,42.386,"LINESTRING (100.5059961 14.0278033, 100.5060741 14.0281769)",,,
"[615044442, 615044429]",False,,residential,,"[False, True]",220.831,"LINESTRING (100.5059961 14.0278033, 100.5059271 14.0274982, 100.5059338 14.0274618, 100.5059561 14.0274447, 100.5075829 14.0271315)",,,
615044360,False,,residential,,False,34.42,"LINESTRING (100.5076423 14.0274942, 100.507958 14.0274494)",,,
615044360,False,,residential,,True,180.886,"LINESTRING (100.5076423 14.0274942, 100.5059961 14.0278033)",,,
912673436,False,,residential,,False,40.836,"LINESTRING (100.5076423 14.0274942, 100.5075829 14.0271315)",,,
912673436,False,,residential,,True,19.581,"LINESTRING (100.5076423 14.0274942, 100.5076767 14.0276671)",,,
615044360,False,,residential,,True,34.42,"LINESTRING (100.507958 14.0274494, 100.5076423 14.0274942)",,,
615044430,False,,residential,,False,19.517,"LINESTRING (100.5078534 14.0286604, 100.5078211 14.0284877)",,,
"[615044409, 615044430]",False,,residential,,True,60.384,"LINESTRING (100.5078534 14.0286604, 100.5078757 14.0287811, 100.5078998 14.0288097, 100.5079424 14.0288226, 100.5082874 14.0287618)",,,
"[635450721, 615044443]",False,,residential,,False,454.302,"LINESTRING (100.5078534 14.0286604, 100.507337 14.029178, 100.5068972 14.0295864, 100.5066064 14.0298585, 100.5065471 14.0298826, 100.5065022 14.0298826, 100.5063447 14.0297439, 100.5063334 14.0297068, 100.5063416 14.0296712, 100.5066253 14.0293609, 100.5074187 14.0286014, 100.5077755 14.0282419)",,,
615044392,False,,residential,,False,41.965,"LINESTRING (100.5077581 14.0281523, 100.5081363 14.028064)",,,
615044430,False,,residential,,True,10.138,"LINESTRING (100.5077581 14.0281523, 100.5077755 14.0282419)",,,
