osmid,highway,oneway,reversed,length,name,geometry,bridge,junction
481205923,unclassified,False,False,11.44,,"LINESTRING (101.1768379 13.4462417, 101.1769387 13.4462729)",,
115531874,unclassified,False,False,31.558,ถนนเซียนซือ,"LINESTRING (101.1813136 13.447271, 101.1816053 13.4472788)",,
115751793,unclassified,False,True,45.772,กนนศรีกุญช่ร,"LINESTRING (101.1813136 13.447271, 101.1813196 13.4476826)",,
1165022597,unclassified,True,False,125.454,กนนศรีกุญช่ร,"LINESTRING (101.1813136 13.447271, 101.181278 13.4461433)",,
115531874,unclassified,False,True,31.558,ถนนเซียนซือ,"LINESTRING (101.1816053 13.4472788, 101.1813136 13.447271)",,
115531874,unclassified,False,False,97.401,ถนนเซียนซือ,"LINESTRING (101.1816053 13.4472788, 101.1816769 13.4472365, 101.1824769 13.4470759)",,
115877573,unclassified,False,False,105.615,,"LINESTRING (101.1816053 13.4472788, 101.1818469 13.4474193, 101.1823289 13.4479064)",,
115531874,unclassified,False,False,4.356,ถนนเซียนซือ,"LINESTRING (101.1824769 13.4470759, 101.182516 13.4470665)",,
115531874,unclassified,False,True,97.401,ถนนเซียนซือ,"LINESTRING (101.1824769 13.4470759, 101.1816769 13.4472365, 101.1816053 13.4472788)",,
115877587,residential,False,True,74.122,,"LINESTRING (101.1824769 13.4470759, 101.1824366 13.4475345, 101.1823766 13.4477324)",,
115996028,unclassified,False,True,33.201,,"LINESTRING (101.1805759 13.4525058, 101.1804762 13.4527882)",,
116524050,tertiary,False,False,70.118,,"LINESTRING (101.1805759 13.4525058, 101.181224 13.4525241)",,
115877599,unclassified,False,False,189.06900000000002,,"LINESTRING (101.1805759 13.4525058, 101.1805713 13.452423, 101.1805007 13.452253, 101.1802948 13.45198, 101.1800562 13.4517693, 101.1794449 13.4512612)",,
115877590,residential,False,False,53.438,ถนนสระฤรๅง,"LINESTRING (101.1802944 13.4539371, 101.180393 13.4539301, 101.1807859 13.453888)",,
115996028,unclassified,False,False,130.66199999999998,,"LINESTRING (101.1802944 13.4539371, 101.180317 13.4532393, 101.1804762 13.4527882)",,
616723552,residential,False,True,110.834,,"LINESTRING (101.1802944 13.4539371, 101.1799801 13.4539211, 101.1798006 13.4539485, 101.1797647 13.4539256, 101.1797467 13.4538628, 101.1797444 13.4534558)",,
695675972,tertiary,False,False,12.039,,"LINESTRING (101.1831114 13.4526291, 101.1832204 13.4526511)",,
115993829,residential,False,False,96.14099999999999,,"LINESTRING (101.1831114 13.4526291, 101.1830241 13.4521576, 101.1830288 13.4517721)",,
"[116524050, 695675972, 116166246]",tertiary,False,True,135.953,,"LINESTRING (101.1831114 13.4526291, 101.1826962 13.4525673, 101.1826039 13.4525631, 101.1818595 13.4525421)",yes,
115714086,residential,False,True,8.65,,"LINESTRING (101.1772872 13.4515905, 101.1772279 13.4516427)",,
115714087,tertiary,False,False,69.119,,"LINESTRING (101.1772872 13.4515905, 101.1778613 13.4518637)",,
115714087,tertiary,False,True,41.596,,"LINESTRING (101.1772872 13.4515905, 101.1769409 13.4514277)",,
115714087,tertiary,False,False,41.596,,"LINESTRING (101.1769409 13.4514277, 101.1772872 13.4515905)",,
115714087,tertiary,False,True,36.113,,"LINESTRING (101.1769409 13.4514277, 101.1766774 13.4512282)",,
115933189,residential,False,False,39.177,,"LINESTRING (101.1769409 13.4514277, 101.1772279 13.4516427)",,
695675972,tertiary,False,True,35.801,,"LINESTRING (101.1845487 13.4528087, 101.1842244 13.452744)",,
115937783,residential,False,False,91.451,,"LINESTRING (101.1845487 13.4528087, 101.184495 13.4531372, 101.1843448 13.4534398, 101.1843137 13.4535906)",,
116166251,tertiary,False,False,45.094,,"LINESTRING (101.1845487 13.4528087, 101.1847565 13.4527806, 101.1849213 13.4526973, 101.1849399 13.4526869)",,
115751049,residential,False,False,52.013,,"LINESTRING (101.1787548 13.4477644, 101.1786632 13.4473052)",,
115879622,residential,False,False,86.541,,"LINESTRING (101.1787548 13.4477644, 101.1789815 13.4485108)",,
115751049,residential,False,True,129.572,,"LINESTRING (101.1787548 13.4477644, 101.1794597 13.4476863, 101.179408 13.4472137)",,
115751049,residential,False,False,19.562,,"LINESTRING (101.1793916 13.4470385, 101.179408 13.4472137)",,
1165022598,unclassified,True,False,146.47299999999998,,"LINESTRING (101.1793916 13.4470385, 101.1797467 13.4470906, 101.1801145 13.4471369, 101.1803623 13.4471706, 101.1807341 13.4472118)",,
115751049,residential,False,True,19.562,,"LINESTRING (101.179408 13.4472137, 101.1793916 13.4470385)",,
115751050,residential,False,True,81.188,,"LINESTRING (101.179408 13.4472137, 101.1786632 13.4473052)",,
115751049,residential,False,False,129.572,,"LINESTRING (101.179408 13.4472137, 101.1794597 13.4476863, 101.1787548 13.4477644)",,
115751049,residential,False,True,52.013,,"LINESTRING (101.1786632 13.4473052, 101.1787548 13.4477644)",,
115751050,residential,False,False,81.188,,"LINESTRING (101.1786632 13.4473052, 101.179408 13.4472137)",,
935395612,residential,False,False,48.476,,"LINESTRING (101.1786632 13.4473052, 101.1785829 13.4468763)",,
481205923,unclassified,False,False,71.907,,"LINESTRING (101.1785829 13.4468763, 101.1792341 13.4470069)",,
935395612,residential,False,True,48.476,,"LINESTRING (101.1785829 13.4468763, 101.1786632 13.4473052)",,
481205923,unclassified,False,True,190.981,,"LINESTRING (101.1785829 13.4468763, 101.177833 13.4466908, 101.1769387 13.4462729)",,
115986540,unclassified,False,True,54.49,,"LINESTRING (101.181278 13.4461433, 101.1809487 13.4457724)",,
1165022596,unclassified,True,False,41.519,,"LINESTRING (101.181278 13.4461433, 101.1814607 13.4458149)",,
115751793,unclassified,False,False,45.772,กนนศรีกุญช่ร,"LINESTRING (101.1813196 13.4476826, 101.1813136 13.447271)",,
115751793,unclassified,False,True,174.049,กนนศรีกุญช่ร,"LINESTRING (101.1813196 13.4476826, 101.1809119 13.4491968)",,
115877595,unclassified,False,False,199.377,,"LINESTRING (101.1813196 13.4476826, 101.1810713 13.447985, 101.1802231 13.4487209, 101.1801396 13.4488309, 101.180102 13.4489906)",,
115751793,unclassified,False,False,83.258,กนนศรีกุญช่ร,"LINESTRING (101.1808599 13.4503708, 101.180844 13.4496222)",,
115877588,residential,False,False,97.834,,"LINESTRING (101.1808599 13.4503708, 101.1817334 13.4505997)",,
