osmid,highway,oneway,reversed,length,geometry,lanes,maxspeed,ref,name,width,bridge
583099475,unclassified,False,False,12.405000000000001,"LINESTRING (100.7298335 14.0181174, 100.7298079 14.0181691, 100.7297808 14.0182165)",,,,,,
216951752,residential,True,False,79.622,"LINESTRING (100.734061 14.0200247, 100.7338025 14.0206954)",1,30,,,,
1090685571,primary,True,False,103.154,"LINESTRING (100.734061 14.0200247, 100.7349425 14.0203841)",2,,305,ถนนรังสิต-นครนายก,8,
1090685572,residential,False,True,12.502,"LINESTRING (100.7349425 14.0203841, 100.7349842 14.0202792)",,,,,,
152443675,primary,True,False,249.014,"LINESTRING (100.7349425 14.0203841, 100.7357432 14.0207104, 100.7360171 14.0208112, 100.7360393 14.02082, 100.7370665 14.0212599)",2,,305,ถนนรังสิต-นครนายก,8,
216951750,residential,False,False,81.197,"LINESTRING (100.7349425 14.0203841, 100.7348133 14.0206983, 100.7346669 14.0210636)",,,,,,
467132174,residential,False,False,38.805,"LINESTRING (100.7338025 14.0206954, 100.7336468 14.0206242, 100.733477 14.0205469)",,,,,,
1060508198,residential,False,False,101.846,"LINESTRING (100.7338025 14.0206954, 100.7339506 14.0207593, 100.7343288 14.0209203, 100.7344769 14.0209831, 100.7346669 14.0210636)",,,,,,
216951750,residential,False,True,81.197,"LINESTRING (100.7346669 14.0210636, 100.7348133 14.0206983, 100.7349425 14.0203841)",,,,,,
216951754,residential,False,False,246.338,"LINESTRING (100.7346669 14.0210636, 100.734865 14.0211476, 100.7349565 14.0211864, 100.7354114 14.0213793, 100.7358883 14.021573, 100.7359652 14.0216019, 100.7360238 14.0216222, 100.7363538 14.0217536, 100.7367724 14.0219203)",,,,,,
1060508198,residential,False,True,101.846,"LINESTRING (100.7346669 14.0210636, 100.7344769 14.0209831, 100.7343288 14.0209203, 100.7339506 14.0207593, 100.7338025 14.0206954)",,,,,,
694802975,residential,False,True,79.997,"LINESTRING (100.7370665 14.0212599, 100.7369994 14.0214063, 100.7369559 14.0215023, 100.7367724 14.0219203)",,,,,,
216951749,residential,False,False,113.07500000000002,"LINESTRING (100.7367724 14.0219203, 100.7367164 14.0220621, 100.7366547 14.0222104, 100.7364703 14.0225992, 100.736353 14.0228519)",,,,,,
216951754,residential,False,True,246.338,"LINESTRING (100.7367724 14.0219203, 100.7363538 14.0217536, 100.7360238 14.0216222, 100.7359652 14.0216019, 100.7358883 14.021573, 100.7354114 14.0213793, 100.7349565 14.0211864, 100.734865 14.0211476, 100.7346669 14.0210636)",,,,,,
694802975,residential,False,False,79.997,"LINESTRING (100.7367724 14.0219203, 100.7369559 14.0215023, 100.7369994 14.0214063, 100.7370665 14.0212599)",,,,,,
624342438,residential,False,False,54.687,"LINESTRING (100.7324805 14.020206, 100.7324845 14.0206978)",,,,,,
624342438,residential,False,True,69.093,"LINESTRING (100.7324805 14.020206, 100.7325314 14.0195866)",,,,,,
467132174,residential,False,True,114.041,"LINESTRING (100.7324805 14.020206, 100.7329858 14.0203629, 100.733477 14.0205469)",,,,,,
1060508205,primary,True,False,127.65,"LINESTRING (100.7298575 14.0182513, 100.7309358 14.0187239)",2,,305,ถนนรังสิต-นครนายก,8,
583099474,unclassified,False,False,12.369,"LINESTRING (100.7298575 14.0182513, 100.7298835 14.0182005, 100.7299125 14.0181538)",,,,,,
1060508194,unclassified,False,False,135.83800000000002,"LINESTRING (100.7298575 14.0182513, 100.7298631 14.0183634, 100.7298915 14.018428, 100.7299986 14.0185047, 100.7301121 14.0185689, 100.7302108 14.0186152, 100.7305878 14.0187811, 100.7308455 14.0188945)",,,,เลียบคลองหก,,
549287170,residential,False,True,391.049,"LINESTRING (100.7320956 14.0252436, 100.728471 14.0252032)",1,30,,,,
694802976,unclassified,False,True,74.447,"LINESTRING (100.7320956 14.0252436, 100.7320947 14.0250413, 100.7320938 14.0248119, 100.7321153 14.024575)",,,,เลียบคลองหก,,
549287170,residential,False,False,391.049,"LINESTRING (100.728471 14.0252032, 100.7320956 14.0252436)",1,30,,,,
