osmid,name,highway,oneway,reversed,length,bridge,geometry,ref,lanes,maxspeed
45897671,ถนนราชญาติรักษา,primary,False,False,18.717,,"LINESTRING (100.0017251 13.4072221, 100.001708 13.4073896)",,,
"[45897667, 516209051, 516209053]",ถนนเจริญชมปรีดา,residential,False,False,292.075,yes,"LINESTRING (100.0017251 13.4072221, 100.0017481 13.4070517, 100.00179 13.4066296, 100.0018477 13.4059891, 100.0019808 13.4057093, 100.002183 13.405503, 100.0023599 13.4054684, 100.0027995 13.4054486, 100.0029844 13.4053847)",,,
983583839,ถนนราชญาติรักษา,primary,False,True,171.795,,"LINESTRING (100.0017251 13.4072221, 100.0013942 13.4071535, 100.0008246 13.4070069, 100.0007443 13.4069769, 100.0006925 13.4069256, 100.0006527 13.4068688, 100.0004465 13.4065016)",,,
53345421,,primary,True,False,14.061,,"LINESTRING (100.0021689 13.4097163, 100.002214 13.4098349)",,,
120083421,ถนนสมุทรสงคราม–บางแพ,primary,True,False,84.50699999999999,,"LINESTRING (100.0021689 13.4097163, 100.0017287 13.4101864, 100.0016441 13.4102793)",325,,
1252091323,,residential,False,False,78.411,,"LINESTRING (100.0010545 13.4108983, 100.0003378 13.4107923)",,,
120083421,ถนนสมุทรสงคราม–บางแพ,primary,True,False,110.908,,"LINESTRING (100.0010545 13.4108983, 100.0008815 13.4110811, 100.00036 13.4116321)",325,,
102485751,ถนนศรีจำปา,residential,False,False,44.501,,"LINESTRING (100.0002135 13.4085204, 100.0005631 13.4087314)",,,
45897668,ถนนศรีจำปา,residential,False,False,87.58800000000001,,"LINESTRING (100.0002135 13.4085204, 100.0003175 13.4083279, 100.0004892 13.4080592, 100.0006391 13.4078514)",,,
102485751,ถนนศรีจำปา,residential,False,True,84.834,,"LINESTRING (100.0002135 13.4085204, 99.9997348 13.4084747, 99.9994324 13.4084975)",,,
93599549,ถนนเกษมสุขุม,unclassified,False,False,50.911,,"LINESTRING (100.0006391 13.4078514, 100.0010465 13.4080807)",,2,
45897668,ถนนศรีจำปา,residential,False,True,87.588,,"LINESTRING (100.0006391 13.4078514, 100.0004892 13.4080592, 100.0003175 13.4083279, 100.0002135 13.4085204)",,,
93599549,ถนนเกษมสุขุม,unclassified,False,True,139.874,,"LINESTRING (100.0006391 13.4078514, 100.0005265 13.407794, 100.0001992 13.4077301, 99.9999672 13.4077262, 99.9997365 13.4077432, 99.9994594 13.4077601, 99.9993684 13.4077656)",,2,
93599549,ถนนเกษมสุขุม,unclassified,False,False,36.301,,"LINESTRING (100.0010465 13.4080807, 100.0013322 13.408252)",,2,
93599549,ถนนเกษมสุขุม,unclassified,False,True,50.911,,"LINESTRING (100.0010465 13.4080807, 100.0006391 13.4078514)",,2,
103718688,,residential,False,True,89.27,,"LINESTRING (100.0010465 13.4080807, 100.0005631 13.4087314)",,,
948943634,ถนนเกษมสุขุม,unclassified,True,False,6.172,,"LINESTRING (100.0014287 13.4083077, 100.0014716 13.4083443)",,,
"[103718691, 102485751]",ถนนศรีจำปา,residential,False,True,133.542,,"LINESTRING (100.0014287 13.4083077, 100.0008972 13.4089385, 100.0005631 13.4087314)",,,
948943635,ถนนเกษมสุขุม,primary,False,False,154.58800000000002,,"LINESTRING (100.0014716 13.4083443, 100.0014934 13.4084006, 100.0015524 13.4084971, 100.0018303 13.4089696, 100.0019927 13.4092583, 100.0020311 13.4093298, 100.0021597 13.4095619)",,4,
948943637,ถนนราชญาติรักษา,primary,False,True,16.549,,"LINESTRING (100.0014716 13.4083443, 100.0014571 13.4082646, 100.0014646 13.4081971)",,,
700368400,เพชรสมุทร 1,residential,False,False,62.684,,"LINESTRING (99.9976985 13.407956, 99.9982732 13.4078834)",,,
"[102493355, 102485735]",,residential,False,False,94.589,,"LINESTRING (99.9976985 13.407956, 99.9977123 13.4081059, 99.9977335 13.4082633, 99.9982875 13.4082112)",,,
