osmid,name,highway,oneway,reversed,length,lanes,geometry,width,junction
35923571,Lý Thường Kiệt,residential,False,False,49.206,,"LINESTRING (107.0769781 10.3486819, 107.0771433 10.3482703)",,
35923571,Lý Thường Kiệt,residential,False,True,32.278,,"LINESTRING (107.0769781 10.3486819, 107.0768873 10.3489581)",,
270013266,Trần Hưng Đạo,secondary,False,False,55.797,2,"LINESTRING (107.0756027 10.3482323, 107.075773 10.3477593)",,
270013266,Trần Hưng Đạo,secondary,False,True,28.637,2,"LINESTRING (107.0756027 10.3482323, 107.0755378 10.3484818)",,
35923579,Trưng Trắc,residential,True,False,81.60900000000001,,"LINESTRING (107.0756027 10.3482323, 107.0757119 10.3482718, 107.0763082 10.3484709)",,
199528385,Lê Lợi,primary,False,False,60.347,,"LINESTRING (107.0742946 10.3478098, 107.0743099 10.3472673)",,
199528385,Lê Lợi,primary,False,True,26.81,,"LINESTRING (107.0742946 10.3478098, 107.0742923 10.3480509)",,
35923579,Trưng Trắc,residential,True,False,105.094,,"LINESTRING (107.0742946 10.3478098, 107.075136 10.3480915, 107.0752043 10.3481138)",,
35923635,Trương Vĩnh Ký,residential,False,False,108.151,,"LINESTRING (107.0730585 10.3486078, 107.0737086 10.347875)",,
35923635,Trương Vĩnh Ký,residential,False,True,115.762,,"LINESTRING (107.0730585 10.3486078, 107.0723751 10.3494027)",,
199528391,Lê Quý Đôn,residential,False,False,121.262,,"LINESTRING (107.0730585 10.3486078, 107.0722622 10.3478491)",,
199528391,Lê Quý Đôn,residential,False,True,167.067,,"LINESTRING (107.0730585 10.3486078, 107.073391 10.3489053, 107.0741884 10.3496187)",,
35923635,Trương Vĩnh Ký,residential,False,True,108.151,,"LINESTRING (107.0737086 10.347875, 107.0730585 10.3486078)",,
975192899,Bacu,secondary,False,False,115.046,2,"LINESTRING (107.0737086 10.347875, 107.0728316 10.3473039)",26,
975192899,Bacu,secondary,False,True,74.76599999999999,2,"LINESTRING (107.0737086 10.347875, 107.0740928 10.3481121, 107.074288 10.3482317)",26,
270013266,Trần Hưng Đạo,secondary,False,False,28.637,2,"LINESTRING (107.0755378 10.3484818, 107.0756027 10.3482323)",,
270013266,Trần Hưng Đạo,secondary,False,True,29.904,2,"LINESTRING (107.0755378 10.3484818, 107.0754173 10.3487232)",,
35923600,Trưng Nhị,residential,True,False,48.167,,"LINESTRING (107.0755378 10.3484818, 107.0754496 10.3484513, 107.0751224 10.3483381)",,
199528385,Lê Lợi,primary,False,False,26.81,,"LINESTRING (107.0742923 10.3480509, 107.0742946 10.3478098)",,
199528385,Lê Lợi,primary,False,True,20.109,,"LINESTRING (107.0742923 10.3480509, 107.0742897 10.3481511, 107.074288 10.3482317)",,
35923593,Lý Tự Trọng,residential,False,True,168.826,,"LINESTRING (107.0785885 10.3488032, 107.0771433 10.3482703)",,
953253566,Lê Lai,tertiary,False,False,43.85,,"LINESTRING (107.0785885 10.3488032, 107.0784617 10.3491773)",,
953253566,Lê Lai,tertiary,False,True,120.49,,"LINESTRING (107.0785885 10.3488032, 107.078938 10.3477756)",,
35923593,Lý Tự Trọng,residential,False,False,178.64699999999996,,"LINESTRING (107.0785885 10.3488032, 107.079006 10.3489669, 107.0793141 10.3490797, 107.0794975 10.3491501, 107.0795583 10.3491769, 107.0796531 10.3492187, 107.0797711 10.3492399, 107.079895 10.3492921, 107.0799857 10.3493401, 107.0800769 10.3493823, 107.0801034 10.3493941)",,
35923542,Thủ Khoa Huân,residential,False,False,46.473,,"LINESTRING (107.0722979 10.3519303, 107.072569 10.3516085)",,
199528391,Lê Quý Đôn,residential,False,True,111.061,,"LINESTRING (107.0741884 10.3496187, 107.0749251 10.350306)",,
35923542,Thủ Khoa Huân,residential,False,True,144.753,,"LINESTRING (107.0741884 10.3496187, 107.073829 10.3500491, 107.0733484 10.3506246)",,
35923627,Lê Lợi,primary,False,True,219.793,,"LINESTRING (107.0741884 10.3496187, 107.0741873 10.350191, 107.0742355 10.3514095, 107.0742509 10.3515938)",,
199528385,Lê Lợi,primary,False,False,154.708,,"LINESTRING (107.0741884 10.3496187, 107.0742502 10.3486861, 107.0742647 10.3483599, 107.074288 10.3482317)",,
199528391,Lê Quý Đôn,residential,False,False,167.067,,"LINESTRING (107.0741884 10.3496187, 107.073391 10.3489053, 107.0730585 10.3486078)",,
35923571,Lý Thường Kiệt,residential,False,False,18.844,,"LINESTRING (107.0778015 10.3462634, 107.0778559 10.3461026)",,
35923571,Lý Thường Kiệt,residential,False,True,23.696,,"LINESTRING (107.0778015 10.3462634, 107.0777316 10.3464651)",,
35923654,Thống Nhất,residential,False,False,174.084,2,"LINESTRING (107.0778015 10.3462634, 107.0792866 10.3468261)",,
220821628,Thống Nhất,residential,False,True,82.027,2,"LINESTRING (107.0764763 10.3457957, 107.0757849 10.3455101)",,
270013266,Trần Hưng Đạo,secondary,False,True,231.5,2,"LINESTRING (107.0764763 10.3457957, 107.075773 10.3477593)",,
791795157,,unclassified,False,True,56.843,,"LINESTRING (107.0764763 10.3457957, 107.0769577 10.3459882)",,
199528390,Thống Nhất,residential,True,False,69.51400000000001,,"LINESTRING (107.0764763 10.3457957, 107.0766341 10.3456696, 107.0766542 10.3456536, 107.0770384 10.3457837)",,
270013266,Trần Hưng Đạo,secondary,False,False,189.88400000000001,2,"LINESTRING (107.0764763 10.3457957, 107.0767501 10.3449926, 107.076764 10.344952, 107.0768204 10.3447931, 107.0768273 10.3447736, 107.0768748 10.3446398, 107.0770461 10.3441828)",,
35923575,Trần Nguyên Hãn,residential,False,False,235.058,,"LINESTRING (107.0757849 10.3455101, 107.0750671 10.3475026)",,
220821628,Thống Nhất,residential,False,False,82.027,2,"LINESTRING (107.0757849 10.3455101, 107.0764763 10.3457957)",,
220821628,Thống Nhất,residential,False,True,147.434,2,"LINESTRING (107.0757849 10.3455101, 107.0745233 10.3450435)",,
35923575,Trần Nguyên Hãn,residential,False,True,235.058,,"LINESTRING (107.0750671 10.3475026, 107.0757849 10.3455101)",,
35923593,Lý Tự Trọng,residential,False,False,82.323,,"LINESTRING (107.0750671 10.3475026, 107.075773 10.3477593)",,
35923593,Lý Tự Trọng,residential,False,True,86.86099999999999,,"LINESTRING (107.0750671 10.3475026, 107.0744511 10.3473112, 107.0743099 10.3472673)",,
35923571,Lý Thường Kiệt,residential,False,False,89.807,,"LINESTRING (107.0774897 10.3472369, 107.0777316 10.3464651)",,
