osmid,lanes,ref,name,highway,oneway,reversed,length,geometry,bridge
998774407,,,Phạm Tiêm,unclassified,False,True,57.55,"LINESTRING (106.3016906 18.065909, 106.3013953 18.0654742)",
843322454,,,,residential,False,True,64.561,"LINESTRING (106.3011308 18.0661411, 106.3016906 18.065909)",
630784826,,,,residential,False,False,46.205,"LINESTRING (106.2997652 18.066812, 106.2995471 18.0664519)",
843322456,,,,residential,False,False,86.908,"LINESTRING (106.2997652 18.066812, 106.2990708 18.0672304)",
630784826,,,,residential,False,True,51.144000000000005,"LINESTRING (106.2997652 18.066812, 106.2998579 18.0669651, 106.3000066 18.0672106)",
843322456,,,,residential,False,True,86.908,"LINESTRING (106.2990708 18.0672304, 106.2997652 18.066812)",
630782199,,,Huy Cận,residential,False,False,198.368,"LINESTRING (106.3003636 18.0660299, 106.299428 18.0644835)",
883438204,4,QL.1,Đường Lê Đại Hành,primary,False,False,98.245,"LINESTRING (106.3003636 18.0660299, 106.2995471 18.0664519)",
883438204,4,QL.1,Đường Lê Đại Hành,primary,False,True,125.382,"LINESTRING (106.3003636 18.0660299, 106.3004185 18.0660015, 106.3005876 18.0659115, 106.3007552 18.0658223, 106.3013293 18.0655167, 106.3013953 18.0654742)",
843322460,,,,residential,False,False,92.458,"LINESTRING (106.3045905 18.0638918, 106.3047514 18.0647091)",
630790467,,,,residential,False,True,110.269,"LINESTRING (106.3045905 18.0638918, 106.3045039 18.0639413, 106.3037759 18.0645097)",
843322460,,,,residential,False,True,92.458,"LINESTRING (106.3047514 18.0647091, 106.3045905 18.0638918)",
883438204,4,QL.1,Đường Lê Đại Hành,primary,False,False,98.985,"LINESTRING (106.3045959 18.0626881, 106.3039238 18.0633079)",
883438204,4,QL.1,Đường Lê Đại Hành,primary,False,True,21.323,"LINESTRING (106.3045959 18.0626881, 106.3047407 18.0625546)",
883438204,4,QL.1,Đường Lê Đại Hành,primary,False,False,21.323,"LINESTRING (106.3047407 18.0625546, 106.3045959 18.0626881)",
630790440,,,,residential,False,False,15.961,"LINESTRING (106.3032146 18.0625929, 106.3031067 18.0624925)",
630790440,,,,residential,False,True,109.279,"LINESTRING (106.3032146 18.0625929, 106.3039238 18.0633079)",
