osmid,oneway,name,highway,reversed,length,geometry,ref,lanes,access
159995263,False,Junior College Road,tertiary,False,76.641,"LINESTRING (75.3869823 12.5592032, 75.3876398 12.5594546)",,,
188088750,False,,residential,True,92.016,"LINESTRING (75.3869823 12.5592032, 75.3869066 12.5590353, 75.3869012 12.5588729, 75.3868852 12.558585, 75.3869404 12.5583994)",,,
159995263,False,Junior College Road,tertiary,True,45.194,"LINESTRING (75.3906013 12.5603528, 75.3902651 12.560113)",,,
26297382,False,,trunk,True,55.716,"LINESTRING (75.3906013 12.5603528, 75.3907351 12.5600192, 75.3908004 12.5598914)",NH275,,
26297382,False,,trunk,False,495.38400000000007,"LINESTRING (75.3929817 12.5559865, 75.392569 12.5567036, 75.3915387 12.5583431, 75.391057 12.5592722, 75.3908004 12.5598914)",NH275,,
26297382,False,,trunk,True,127.53,"LINESTRING (75.3929817 12.5559865, 75.393091 12.5557966, 75.3935442 12.5554768, 75.393884 12.5552848)",NH275,,
159995254,False,,tertiary,False,373.305,"LINESTRING (75.3929817 12.5559865, 75.3923086 12.5558605, 75.3915898 12.5556824, 75.3903726 12.5554646, 75.3896348 12.555233)",,,
26297382,False,,trunk,False,151.67700000000002,"LINESTRING (75.3950228 12.5545052, 75.3945355 12.5549189, 75.393884 12.5552848)",NH275,,
191594086,False,Kurunjibhag Road,tertiary,False,56.519,"LINESTRING (75.387379 12.5547106, 75.3877322 12.5550841)",Local Knowledge,2,yes
188088230,False,Kerpala Road,tertiary,False,103.545,"LINESTRING (75.387379 12.5547106, 75.3873091 12.5546004, 75.3872554 12.5544905, 75.3872138 12.5543287, 75.3871857 12.5541344, 75.387187 12.5540093, 75.3871681 12.5538185)",,,
191594086,False,Kurunjibhag Road,tertiary,True,56.519,"LINESTRING (75.3877322 12.5550841, 75.387379 12.5547106)",Local Knowledge,2,yes
159995254,False,,tertiary,False,244.57000000000002,"LINESTRING (75.3877322 12.5550841, 75.3875938 12.5552342, 75.3864351 12.5566794, 75.3863228 12.5567992)",,,
159995254,False,,tertiary,True,223.82400000000004,"LINESTRING (75.3877322 12.5550841, 75.3878883 12.5549284, 75.3881276 12.554827, 75.3884092 12.5548258, 75.3889457 12.5549724, 75.3894655 12.5551798, 75.3896348 12.555233)",,,
188088230,False,Kerpala Road,tertiary,True,103.545,"LINESTRING (75.3871681 12.5538185, 75.387187 12.5540093, 75.3871857 12.5541344, 75.3872138 12.5543287, 75.3872554 12.5544905, 75.3873091 12.5546004, 75.387379 12.5547106)",,,
188088750,False,,residential,False,372.823,"LINESTRING (75.3892909 12.5563657, 75.3891811 12.5562601, 75.3891114 12.5561816, 75.3890095 12.556103, 75.3888861 12.5560559, 75.3887573 12.5559774, 75.3885905 12.5558747, 75.3884778 12.5558067, 75.3883175 12.5557156, 75.3882096 12.5556705, 75.38806 12.5555951, 75.387958 12.5556108, 75.3879146 12.5557596, 75.3877915 12.5560248, 75.3877161 12.5562589, 75.3876214 12.556559, 75.3875128 12.5569932, 75.3874551 12.5571705, 75.3873951 12.5573337)",,,
188088750,False,,residential,True,135.576,"LINESTRING (75.3892909 12.5563657, 75.3893582 12.5563491, 75.3894113 12.5561994, 75.3894762 12.556035, 75.3895293 12.5557962, 75.3895674 12.5556004, 75.3896348 12.555233)",,,
188167261,False,,unclassified,False,534.678,"LINESTRING (75.3892909 12.5563657, 75.3891919 12.5565743, 75.3890846 12.5568361, 75.3889666 12.5570811, 75.3889129 12.5572859, 75.3888271 12.5575419, 75.3887949 12.5576362, 75.388752 12.5578409, 75.3888056 12.5580399, 75.3889451 12.5582226, 75.3889666 12.5584483, 75.3889236 12.5586368, 75.3888915 12.5587624, 75.3890095 12.5588462, 75.389267 12.5588672, 75.3895245 12.55893, 75.3897176 12.5590242, 75.3899214 12.559186, 75.3900502 12.559286, 75.3900931 12.5594326, 75.3900609 12.5595897, 75.3901253 12.559684, 75.390254 12.5597096, 75.3903077 12.5598458, 75.3903077 12.5599458, 75.3902651 12.560113)",,,
159995263,False,Junior College Road,tertiary,True,76.641,"LINESTRING (75.3876398 12.5594546, 75.3869823 12.5592032)",,,
159995263,False,Junior College Road,tertiary,False,299.409,"LINESTRING (75.3876398 12.5594546, 75.3880815 12.55962, 75.3886286 12.5599132, 75.389326 12.5600074, 75.3901902 12.5600619, 75.3902651 12.560113)",,,
26297382,False,,trunk,False,55.716,"LINESTRING (75.3908004 12.5598914, 75.3907351 12.5600192, 75.3906013 12.5603528)",NH275,,
26297382,False,,trunk,True,495.384,"LINESTRING (75.3908004 12.5598914, 75.391057 12.5592722, 75.3915387 12.5583431, 75.392569 12.5567036, 75.3929817 12.5559865)",NH275,,
188167264,False,Jattipalla Road,unclassified,False,341.83599999999996,"LINESTRING (75.3908004 12.5598914, 75.391048 12.5600133, 75.3912189 12.5601452, 75.3913308 12.5602292, 75.3914777 12.5602719, 75.3917024 12.5602751, 75.3919063 12.5602599, 75.3922067 12.560239, 75.3924427 12.5602647, 75.3927646 12.5602856, 75.3929684 12.5602809, 75.3931401 12.5603484, 75.393301 12.5604427, 75.3935478 12.5605427, 75.3937326 12.5606691)",,,
159995263,False,Junior College Road,tertiary,False,45.194,"LINESTRING (75.3902651 12.560113, 75.3906013 12.5603528)",,,
159995263,False,Junior College Road,tertiary,True,299.409,"LINESTRING (75.3902651 12.560113, 75.3901902 12.5600619, 75.389326 12.5600074, 75.3886286 12.5599132, 75.3880815 12.55962, 75.3876398 12.5594546)",,,
188167261,False,,unclassified,True,534.6779999999999,"LINESTRING (75.3902651 12.560113, 75.3903077 12.5599458, 75.3903077 12.5598458, 75.390254 12.5597096, 75.3901253 12.559684, 75.3900609 12.5595897, 75.3900931 12.5594326, 75.3900502 12.559286, 75.3899214 12.559186, 75.3897176 12.5590242, 75.3895245 12.55893, 75.389267 12.5588672, 75.3890095 12.5588462, 75.3888915 12.5587624, 75.3889236 12.5586368, 75.3889666 12.5584483, 75.3889451 12.5582226, 75.3888056 12.5580399, 75.388752 12.5578409, 75.3887949 12.5576362, 75.3888271 12.5575419, 75.3889129 12.5572859, 75.3889666 12.5570811, 75.3890846 12.5568361, 75.3891919 12.5565743, 75.3892909 12.5563657)",,,
188185498,False,,unclassified,True,40.076,"LINESTRING (75.3870571 12.5571886, 75.3873951 12.5573337)",,,
188185497,False,,residential,True,154.489,"LINESTRING (75.3870571 12.5571886, 75.386955 12.5573703, 75.3868759 12.5575227, 75.3868048 12.5576845, 75.3867351 12.5578364, 75.386719 12.5579515, 75.3866868 12.5581034, 75.386719 12.5582029, 75.3867847 12.5582767, 75.3868745 12.5583443, 75.3869404 12.5583994)",,,
188185498,False,,unclassified,False,31.239,"LINESTRING (75.3870571 12.5571886, 75.3869081 12.5571195, 75.3867985 12.5570653)",,,
188185498,False,,unclassified,False,59.507999999999996,"LINESTRING (75.3867985 12.5570653, 75.3865366 12.55692, 75.3863228 12.5567992)",,,
188185498,False,,unclassified,True,31.239,"LINESTRING (75.3867985 12.5570653, 75.3869081 12.5571195, 75.3870571 12.5571886)",,,
188185498,False,,unclassified,False,40.076,"LINESTRING (75.3873951 12.5573337, 75.3870571 12.5571886)",,,
