osmid,highway,oneway,reversed,length,geometry,name,maxspeed,ref,junction,bridge
640303312,secondary,False,False,73.168,"LINESTRING (75.2025798 31.8219292, 75.2019276 31.8215744)",,,,,
640303312,secondary,False,True,46.319,"LINESTRING (75.2025798 31.8219292, 75.2027604 31.8220493, 75.2029491 31.8222024)",,,,,
1120128475,residential,False,False,181.26299999999998,"LINESTRING (75.2025798 31.8219292, 75.2027733 31.8216137, 75.2028104 31.8215361, 75.2028367 31.821456, 75.2028538 31.8213898, 75.2028686 31.8213588, 75.2028912 31.8213288, 75.2029282 31.8213095, 75.2040175 31.8211866)",,,,,
232459692,tertiary,False,True,4.053,"LINESTRING (75.1997015 31.8174705, 75.1996605 31.8174598)",,,,,
232459688,tertiary,True,False,108.244,"LINESTRING (75.1997015 31.8174705, 75.1998228 31.8172445, 75.1999502 31.8170393, 75.2002356 31.81661)",,,,,
232459692,tertiary,False,False,47.295,"LINESTRING (75.1997015 31.8174705, 75.1999234 31.8175283, 75.2001827 31.8175874)",,,,,
793072427,residential,False,True,8.987,"LINESTRING (75.1962179 31.8190928, 75.1962449 31.8190153)",,,,,
"[232459657, 793059572]",residential,False,"[False, True]",281.272,"LINESTRING (75.1962179 31.8190928, 75.1962041 31.8191243, 75.196145 31.8192139, 75.195513 31.8200802, 75.1963573 31.8202799, 75.1963708 31.8202936, 75.1963714 31.8203236, 75.1963659 31.8203491, 75.1962809 31.8205532, 75.1962208 31.8206975, 75.1961924 31.8207951, 75.1961793 31.8208617, 75.1961757 31.8208793)",,,,,
1127413420,secondary,True,False,59.361,"LINESTRING (75.1962179 31.8190928, 75.1965746 31.8191738, 75.1968241 31.819233)",,,,,
501676565,tertiary,False,False,14.387,"LINESTRING (75.2039132 31.8199099, 75.204028 31.8199949)",,,,,
1112987461,tertiary,True,False,37.449000000000005,"LINESTRING (75.2039132 31.8199099, 75.203838 31.8197857, 75.2037527 31.8196345, 75.2037734 31.8196109)",,,,,
1127413417,secondary,True,False,10.822,"LINESTRING (75.1990128 31.8200675, 75.1990349 31.819972)",Dera Baba Nanak Road,50,,,
1127413420,secondary,True,False,51.815,"LINESTRING (75.1990128 31.8200675, 75.1994647 31.8203315)",,,,,
501676564,secondary,False,True,9.352,"LINESTRING (75.1994647 31.8203315, 75.1995296 31.820268)",,,MDR66,,
1127413420,secondary,True,False,51.745,"LINESTRING (75.1994647 31.8203315, 75.1998161 31.8204991, 75.1999488 31.8205481)",,,,,
640303312,secondary,False,False,47.008,"LINESTRING (75.2047969 31.8237011, 75.204437 31.8234092)",,,,,
501676560,secondary,True,False,34.514,"LINESTRING (75.2045749 31.8193465, 75.2049392 31.8193237)",,,,,
1120108211,secondary,False,False,9.258,"LINESTRING (75.2045749 31.8193465, 75.2045689 31.8192634)",,,,,
501676564,secondary,False,False,4.615,"LINESTRING (75.2031093 31.8193917, 75.2030605 31.8193935)",,,MDR66,,
501676561,secondary,True,False,41.24,"LINESTRING (75.2031093 31.8193917, 75.2032192 31.8194472, 75.2032788 31.8194786, 75.2033204 31.8195054, 75.2034651 31.8196051)",,,,,
501676564,secondary,False,False,26.801,"LINESTRING (75.201593 31.8194883, 75.2013168 31.8195432)",,,MDR66,,
501676564,secondary,False,True,40.126,"LINESTRING (75.201593 31.8194883, 75.2020141 31.8194415)",,,MDR66,,
1120108206,residential,False,True,93.928,"LINESTRING (75.201593 31.8194883, 75.2013182 31.8186765)",,,,,
793072439,residential,False,False,135.13600000000002,"LINESTRING (75.201593 31.8194883, 75.2018237 31.8200737, 75.2019588 31.8204733, 75.2019888 31.8206537)",,,,,
501676563,secondary,True,False,15.578000000000001,"LINESTRING (75.2037734 31.8196109, 75.2038022 31.8195711, 75.2038168 31.8195261, 75.2038162 31.8194794)",,,,roundabout,
501676563,secondary,True,False,5.173,"LINESTRING (75.2036943 31.8193493, 75.2036411 31.8193383)",,,,roundabout,
501676563,secondary,True,False,30.562,"LINESTRING (75.203517 31.8193634, 75.2034687 31.8194, 75.2034371 31.8194479, 75.2034255 31.819502, 75.2034352 31.8195564, 75.2034651 31.8196051)",,,,roundabout,
1112987462,secondary,True,False,38.666,"LINESTRING (75.203517 31.8193634, 75.2032996 31.8193735, 75.2031093 31.8193917)",,,MDR66,,
232459692,tertiary,False,True,56.421,"LINESTRING (75.2036411 31.8193383, 75.2036008 31.8191562, 75.2035804 31.819025, 75.2035553 31.818916, 75.2035379 31.8188387)",,,,,
501676563,secondary,True,False,12.221,"LINESTRING (75.2036411 31.8193383, 75.2035766 31.819342, 75.203517 31.8193634)",,,,roundabout,
501676562,tertiary,True,False,42.242,"LINESTRING (75.2035709 31.8196657, 75.2037401 31.8197925, 75.2039132 31.8199099)",,,,,
501676563,secondary,True,False,21.146,"LINESTRING (75.2035709 31.8196657, 75.2036265 31.8196714, 75.2036816 31.8196636, 75.203732 31.8196429, 75.2037734 31.8196109)",,,,roundabout,
501676560,secondary,True,False,74.191,"LINESTRING (75.2038162 31.8194794, 75.203885 31.819437, 75.2039696 31.8194108, 75.2040754 31.8193949, 75.2045749 31.8193465)",,,,,
501676563,secondary,True,False,19.307,"LINESTRING (75.2038162 31.8194794, 75.2038021 31.8194377, 75.2037757 31.8194005, 75.203739 31.8193703, 75.2036943 31.8193493)",,,,roundabout,
501676563,secondary,True,False,12.221,"LINESTRING (75.2034651 31.8196051, 75.2035121 31.8196429, 75.2035709 31.8196657)",,,,roundabout,
1120108215,residential,False,False,9.526,"LINESTRING (75.204744 31.8196878, 75.2046597 31.8196408)",,,,,
793059088,residential,False,False,30.233,"LINESTRING (75.2042913 31.8208698, 75.2044944 31.8206597)",,,,,
793059091,residential,False,False,44.065,"LINESTRING (75.2042913 31.8208698, 75.2040635 31.8211, 75.2040274 31.8211567, 75.2040175 31.8211866)",,,,,
793059088,residential,False,False,27.505,"LINESTRING (75.2044944 31.8206597, 75.2046829 31.8204712)",,,,,
793059088,residential,False,True,30.233,"LINESTRING (75.2044944 31.8206597, 75.2042913 31.8208698)",,,,,
793059089,residential,False,True,45.894,"LINESTRING (75.2044944 31.8206597, 75.2041108 31.8204065)",,,,,
501676565,tertiary,False,True,40.097,"LINESTRING (75.2046829 31.8204712, 75.2043595 31.8202377)",,,,,
793059088,residential,False,True,27.505,"LINESTRING (75.2046829 31.8204712, 75.2044944 31.8206597)",,,,,
496517208,tertiary,False,False,75.514,"LINESTRING (75.1949679 31.8177792, 75.1951824 31.817125)",,,,,
793072426,residential,False,False,26.516,"LINESTRING (75.1949679 31.8177792, 75.1952374 31.8178457)",,,,,
793072426,residential,False,False,42.622,"LINESTRING (75.1960923 31.8180566, 75.1965255 31.8181635)",,,,,
793072426,residential,False,True,41.501,"LINESTRING (75.1960923 31.8180566, 75.1956705 31.8179525)",,,,,
793072430,residential,False,True,76.195,"LINESTRING (75.1960923 31.8180566, 75.1963198 31.8173992)",,,,,
793072426,residential,False,False,43.183,"LINESTRING (75.1965255 31.8181635, 75.1969644 31.8182718)",,,,,
793072426,residential,False,True,42.622,"LINESTRING (75.1965255 31.8181635, 75.1960923 31.8180566)",,,,,
793072427,residential,False,True,76.117,"LINESTRING (75.1965255 31.8181635, 75.1967596 31.8175085)",,,,,
793072427,residential,False,False,98.362,"LINESTRING (75.1965255 31.8181635, 75.1963306 31.8187697, 75.1962449 31.8190153)",,,,,
793072426,residential,False,False,23.828,"LINESTRING (75.1969644 31.8182718, 75.1972066 31.8183315)",,,,,
793072426,residential,False,True,43.183,"LINESTRING (75.1969644 31.8182718, 75.1965255 31.8181635)",,,,,
1120098417,residential,False,False,75.502,"LINESTRING (75.1969644 31.8182718, 75.1971923 31.817621)",,,,,
793072426,residential,False,True,15.443,"LINESTRING (75.1973625 31.8183732, 75.1972066 31.8183315)",,,,,
793072428,residential,False,True,79.844,"LINESTRING (75.1973625 31.8183732, 75.1978647 31.8177957)",,,,,
