osmid,highway,oneway,reversed,length,lanes,ref,geometry,bridge
195987379,residential,False,False,89.623,,,"LINESTRING (74.4057768 29.2595682, 74.4049775 29.259164)",
32013224,primary,True,False,63.275,2,SH7,"LINESTRING (74.4023667 29.2592809, 74.4029532 29.2595299)",
195987370,residential,False,False,6.712,,,"LINESTRING (74.4023667 29.2592809, 74.4024039 29.25923)",
195976761,residential,False,True,25.949,,,"LINESTRING (74.4050704 29.26302, 74.4053379 29.2630203)",
195976761,residential,False,False,69.836,,,"LINESTRING (74.4050704 29.26302, 74.4047092 29.2630183, 74.4045292 29.2630348, 74.4043557 29.2630684)",
1092091450,residential,False,False,125.29899999999999,,,"LINESTRING (74.4050704 29.26302, 74.4051054 29.2626771, 74.4051522 29.2621831, 74.4051795 29.2618972)",
1092091450,residential,False,True,117.65899999999999,,,"LINESTRING (74.4050704 29.26302, 74.4050674 29.2633744, 74.4050732 29.263525, 74.405092 29.2636785, 74.4051586 29.2640729)",
195976761,residential,False,False,16.559,,,"LINESTRING (74.4014973 29.2634078, 74.401347 29.2634784)",
195976761,residential,False,True,10.931,,,"LINESTRING (74.4014973 29.2634078, 74.4016081 29.2633899)",
195984814,residential,False,True,63.739000000000004,,,"LINESTRING (74.4014973 29.2634078, 74.4012776 29.2632716, 74.4011482 29.2632175, 74.4011173 29.2631903, 74.4010858 29.2631598, 74.4010093 29.2630441)",
195976761,residential,False,True,16.559,,,"LINESTRING (74.401347 29.2634784, 74.4014973 29.2634078)",
195976761,residential,False,False,63.31,,,"LINESTRING (74.401347 29.2634784, 74.4010232 29.2636112, 74.4009508 29.2636377, 74.4007387 29.2636749)",
195984840,residential,False,False,55.665,,,"LINESTRING (74.401347 29.2634784, 74.4013725 29.2636182, 74.4014458 29.2639715)",
478741032,residential,False,True,42.532,,,"LINESTRING (74.4031356 29.2635225, 74.403164 29.2639042)",
195976761,residential,False,False,54.849000000000004,,,"LINESTRING (74.4031356 29.2635225, 74.4030684 29.2635289, 74.4029861 29.2635247, 74.4028184 29.2635085, 74.4025719 29.2635005)",
195976761,residential,False,True,53.44,,,"LINESTRING (74.4031356 29.2635225, 74.4032428 29.2634864, 74.4033636 29.2634411, 74.4036487 29.2633478)",
195976761,residential,False,True,32.92,,,"LINESTRING (74.3998506 29.263499, 74.4001739 29.263589)",
