osmid,highway,junction,oneway,reversed,length,geometry,name,tunnel,bridge
133346861,primary,roundabout,True,False,11.214,"LINESTRING (78.161718 26.2007084, 78.1616503 26.2006279)",,,
133346865,secondary,,False,False,15.038,"LINESTRING (78.161718 26.2007084, 78.1618584 26.2006592)",,,
170106689,residential,,False,True,104.099,"LINESTRING (78.1612321 26.2005838, 78.1607309 26.1997627)",,,
133346861,primary,roundabout,True,False,47.337,"LINESTRING (78.1612321 26.2005838, 78.1611534 26.2006402, 78.1610958 26.2007145, 78.1610643 26.2008004, 78.1610614 26.2008909, 78.1610802 26.2009525)",,,
133346861,primary,roundabout,True,False,6.396,"LINESTRING (78.1610802 26.2009525, 78.1611064 26.201005)",,,
1121452194,primary,,True,False,90.05,"LINESTRING (78.1610802 26.2009525, 78.1608861 26.2010294, 78.1606434 26.2011414, 78.1602825 26.2013297)",Maharani LaxhmiBai Marg,,
133346861,primary,roundabout,True,False,47.324999999999996,"LINESTRING (78.1616352 26.2010986, 78.1617198 26.2009974, 78.1617541 26.2009026, 78.1617535 26.2008029, 78.161718 26.2007084)",,,
133346861,primary,roundabout,True,False,44.893,"LINESTRING (78.1616503 26.2006279, 78.1615576 26.2005707, 78.1614494 26.200543, 78.1613371 26.2005475, 78.1612321 26.2005838)",,,
941697093,residential,,False,True,170.679,"LINESTRING (78.1616503 26.2006279, 78.1622063 26.2002099, 78.162243 26.2001656, 78.1622554 26.200125, 78.16222 26.2000509, 78.1618111 26.1994475)",,,
133346867,primary,,False,True,82.428,"LINESTRING (78.155101 26.2030946, 78.1550305 26.2031587, 78.1545821 26.2036708)",Maharani LaxhmiBai Marg,,
1121452193,tertiary,,False,False,54.873000000000005,"LINESTRING (78.155101 26.2030946, 78.1552959 26.203142, 78.1554817 26.2031744, 78.1556371 26.2032037)",,,
521541177,tertiary,,False,False,20.516,"LINESTRING (78.1620459 26.2050153, 78.1622153 26.2049107)",,,
521514553,tertiary,,False,False,27.798,"LINESTRING (78.1620459 26.2050153, 78.1621456 26.2051915, 78.1621808 26.2052333)",,,
521541177,tertiary,,False,True,142.662,"LINESTRING (78.1620459 26.2050153, 78.1614623 26.2050559, 78.1613135 26.20505, 78.161209 26.205021, 78.1606798 26.2047946)",,,
170106690,tertiary,,False,True,35.81,"LINESTRING (78.15662 26.2026426, 78.1564701 26.2025014, 78.15638 26.2024034)",,,
935758428,residential,,False,False,78.132,"LINESTRING (78.15662 26.2026426, 78.1567214 26.2027183, 78.1568195 26.2027795, 78.157279 26.2030196)",,,
1121452194,primary,,True,False,137.71699999999998,"LINESTRING (78.15662 26.2026426, 78.1563314 26.2027249, 78.1561487 26.2027852, 78.1558385 26.2028718, 78.1554647 26.2029564, 78.1552997 26.2030015)",Maharani LaxhmiBai Marg,,
521541177,tertiary,,False,True,11.124,"LINESTRING (78.1623167 26.2048691, 78.1622153 26.2049107)",,,
1139245214,secondary,,True,False,12.061,"LINESTRING (78.1623167 26.2048691, 78.1623044 26.2047612)",Maharani LaxhmiBai Marg,,
935265966,residential,,False,True,39.749,"LINESTRING (78.1573805 26.2014098, 78.1572902 26.201401, 78.1572452 26.2013867, 78.1572031 26.20136, 78.1571658 26.2013248, 78.1570599 26.2012243)",,,
"[935373528, 942462955, 1139245215]",secondary,,False,False,227.51300000000003,"LINESTRING (78.1573805 26.2014098, 78.1573813 26.2015876, 78.1574201 26.2016965, 78.1574661 26.2017818, 78.1575338 26.2018357, 78.1575998 26.2018625, 78.1576875 26.2018818, 78.1578095 26.2018965, 78.1578983 26.2018977, 78.1581189 26.2018795, 78.158247 26.2018706, 78.1583518 26.201881, 78.1584075 26.2019152, 78.1584506 26.2019684, 78.1585336 26.2021171, 78.158591 26.2022201, 78.1586713 26.2022958, 78.158961 26.2024839)",Maharani LaxhmiBai Marg,yes,
942462955,secondary,,False,True,139.92700000000002,"LINESTRING (78.1573805 26.2014098, 78.1573866 26.201333, 78.1573725 26.2012278, 78.1573387 26.201095, 78.1572821 26.2009726, 78.1571998 26.200843, 78.1570572 26.2007033, 78.1567896 26.2004936, 78.1566527 26.2004087)",Maharani LaxhmiBai Marg,,
942462955,secondary,,False,True,5.537,"LINESTRING (78.1566527 26.2004087, 78.1566075 26.2003798)",Maharani LaxhmiBai Marg,,
521704340,residential,,False,True,125.876,"LINESTRING (78.1566527 26.2004087, 78.1566841 26.2003, 78.1567115 26.2002508, 78.1567866 26.2001762, 78.1569126 26.2001112, 78.1570843 26.2000559, 78.1572452 26.1999837, 78.1575 26.1998898, 78.1576708 26.1998387)",,,
