osmid,oneway,name,highway,junction,reversed,length,geometry,access,ref
22867873,True,Hospital Chowk,primary,roundabout,False,23.47,"LINESTRING (70.8021921 22.3037548, 70.8021529 22.3037165, 70.8021035 22.3036901, 70.8020481 22.3036777, 70.8019911 22.3036804)",,
125510249,False,,tertiary,,True,156.95499999999998,"LINESTRING (70.8021921 22.3037548, 70.8028241 22.3032521, 70.8031291 22.3030126, 70.8032987 22.3027925)",,
125510249,False,,tertiary,,True,11.146,"LINESTRING (70.8032987 22.3027925, 70.8033455 22.3027021)",,
125510249,False,,tertiary,,False,156.95499999999998,"LINESTRING (70.8032987 22.3027925, 70.8031291 22.3030126, 70.8028241 22.3032521, 70.8021921 22.3037548)",,
893325992,True,Dhebar Road,tertiary,,False,171.08,"LINESTRING (70.8032987 22.3027925, 70.8034414 22.3031356, 70.8035631 22.3034462, 70.803636 22.3036653, 70.8037251 22.3039552, 70.8037598 22.3041254, 70.8037714 22.3042617)",,
373173996,True,,primary,roundabout,False,6.362,"LINESTRING (70.7990714 22.3016893, 70.7990599 22.3016627, 70.7990397 22.3016411)",,
372788566,False,,residential,,False,37.208,"LINESTRING (70.8001259 22.3021912, 70.8004706 22.3020899)",,
893323141,False,,primary,,False,16.833,"LINESTRING (70.8001259 22.3021912, 70.800245 22.302295)",,
893323141,False,,primary,,True,22.808,"LINESTRING (70.8001259 22.3021912, 70.8000496 22.302143, 70.7999456 22.3020719)",,
239407705,True,Sitaram-Pandit Road,primary,,False,23.041999999999998,"LINESTRING (70.7986783 22.3017743, 70.798836 22.3017614, 70.7989014 22.301756)",,
373174000,False,,secondary,,True,16.078,"LINESTRING (70.8003647 22.3012357, 70.8002127 22.3012693)",,
373174000,False,,secondary,,False,86.467,"LINESTRING (70.8003647 22.3012357, 70.800834 22.3011034, 70.8009765 22.3010531, 70.8010538 22.3010192, 70.8011491 22.3009651)",,
1075738893,True,,secondary,,False,61.898,"LINESTRING (70.801384 22.3015126, 70.8012589 22.3009681)",,
1075738892,False,,residential,,True,166.224,"LINESTRING (70.801384 22.3015126, 70.8021567 22.3015446, 70.8028697 22.3018018, 70.8029446 22.3018183)",no,
22867873,True,Hospital Chowk,primary,roundabout,False,12.735,"LINESTRING (70.8019911 22.3036804, 70.801933 22.3037002, 70.8018843 22.3037355)",,
374048683,True,,secondary,,False,249.019,"LINESTRING (70.8019911 22.3036804, 70.8016097 22.3023248, 70.8014631 22.3018213, 70.801384 22.3015126)",,
22867873,True,Hospital Chowk,primary,roundabout,False,18.374000000000002,"LINESTRING (70.8018496 22.3037831, 70.8018328 22.3038359, 70.8018337 22.303891, 70.8018521 22.3039434)",,
893323141,False,,primary,,True,188.03699999999998,"LINESTRING (70.8018496 22.3037831, 70.8010653 22.3031491, 70.8005572 22.3025939)",,
22867873,True,Hospital Chowk,primary,roundabout,False,13.524999999999999,"LINESTRING (70.8022283 22.30387, 70.8022206 22.3038096, 70.8021921 22.3037548)",,
22867873,True,Hospital Chowk,primary,roundabout,False,25.170999999999996,"LINESTRING (70.8019338 22.3040218, 70.8019913 22.3040412, 70.8020524 22.3040435, 70.8021114 22.3040285, 70.8021369 22.3040131, 70.8021626 22.3039976)",,
44506626,True,,primary,,False,164.614,"LINESTRING (70.8037714 22.3042617, 70.8022283 22.30387)",,SH25
894474453,True,Dhebar Road,tertiary,,False,11.458,"LINESTRING (70.8037714 22.3042617, 70.8037745 22.3043647)",,
1075738892,False,,residential,,True,9.951,"LINESTRING (70.8029446 22.3018183, 70.8030351 22.3018499)",no,
893325992,True,Dhebar Road,tertiary,,False,114.9,"LINESTRING (70.8029446 22.3018183, 70.80296 22.3018934, 70.8029692 22.3019834, 70.8029993 22.3021059, 70.8030518 22.3022554, 70.8032987 22.3027925)",,
1075738892,False,,residential,,False,166.224,"LINESTRING (70.8029446 22.3018183, 70.8028697 22.3018018, 70.8021567 22.3015446, 70.801384 22.3015126)",no,
44506626,True,,primary,,False,72.358,"LINESTRING (70.8045457 22.3044383, 70.8038628 22.3042825)",,SH25
