osmid,highway,oneway,reversed,length,geometry,bridge,junction
663811998,tertiary,False,True,55.995999999999995,"LINESTRING (78.7969362 21.6506592, 78.7968555 21.6507821, 78.7969109 21.651138)",,
663812003,tertiary,False,False,291.214,"LINESTRING (78.7969362 21.6506592, 78.797054 21.6507571, 78.7973142 21.6512807, 78.7975448 21.6515175, 78.7986794 21.6522679, 78.7989269 21.6524304)",,
663811983,tertiary,False,True,235.12900000000002,"LINESTRING (78.8012919 21.6540341, 78.8003558 21.6533473, 78.7994626 21.6527789)",,
663811985,tertiary,False,True,394.85,"LINESTRING (78.8012919 21.6540341, 78.8013294 21.6545402, 78.801316 21.6545888, 78.8001734 21.6548007, 78.7981564 21.6551696)",,
663811985,tertiary,False,False,394.85,"LINESTRING (78.7981564 21.6551696, 78.8001734 21.6548007, 78.801316 21.6545888, 78.8013294 21.6545402, 78.8012919 21.6540341)",,
"[663811985, 663811971, 663811972]",tertiary,False,True,300.339,"LINESTRING (78.7981564 21.6551696, 78.7965605 21.6555236, 78.796488 21.6555236, 78.7962252 21.6555236, 78.7959114 21.6555112, 78.7954849 21.6554439, 78.7953132 21.655384)",yes,
663811987,residential,False,True,162.562,"LINESTRING (78.7930305 21.6576176, 78.7926689 21.6561948)",,
663811988,residential,False,False,33.659,"LINESTRING (78.7930305 21.6576176, 78.793146 21.6575653, 78.7933369 21.6575193)",,
663811988,residential,False,True,210.787,"LINESTRING (78.7930305 21.6576176, 78.7929368 21.65766, 78.7928054 21.6577249, 78.7926766 21.6577598, 78.792572 21.657675, 78.792446 21.6576102, 78.7923279 21.6575005, 78.7922662 21.6572986, 78.7922341 21.6563912)",,
663811987,residential,False,False,162.562,"LINESTRING (78.7926689 21.6561948, 78.7930305 21.6576176)",,
663811996,residential,False,True,49.961,"LINESTRING (78.7926689 21.6561948, 78.7922341 21.6563912)",,
663811996,residential,False,False,99.178,"LINESTRING (78.7926689 21.6561948, 78.7929958 21.6560471, 78.793551 21.6558452)",,
663811988,residential,False,True,33.659,"LINESTRING (78.7933369 21.6575193, 78.793146 21.6575653, 78.7930305 21.6576176)",,
663811989,unclassified,False,True,39.419,"LINESTRING (78.7933369 21.6575193, 78.7934545 21.6574207, 78.7936485 21.6573184)",,
663811993,unclassified,True,False,12.169,"LINESTRING (78.7937343 21.657357, 78.7937491 21.65734, 78.7937543 21.6573186, 78.7937491 21.6572973, 78.7937345 21.6572801, 78.7937133 21.6572706)",,roundabout
663811989,unclassified,False,False,39.419,"LINESTRING (78.7936485 21.6573184, 78.7934545 21.6574207, 78.7933369 21.6575193)",,
663811993,unclassified,True,False,12.175,"LINESTRING (78.7936485 21.6573184, 78.7936537 21.6573398, 78.7936683 21.6573569, 78.7936895 21.6573665, 78.7937131 21.6573665, 78.7937343 21.657357)",,roundabout
663811986,unclassified,False,False,194.15699999999998,"LINESTRING (78.7937133 21.6572706, 78.7937629 21.657139, 78.7941277 21.6568872, 78.7942108 21.6565333, 78.794172 21.656203, 78.7940888 21.6557193)",,
663811993,unclassified,True,False,9.736,"LINESTRING (78.7937133 21.6572706, 78.7936897 21.6572705, 78.7936685 21.65728, 78.7936538 21.6572971, 78.7936485 21.6573184)",,roundabout
663811997,tertiary,False,True,8.091,"LINESTRING (78.7940568 21.6555864, 78.7940744 21.6556573)",,
663811995,residential,False,False,60.292,"LINESTRING (78.7940568 21.6555864, 78.7938769 21.6556371, 78.793551 21.6558452)",,
663811996,residential,False,False,57.316,"LINESTRING (78.793551 21.6558452, 78.7940888 21.6557193)",,
663811995,residential,False,True,60.292,"LINESTRING (78.793551 21.6558452, 78.7938769 21.6556371, 78.7940568 21.6555864)",,
663811996,residential,False,True,99.178,"LINESTRING (78.793551 21.6558452, 78.7929958 21.6560471, 78.7926689 21.6561948)",,
663811986,unclassified,False,False,7.053,"LINESTRING (78.7940888 21.6557193, 78.7940744 21.6556573)",,
663811996,residential,False,True,57.316,"LINESTRING (78.7940888 21.6557193, 78.793551 21.6558452)",,
663811986,unclassified,False,True,194.157,"LINESTRING (78.7940888 21.6557193, 78.794172 21.656203, 78.7942108 21.6565333, 78.7941277 21.6568872, 78.7937629 21.657139, 78.7937133 21.6572706)",,
663811986,unclassified,False,True,7.053,"LINESTRING (78.7940744 21.6556573, 78.7940888 21.6557193)",,
663811997,tertiary,False,False,8.091,"LINESTRING (78.7940744 21.6556573, 78.7940568 21.6555864)",,
663812000,tertiary,False,False,131.974,"LINESTRING (78.7940744 21.6556573, 78.7946051 21.6554937, 78.7953132 21.655384)",,
663811996,residential,False,False,49.961,"LINESTRING (78.7922341 21.6563912, 78.7926689 21.6561948)",,
663811988,residential,False,False,210.787,"LINESTRING (78.7922341 21.6563912, 78.7922662 21.6572986, 78.7923279 21.6575005, 78.792446 21.6576102, 78.792572 21.657675, 78.7926766 21.6577598, 78.7928054 21.6577249, 78.7929368 21.65766, 78.7930305 21.6576176)",,
"[663811985, 663811971, 663811972]",tertiary,False,False,300.339,"LINESTRING (78.7953132 21.655384, 78.7954849 21.6554439, 78.7959114 21.6555112, 78.7962252 21.6555236, 78.796488 21.6555236, 78.7965605 21.6555236, 78.7981564 21.6551696)",yes,
663812000,tertiary,False,False,304.576,"LINESTRING (78.7953132 21.655384, 78.7961286 21.6548655, 78.796547 21.6545514, 78.7967241 21.6543021, 78.796877 21.6540528, 78.7971023 21.6536589, 78.7973544 21.6534894)",,
663812000,tertiary,False,True,131.974,"LINESTRING (78.7953132 21.655384, 78.7946051 21.6554937, 78.7940744 21.6556573)",,
663812001,residential,False,True,31.715,"LINESTRING (78.7969109 21.651138, 78.7969547 21.6514203)",,
663811998,tertiary,False,False,55.995999999999995,"LINESTRING (78.7969109 21.651138, 78.7968555 21.6507821, 78.7969362 21.6506592)",,
