osmid,oneway,lanes,highway,maxspeed,reversed,length,geometry,ref,name
186890928,False,2,trunk_link,20,False,8.593,"LINESTRING (76.3867915 10.1926781, 76.3868699 10.1926739)",,
237420044,False,,residential,,False,89.339,"LINESTRING (76.3867915 10.1926781, 76.3865962 10.1927303, 76.3864409 10.1927322, 76.3861591 10.1927356, 76.3859837 10.1927576)",,
1012202818,True,2,trunk,90,False,168.852,"LINESTRING (76.3867915 10.1926781, 76.3867733 10.1928569, 76.3867411 10.1930443, 76.3866866 10.1932899, 76.3866488 10.1934611, 76.3866108 10.1935651, 76.3865865 10.1936512, 76.3865232 10.1938503, 76.3864083 10.1941429)",NH544,Salem - Kochi - Kanyakumari Highway
405144482,False,,unclassified,,False,80.857,"LINESTRING (76.3878358 10.191946, 76.3885746 10.1919512)",,
1010545515,False,2,primary,80,True,36.496,"LINESTRING (76.3878358 10.191946, 76.3875887 10.1921664)",SH1,MC Road
1010545515,False,2,primary,80,False,115.273,"LINESTRING (76.3878358 10.191946, 76.3881969 10.1916116, 76.3886066 10.1912395)",SH1,MC Road
259237550,True,2,primary,30,False,46.899,"LINESTRING (76.3872351 10.1925281, 76.3871784 10.192519, 76.3871167 10.192519, 76.3870577 10.1925058, 76.3869862 10.1924714, 76.3869236 10.1924266, 76.3868668 10.1923555)",SH1,MC Road
284944299,True,2,primary,30,False,43.399,"LINESTRING (76.3872351 10.1925281, 76.38711 10.1925574, 76.3869511 10.1926282, 76.3868699 10.1926739)",SH1,MC Road
1010545515,False,2,primary,80,False,24.996000000000002,"LINESTRING (76.3872351 10.1925281, 76.3873578 10.1924199, 76.387374 10.1923986, 76.387396 10.1923698)",SH1,MC Road
161705455,False,,residential,,False,160.28400000000002,"LINESTRING (76.3863809 10.1903568, 76.3862262 10.190275, 76.3859573 10.1901346, 76.3857429 10.190021, 76.3853954 10.1898614, 76.3852164 10.1897617, 76.385096 10.1896705)",,
259236611,True,2,trunk,90,False,263.781,"LINESTRING (76.3863809 10.1903568, 76.3864322 10.190454, 76.3864683 10.1905253, 76.3865074 10.1906343, 76.3865409 10.1908179, 76.3865894 10.1910454, 76.3867378 10.1918949, 76.3867673 10.1921423, 76.386788 10.1922961, 76.3867957 10.1924962, 76.3867958 10.1925419, 76.3867961 10.1925858, 76.3867915 10.1926781)",NH544,Salem - Kochi - Kanyakumari Highway
161705455,False,,residential,,True,51.361,"LINESTRING (76.3847617 10.1893613, 76.3848469 10.1895037, 76.3850535 10.1896383, 76.385096 10.1896705)",,
161705456,False,,unclassified,,False,55.943,"LINESTRING (76.3847617 10.1893613, 76.3850695 10.1893347, 76.3852698 10.1893076)",,
161705456,False,,unclassified,,True,147.433,"LINESTRING (76.3847617 10.1893613, 76.3847259 10.189363, 76.3840046 10.1893981, 76.3834168 10.1894369)",,
813126908,False,,secondary,50,False,79.251,"LINESTRING (76.3886066 10.1912395, 76.3885981 10.1913945, 76.3885926 10.1914942, 76.388585 10.1916053, 76.3885734 10.1917699, 76.3885746 10.1919512)",,TB Junction road
1010545515,False,2,primary,80,True,115.273,"LINESTRING (76.3886066 10.1912395, 76.3881969 10.1916116, 76.3878358 10.191946)",SH1,MC Road
1013708804,False,2,primary,80,False,86.87200000000001,"LINESTRING (76.3886066 10.1912395, 76.3888246 10.191048, 76.3890646 10.1908408, 76.3891997 10.1907203)",SH1,MC Road
161705456,False,,unclassified,,False,15.522,"LINESTRING (76.3852698 10.1893076, 76.3854116 10.1893104)",,
161705456,False,,unclassified,,True,55.943,"LINESTRING (76.3852698 10.1893076, 76.3850695 10.1893347, 76.3847617 10.1893613)",,
259236611,True,2,trunk,90,False,168.899,"LINESTRING (76.3852698 10.1893076, 76.3854704 10.1894605, 76.3860515 10.189998, 76.3861719 10.1901135, 76.386274 10.1902221, 76.3863809 10.1903568)",NH544,Salem - Kochi - Kanyakumari Highway
186890928,False,2,trunk_link,20,True,8.593,"LINESTRING (76.3868699 10.1926739, 76.3867915 10.1926781)",,
284944308,True,2,primary,30,False,45.165,"LINESTRING (76.3868699 10.1926739, 76.3869565 10.1926853, 76.3871318 10.1926155, 76.3872351 10.1925281)",SH1,MC Road
1013708803,True,2,trunk,90,False,35.437999999999995,"LINESTRING (76.3868699 10.1926739, 76.3868735 10.1925513, 76.3868751 10.1924979, 76.3868699 10.1924093, 76.3868668 10.1923555)",NH544,Salem - Kochi - Kanyakumari Highway
105591372,False,,residential,,True,12.519,"LINESTRING (76.3868204 10.1935937, 76.3867389 10.1935147)",A1,Angamaly Old Market Road
105591372,False,,residential,,False,42.217999999999996,"LINESTRING (76.3868204 10.1935937, 76.3869806 10.193825, 76.3870414 10.1939048)",A1,Angamaly Old Market Road
221159716,False,,residential,20,False,88.08800000000001,"LINESTRING (76.3868204 10.1935937, 76.3870208 10.1936329, 76.3876181 10.1936946)",,CSA Road Angamaly
221159716,False,,residential,20,False,100.756,"LINESTRING (76.3876181 10.1936946, 76.3878124 10.193716, 76.3885371 10.1937407)",,CSA Road Angamaly
221159716,False,,residential,20,True,88.08800000000001,"LINESTRING (76.3876181 10.1936946, 76.3870208 10.1936329, 76.3868204 10.1935937)",,CSA Road Angamaly
221159762,False,,residential,10,True,69.712,"LINESTRING (76.3876181 10.1936946, 76.3874606 10.1939661, 76.387291 10.1942324)",,Market Link Road
221159716,False,,residential,20,True,100.756,"LINESTRING (76.3885371 10.1937407, 76.3878124 10.193716, 76.3876181 10.1936946)",,CSA Road Angamaly
"[473721939, 813126908]",False,,secondary,"['60', '50']",False,122.548,"LINESTRING (76.3885371 10.1937407, 76.3885147 10.1942118, 76.3884996 10.1945279, 76.3884903 10.1948418)",,"['TB Junction road', 'Angamaly TB Junction Road']"
