osmid,highway,oneway,reversed,length,geometry,name,lanes,ref,maxspeed,access,bridge
634043185,residential,False,True,247.475,"LINESTRING (76.337874 9.4955043, 76.3378606 9.4960391, 76.3378526 9.4960523, 76.3378398 9.4960576, 76.3376809 9.4960563, 76.337644 9.4960523, 76.3376192 9.4960377, 76.3375475 9.4959564, 76.3374871 9.4959088, 76.3374207 9.495881, 76.3366932 9.4957996, 76.3362249 9.4958225)",,,,,,
749141944,secondary,False,False,184.329,"LINESTRING (76.337874 9.4955043, 76.3377496 9.4954875, 76.3376266 9.4954604, 76.337469 9.4954161, 76.3371807 9.4953175, 76.3369352 9.4952725, 76.3367052 9.4952375, 76.3365544 9.4952157, 76.3362291 9.4952137)",CCSB Road,,,,,
133882108,unclassified,False,False,67.697,"LINESTRING (76.3362291 9.4952137, 76.3362249 9.4958225)",HeadPost Office Road,,,,,
749141944,secondary,False,False,137.784,"LINESTRING (76.3362291 9.4952137, 76.335686 9.495172, 76.3352756 9.4951489, 76.3349752 9.4951575)",CCSB Road,,,,,
749141944,secondary,False,True,184.329,"LINESTRING (76.3362291 9.4952137, 76.3365544 9.4952157, 76.3367052 9.4952375, 76.3369352 9.4952725, 76.3371807 9.4953175, 76.337469 9.4954161, 76.3376266 9.4954604, 76.3377496 9.4954875, 76.337874 9.4955043)",CCSB Road,,,,,
633261453,residential,False,False,68.585,"LINESTRING (76.3318116 9.4978308, 76.3318098 9.4984476)",,,,,,
749141765,secondary,False,False,113.062,"LINESTRING (76.3318116 9.4978308, 76.3317551 9.4978265, 76.3310218 9.4977978, 76.3307816 9.4977889)",Cullan Road,2,,,,
749141765,secondary,False,True,219.034,"LINESTRING (76.3318116 9.4978308, 76.3323599 9.4978512, 76.3330512 9.497891, 76.3338072 9.4978978)",Cullan Road,2,,,,
801701730,primary,False,True,112.279,"LINESTRING (76.3340309 9.4999574, 76.3350477 9.5000752)",VCNS Road,,SH40,50,yes,
255974653,secondary,False,True,230.98600000000002,"LINESTRING (76.3340309 9.4999574, 76.3340405 9.4995086, 76.3340338 9.4994424, 76.3339587 9.4990575, 76.3339355 9.498883, 76.333893 9.4985629, 76.333842 9.4982811, 76.3338072 9.4978978)",Vellakinar Road,,,,,
"[649481283, 634073844, 634073843]",secondary,False,False,33.842,"LINESTRING (76.3340309 9.4999574, 76.3340244 9.5000275, 76.334013 9.5001783, 76.3340026 9.5002604)","['Vellakinar Road', 'Vazhichery Bridge']",,,,,yes
619770897,secondary,False,False,204.203,"LINESTRING (76.3340026 9.5002604, 76.3358417 9.5005474)",,,,,,
619770897,secondary,False,True,134.719,"LINESTRING (76.3340026 9.5002604, 76.3327858 9.5000943)",,,,,,
"[649481283, 634073843, 634073844]",secondary,False,True,33.842,"LINESTRING (76.3340026 9.5002604, 76.334013 9.5001783, 76.3340244 9.5000275, 76.3340309 9.4999574)","['Vazhichery Bridge', 'Vellakinar Road']",,,,,yes
801454119,residential,False,True,45.497,"LINESTRING (76.3362979 9.4980576, 76.3362781 9.4984663)",,,,,,
133882108,unclassified,False,True,103.937,"LINESTRING (76.3362979 9.4980576, 76.3363096 9.4976091, 76.3362927 9.4971233)",HeadPost Office Road,,,,,
749141765,secondary,False,False,52.912,"LINESTRING (76.3362979 9.4980576, 76.3361082 9.4980385, 76.3358168 9.498024)",Cullan Road,2,,,,
749141765,secondary,False,True,113.968,"LINESTRING (76.3362979 9.4980576, 76.3367294 9.4980615, 76.3368006 9.4980628, 76.3371586 9.4980691, 76.337337 9.4980689)",Cullan Road,2,,,,
188012497,unclassified,False,True,99.494,"LINESTRING (76.3350536 9.4979717, 76.3350275 9.4970773)",Market Road,,,,,
634043128,residential,False,False,146.811,"LINESTRING (76.3350536 9.4979717, 76.3350499 9.499292)",YWCA Road,,,,,
749141765,secondary,False,False,136.98000000000002,"LINESTRING (76.3350536 9.4979717, 76.3345798 9.4979405, 76.3341802 9.4979071, 76.3338072 9.4978978)",Cullan Road,2,,,,
749141765,secondary,False,True,83.903,"LINESTRING (76.3350536 9.4979717, 76.3354603 9.4979993, 76.3358168 9.498024)",Cullan Road,2,,,,
749141944,secondary,False,False,136.003,"LINESTRING (76.3349752 9.4951575, 76.3337355 9.4951883)",CCSB Road,,,,,
188012497,unclassified,False,False,64.371,"LINESTRING (76.3349752 9.4951575, 76.3349745 9.4951929, 76.3349737 9.495234, 76.3349715 9.4953567, 76.3349645 9.4957363)",Market Road,,,,,
749141944,secondary,False,True,137.784,"LINESTRING (76.3349752 9.4951575, 76.3352756 9.4951489, 76.335686 9.495172, 76.3362291 9.4952137)",CCSB Road,,,,,
188012497,unclassified,False,False,82.884,"LINESTRING (76.3349605 9.4959556, 76.335005 9.4966997)",Market Road,,,,,
188012497,unclassified,False,True,24.389,"LINESTRING (76.3349605 9.4959556, 76.3349645 9.4957363)",Market Road,,,,,
188012496,unclassified,False,False,35.218,"LINESTRING (76.3349605 9.4959556, 76.3349286 9.4959559, 76.3346394 9.4959589)",,,,,,
188012497,unclassified,False,False,99.494,"LINESTRING (76.3350275 9.4970773, 76.3350536 9.4979717)",Market Road,,,,,
188012497,unclassified,False,True,42.06,"LINESTRING (76.3350275 9.4970773, 76.335005 9.4966997)",Market Road,,,,,
398185991,residential,False,False,41.835,"LINESTRING (76.3350275 9.4970773, 76.3348632 9.4970733, 76.3346463 9.4970638)",,,,,,
398185991,residential,False,True,138.913,"LINESTRING (76.3350275 9.4970773, 76.3355944 9.4970859, 76.3358766 9.4970906, 76.3362927 9.4971233)",,,,,,
255974653,secondary,False,False,31.624,"LINESTRING (76.3337479 9.4959723, 76.3337493 9.4962567)",Vellakinar Road,,,,,
188012496,unclassified,False,True,19.842,"LINESTRING (76.3337479 9.4959723, 76.3337983 9.4959724, 76.3339287 9.495978)",,,,,,
255974653,secondary,False,True,87.193,"LINESTRING (76.3337479 9.4959723, 76.3337468 9.4956118, 76.3337355 9.4951883)",Vellakinar Road,,,,,
97246716,secondary,False,False,90.908,"LINESTRING (76.330204 9.4947133, 76.3306922 9.4947495, 76.3310315 9.4947537)",CCSB Road,2,,,,
97246716,secondary,False,True,104.69399999999999,"LINESTRING (76.330204 9.4947133, 76.3295453 9.4946368, 76.3295226 9.4946342, 76.3292545 9.4946196)",CCSB Road,2,,,,
391911921,residential,False,False,81.56099999999999,"LINESTRING (76.330204 9.4947133, 76.3302483 9.4943461, 76.330267 9.4941993, 76.3302717 9.4939836)",Mohamedans School Road,,,,,
